"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Metric Used","Method Name","Year","Units of Measure","Event Type","Observation Count","Observation Percent","Completeness Indicator","Valid Day Count","Required Day Count","Exceptional Data Count","Null Data Count","Primary Exceedance Count","Secondary Exceedance Count","Certification Indicator","Num Obs Below MDL","Arithmetic Mean","Arithmetic Standard Dev","1st Max Value","1st Max DateTime","2nd Max Value","2nd Max DateTime","3rd Max Value","3rd Max DateTime","4th Max Value","4th Max DateTime","1st Max Non Overlapping Value","1st NO Max DateTime","2nd Max Non Overlapping Value","2nd NO Max DateTime","99th Percentile","98th Percentile","95th Percentile","90th Percentile","75th Percentile","50th Percentile","10th Percentile","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"17","031","4201","88101","1","41.75138","-87.71339","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2022","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","9.8","4.8","43.1","2022-07-15 14:00","40.2","2022-08-02 13:00","37.8","2022-06-22 15:00","35.4","2022-09-10 14:00","","","","","40.5","35.6","26.8","19.3","11.9","8.4","3.0","","","Illinois","Cook","Chicago","Chicago-Naperville-Elgin, IL-IN-WI","2024-05-01"
"17","031","4201","88101","1","41.75138","-87.71339","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2022","Micrograms/cubic meter (25 C)","Events Included","8000","95.0","Y","347","365","0","0","0","0","Certified","0","11.2","5.5","52.4","2022-07-15 14:00","48.1","2022-08-02 13:00","44.7","2022-06-22 15:00","41.3","2022-09-10 14:00","","","","","48.5","43.2","32.1","22.5","13.8","9.6","3.5","","","Illinois","Cook","Chicago","Chicago-Naperville-Elgin, IL-IN-WI","2024-05-01"
"17","031","4201","88101","1","41.75138","-87.71339","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2023","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","8.5","4.2","38.9","2023-07-15 14:00","36.1","2023-08-02 13:00","33.5","2023-06-22 15:00","31.2","2023-09-10 14:00","","","","","36.8","33.1","24.2","17.5","10.3","7.2","2.6","","","Illinois","Cook","Chicago","Chicago-Naperville-Elgin, IL-IN-WI","2024-05-01"
"17","031","4201","88101","1","41.75138","-87.71339","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2021","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","10.2","5.1","45.8","2021-07-15 14:00","42.3","2021-08-02 13:00","39.7","2021-06-22 15:00","37.2","2021-09-10 14:00","","","","","42.1","38.2","28.5","20.1","12.4","8.7","3.2","","","Illinois","Cook","Chicago","Chicago-Naperville-Elgin, IL-IN-WI","2024-05-01"
"17","031","4201","88101","1","41.75138","-87.71339","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2022","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","9.8","4.8","43.1","2022-07-15 14:00","40.2","2022-08-02 13:00","37.8","2022-06-22 15:00","35.4","2022-09-10 14:00","","","","","40.5","35.6","26.8","19.3","11.9","8.4","3.0","","","Illinois","Cook","Chicago","Chicago-Naperville-Elgin, IL-IN-WI","2024-05-01"
"17","031","4201","88101","1","41.75138","-87.71339","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2023","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","8.5","4.2","38.9","2023-07-15 14:00","36.1","2023-08-02 13:00","33.5","2023-06-22 15:00","31.2","2023-09-10 14:00","","","","","36.8","33.1","24.2","17.5","10.3","7.2","2.6","","","Illinois","Cook","Chicago","Chicago-Naperville-Elgin, IL-IN-WI","2024-05-01"
"48","201","1039","88101","1","29.67012","-95.12849","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2021","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","8.7","4.0","35.2","2021-07-15 14:00","32.8","2021-08-02 13:00","30.1","2021-06-22 15:00","28.5","2021-09-10 14:00","","","","","33.1","32.4","22.1","16.8","10.5","7.5","2.8","","","Texas","Harris","Houston","Houston-The Woodlands-Sugar Land, TX","2024-05-01"
"48","201","1039","88101","1","29.67012","-95.12849","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2022","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","9.1","4.3","38.5","2022-07-15 14:00","35.9","2022-08-02 13:00","33.2","2022-06-22 15:00","31.0","2022-09-10 14:00","","","","","36.2","34.8","24.5","18.1","11.2","7.9","3.0","","","Texas","Harris","Houston","Houston-The Woodlands-Sugar Land, TX","2024-05-01"
"48","201","1039","88101","1","29.67012","-95.12849","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2023","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","8.6","3.9","33.8","2023-07-15 14:00","31.5","2023-08-02 13:00","29.0","2023-06-22 15:00","27.3","2023-09-10 14:00","","","","","31.9","30.2","21.3","16.2","10.1","7.3","2.7","","","Texas","Harris","Houston","Houston-The Woodlands-Sugar Land, TX","2024-05-01"
"48","201","1039","88101","1","29.67012","-95.12849","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2021","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","8.7","4.0","35.2","2021-07-15 14:00","32.8","2021-08-02 13:00","30.1","2021-06-22 15:00","28.5","2021-09-10 14:00","","","","","33.1","32.4","22.1","16.8","10.5","7.5","2.8","","","Texas","Harris","Houston","Houston-The Woodlands-Sugar Land, TX","2024-05-01"
"48","201","1039","88101","1","29.67012","-95.12849","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2022","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","9.1","4.3","38.5","2022-07-15 14:00","35.9","2022-08-02 13:00","33.2","2022-06-22 15:00","31.0","2022-09-10 14:00","","","","","36.2","34.8","24.5","18.1","11.2","7.9","3.0","","","Texas","Harris","Houston","Houston-The Woodlands-Sugar Land, TX","2024-05-01"
"48","201","1039","88101","1","29.67012","-95.12849","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2023","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","8.6","3.9","33.8","2023-07-15 14:00","31.5","2023-08-02 13:00","29.0","2023-06-22 15:00","27.3","2023-09-10 14:00","","","","","31.9","30.2","21.3","16.2","10.1","7.3","2.7","","","Texas","Harris","Houston","Houston-The Woodlands-Sugar Land, TX","2024-05-01"
"06","037","1103","88101","1","34.01014","-118.06009","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2021","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","11.3","5.8","48.2","2021-07-15 14:00","44.5","2021-08-02 13:00","41.8","2021-06-22 15:00","39.1","2021-09-10 14:00","","","","","45.1","40.8","30.2","21.8","13.5","9.5","3.5","","","California","Los Angeles","Pico Rivera","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","1103","88101","1","34.01014","-118.06009","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2022","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","10.8","5.4","45.9","2022-07-15 14:00","42.1","2022-08-02 13:00","39.5","2022-06-22 15:00","37.0","2022-09-10 14:00","","","","","42.8","38.9","28.8","20.5","12.9","9.1","3.3","","","California","Los Angeles","Pico Rivera","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","1103","88101","1","34.01014","-118.06009","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2023","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","10.1","5.0","42.5","2023-07-15 14:00","39.2","2023-08-02 13:00","36.8","2023-06-22 15:00","34.5","2023-09-10 14:00","","","","","39.8","36.2","26.5","19.0","12.0","8.5","3.0","","","California","Los Angeles","Pico Rivera","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","1103","88101","2","34.01014","-118.06009","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2021","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","11.0","5.6","47.1","2021-07-15 14:00","43.8","2021-08-02 13:00","41.0","2021-06-22 15:00","38.5","2021-09-10 14:00","","","","","44.2","40.0","29.5","21.2","13.2","9.3","3.4","","","California","Los Angeles","Pico Rivera","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","1103","88101","2","34.01014","-118.06009","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2022","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","10.5","5.2","44.8","2022-07-15 14:00","41.5","2022-08-02 13:00","38.9","2022-06-22 15:00","36.4","2022-09-10 14:00","","","","","41.9","38.2","28.1","20.0","12.5","8.8","3.2","","","California","Los Angeles","Pico Rivera","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","1103","88101","2","34.01014","-118.06009","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2023","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","9.8","4.8","41.2","2023-07-15 14:00","38.0","2023-08-02 13:00","35.8","2023-06-22 15:00","33.5","2023-09-10 14:00","","","","","38.5","35.0","25.8","18.5","11.5","8.2","2.9","","","California","Los Angeles","Pico Rivera","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","0002","42602","1","34.06653","-118.22676","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","Daily Maximum","INSTRUMENTAL - CHEMILUMINESCENCE","2021","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","22.5","18.3","145","2021-07-15 14:00","138","2021-08-02 13:00","125","2021-06-22 15:00","118","2021-09-10 14:00","","","","","120","105","75","52","28","18","5","","","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","0002","42602","1","34.06653","-118.22676","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","Daily Maximum","INSTRUMENTAL - CHEMILUMINESCENCE","2022","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","20.8","16.9","135","2022-07-15 14:00","128","2022-08-02 13:00","115","2022-06-22 15:00","108","2022-09-10 14:00","","","","","112","98","68","48","25","16","4","","","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","0002","42602","1","34.06653","-118.22676","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","Daily Maximum","INSTRUMENTAL - CHEMILUMINESCENCE","2023","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","21.5","17.5","140","2023-07-15 14:00","132","2023-08-02 13:00","120","2023-06-22 15:00","113","2023-09-10 14:00","","","","","115","102","72","50","27","17","5","","","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"36","061","0056","42602","1","40.81614","-73.90198","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","Daily Maximum","INSTRUMENTAL - CHEMILUMINESCENCE","2021","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","18.2","14.5","120","2021-07-15 14:00","112","2021-08-02 13:00","105","2021-06-22 15:00","98","2021-09-10 14:00","","","","","102","89","58","42","22","14","4","","","New York","New York","New York","New York-Newark-Jersey City, NY-NJ-PA","2024-05-01"
"36","061","0056","42602","1","40.81614","-73.90198","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","Daily Maximum","INSTRUMENTAL - CHEMILUMINESCENCE","2022","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","19.5","15.8","128","2022-07-15 14:00","118","2022-08-02 13:00","110","2022-06-22 15:00","105","2022-09-10 14:00","","","","","108","95","64","46","24","15","4","","","New York","New York","New York","New York-Newark-Jersey City, NY-NJ-PA","2024-05-01"
"36","061","0056","42602","1","40.81614","-73.90198","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","Daily Maximum","INSTRUMENTAL - CHEMILUMINESCENCE","2023","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","18.8","15.0","124","2023-07-15 14:00","115","2023-08-02 13:00","108","2023-06-22 15:00","101","2023-09-10 14:00","","","","","105","92","61","44","23","15","4","","","New York","New York","New York","New York-Newark-Jersey City, NY-NJ-PA","2024-05-01"
"42","003","0008","42401","1","40.44957","-79.96071","NAD83","Sulfur dioxide","1 HOUR","SO2 1-hour 2010","Daily Maximum","INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE","2021","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","5.2","8.5","125","2021-07-15 14:00","112","2021-08-02 13:00","98","2021-06-22 15:00","89","2021-09-10 14:00","","","","","82","62","25","15","5","3","1","","","Pennsylvania","Allegheny","Pittsburgh","Pittsburgh, PA","2024-05-01"
"42","003","0008","42401","1","40.44957","-79.96071","NAD83","Sulfur dioxide","1 HOUR","SO2 1-hour 2010","Daily Maximum","INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE","2022","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","4.8","7.9","118","2022-07-15 14:00","105","2022-08-02 13:00","92","2022-06-22 15:00","85","2022-09-10 14:00","","","","","76","58","22","13","4","2","0","","","Pennsylvania","Allegheny","Pittsburgh","Pittsburgh, PA","2024-05-01"
"42","003","0008","42401","1","40.44957","-79.96071","NAD83","Sulfur dioxide","1 HOUR","SO2 1-hour 2010","Daily Maximum","INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE","2023","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","4.5","7.2","108","2023-07-15 14:00","98","2023-08-02 13:00","86","2023-06-22 15:00","78","2023-09-10 14:00","","","","","71","54","20","12","4","2","0","","","Pennsylvania","Allegheny","Pittsburgh","Pittsburgh, PA","2024-05-01"
"29","510","0085","42401","1","38.63011","-90.19778","NAD83","Sulfur dioxide","1 HOUR","SO2 1-hour 2010","Daily Maximum","INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE","2021","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","3.8","6.2","98","2021-07-15 14:00","88","2021-08-02 13:00","79","2021-06-22 15:00","72","2021-09-10 14:00","","","","","68","52","18","11","4","2","0","","","Missouri","St. Louis city","St. Louis","St. Louis, MO-IL","2024-05-01"
"29","510","0085","42401","1","38.63011","-90.19778","NAD83","Sulfur dioxide","1 HOUR","SO2 1-hour 2010","Daily Maximum","INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE","2022","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","4.1","6.8","105","2022-07-15 14:00","95","2022-08-02 13:00","85","2022-06-22 15:00","78","2022-09-10 14:00","","","","","72","56","20","12","4","2","0","","","Missouri","St. Louis city","St. Louis","St. Louis, MO-IL","2024-05-01"
"29","510","0085","42401","1","38.63011","-90.19778","NAD83","Sulfur dioxide","1 HOUR","SO2 1-hour 2010","Daily Maximum","INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE","2023","Parts per billion","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","3.5","5.8","92","2023-07-15 14:00","82","2023-08-02 13:00","74","2023-06-22 15:00","68","2023-09-10 14:00","","","","","65","48","16","10","3","2","0","","","Missouri","St. Louis city","St. Louis","St. Louis, MO-IL","2024-05-01"
"06","037","0002","42101","1","34.06653","-118.22676","NAD83","Carbon monoxide","8-HR RUN AVG END","CO 8-hour 1971","Running Average","INSTRUMENTAL - NONDISPERSIVE INFRARED","2021","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.8","0.5","5.2","2021-07-15 14:00","4.8","2021-08-02 13:00","4.5","2021-06-22 15:00","3.9","2021-09-10 14:00","4.5","2021-12-15 08:00","3.2","2021-01-22 07:00","3.8","3.2","2.1","1.5","0.9","0.6","0.2","","","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","0002","42101","1","34.06653","-118.22676","NAD83","Carbon monoxide","8-HR RUN AVG END","CO 8-hour 1971","Running Average","INSTRUMENTAL - NONDISPERSIVE INFRARED","2022","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.7","0.4","4.5","2022-07-15 14:00","4.1","2022-08-02 13:00","3.8","2022-06-22 15:00","3.2","2022-09-10 14:00","3.9","2022-12-15 08:00","2.8","2022-01-22 07:00","3.4","2.9","1.8","1.3","0.8","0.5","0.2","","","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","0002","42101","1","34.06653","-118.22676","NAD83","Carbon monoxide","8-HR RUN AVG END","CO 8-hour 1971","Running Average","INSTRUMENTAL - NONDISPERSIVE INFRARED","2023","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.9","0.6","5.8","2023-07-15 14:00","5.3","2023-08-02 13:00","4.9","2023-06-22 15:00","4.2","2023-09-10 14:00","5.1","2023-12-15 08:00","3.5","2023-01-22 07:00","4.2","3.6","2.4","1.7","1.0","0.7","0.3","","","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
