FIX_ID,FIX_COMMITS_MERCURIAL,FIX_COMMITS_GIT,BUG_IDS,BUG_COMMITS_MERCURIAL,BUG_COMMITS_GIT,NO_FILE_SHARED,NEW_LINES_ONLY_FIX,REMOVE_LINES_ONLY_BUG,NO_BUG
50149,,,50013,1452b45eed741e357f5868fc29c0bc8d93737008,f910524dec581f873238df68616b3bd50f04acfb,,,False,False
70070,423e0bfd69dbcd4f26c5c26dbc66af19cf7ced8b 684d0cb2a7a149428f380f5a0890a951b7c5f8e3 7a5a2c6cca08cce2ca8eb2947e2d348f4a350b17,a96eb3fe358a7b178213cbab39d42386531a6c40 2b612a841129383ca501d1aef7308213f2395e77 bd231c8f0214ad37935e61a7fc7ee4520b54a84a,70135,b33956ce2ada630a9681b0c59efe3b1c77b3000b 33a75b62f800a00c900f294f2f68031ea835d21c,b274b6fbb9eb0407ee9094b43775ab676324f6e1 6b23a70a1102a85ea8283d686a1e760038696eba,False,False,False,False
50145,,,50006,eab2944cbcb51004b09812ffe47c5958fcd4784a 4584e2657766cc90ce19ffb8a97deaa125b8a0d6 070889336604a9f7901d4ba34edf18149a8a4689 55b713175284e54ab322c8e23235e64c77c23dee,81f81d8d57e77ae26428d3b37e3085d6fa21e9a7 791f7c73b2c6b4fa2b0a6e1200de7bc4660efd4e 86ae0d6d20838d6b1416e6206f711c116e5f18f7 5a753e5a0401e90a39be2dce13af59a0b3bc5eed,,,False,False
60302,dbea03d7f28e662a7437fa0df43fb2f2043a0892 f6c2e88c3322899be6bd7ae3cc6ab1e5e110af00,1acac5442f2348f7042a0366e546fca66d43e8b4 2f578c590cee923e83de988cad9dd9852d25d91a,60368,,,False,False,False,True
50206,,,50012,cbbdb0b58897cf5c314e28161e232678f515c1ca 18ac4c8193d99e8b7c14af33a72115890ed99fc8 ec5c1738ab20d74471d38b81ee7e0f21a3a148cc b4f1a80ff4476ffd5d8269ccf6e7055f3a00ae35,9fb5e2607650c8cafbd75e74bb8cfbad059ba5f6 16cf0207e2f308666aacd5ea41c6a8a6f923fc9b 6637c684e5bd8b09efc3ff3eb53a23009dab0377 cbf148bbd7a5c385fe6a60477ff37373c9269933,,,False,False
70319,4cb2da4621bd41e6021d6b2b803f3d1fb11b99fc 2c95d48ad35ed2e0b3db78f51309816a38900060 fa8180adfa557c49c9f6d25d59a36fd4fae9fc7c,18aeb2633d2d43c5102f6ce67137e741c0867be5 6434c3a8717be2366e369a4a8c53e2a43e07284c 8b321e2b5124bbb08f7b1acb5186c29acea7199e,70092 70478,75ae8802d065a9e31010fd6f3fc3eaf06f5ac0eb b691666d8526ecf8b3b838f02f64d491957564f1 784dfe6e3447882c4dddcd7506ef5dd7f0a60035 7baa42b3270126fe851cc2396219f65759e20662,556cc58bf226dc6505ade0adc922cb29f0f2d6c3 4dac4319cf471ebf07ac391d05c5b375283d05b9 f7010ece8e44f783baf91990af4d53ac6bf77ae5 47370689e00427b3608d28106116d45b9e1838f3,False,True,False,False
30004,3e84c35f0a22bc7a118eef79c9fa19a9d801d245,58176348a49f458f3e7b75cf2aa73f0cf698a412,30002,eaa3f5cc7a2ba1f2fbc4230def1ff73ff3f4d973 b75bb9e4e3172c1bcbe8cea2462cd2ee1a3c6e6b 2b46637029a7b7d57ce82a4a97410191eabc1ee5,cc70972a0214777271cb16bc26082c14ed6e3cef 0f6674a97839018ee3ea551d66aed0a5db1d3c54 985ed3a963d47e8625148a1671e6698338cc0221,False,False,False,False
60201,666388661a8c2710ff99932085d11b9a9d636263 dbd454bbdd784128fe5fc5a5cdcfb60891516087 510da53ca7d16115d749d4794d95b08242e87b5d,25ba599cc93d575dd138dcfd6084ba8d83efdfd2 31ca75634573c9f2a5337aba3ac92920cfda3700 840631e53e9d8b7084d87880f2a63fd2eb252713,60269,3e65697f7b01371f5113a1729f773c2cfb97fd26,e5fb590f56ed37644e0faa9f2dfd9efe2d4a2820,False,False,True,False
70138,1ca95a7b52ea51792fa108f38148adf66a89d6ae,93a3fbfb2122de607f558a6d9b3b6735b5b256e9,70182,5fc1111c60376fb18a15ebe1d83e9b099d0e0076 93743c1b4b916b2d7d29f9d6a278cf49a0620af7,5de8e1de6245548e18cdde916950b65e3c448dd8 815d085055898fdfd7799494f9aa412e9242d066,False,False,False,False
70345,02fb25a24bad30d5b5ad04f482e6495fcf8c264c 281a1e2b8a2aeeb558a4604ee8418098ebc512de,029d4b7c8fd552179e317e8fa0adc34bf6ff1909 72fc79a09766527dc9989f586a5179ede8427885,70206 70345,333481b10da5b38cf6e24f8db3520009b0302559,e017c49d16d45fa7af7420bfd907571274428650,False,False,False,False
70060,d8b5bb21c4b0be08931ad32b16dc719d46266a3e ce1aa035cba3c854c12a0159b476fe0aebadd2b3 8d8d9ff6262b0447ad29093237cd68c50d9f8608,1117ca087d99701825171accd28ce3a3319c5fc7 ebb15c2de79523f8f5b8a0a5ce00a977871653ce d1eaac13937535f7240ccf832091bcd200b6dd2c,70357,3e7780a565e43597d07a40dfc2bbee3c56462211 1789d242b1771c1999b0d8f7519a6b31159843d2 2c4706695b01659aeb954453590f859c1e687adc,cb9108ba175a0e03ffc62f3700f728b175363360 f2d4b6d5682ddd06385b00f9278b7fdf61d39949 d051bacbfdb74f4ba427540f4b0e8b552d29c81e,False,False,True,False
70143,81f03e9adc1cf3c747620c7112ed80e65d8aa16f 4192e0be2f753b0d3b5b51b2492381f40b1f3e9d,7c63bfaa31b5f99ff7d9b39d1b11fb2251591e14 ac86ce5818fe88e0eeb0e2209d38eb7e9e876680,70202,639f2e396dd43ad7e51e3a0e37a889e48d22549d 8a24cd47446407db507a437b23858942665a1a02 3934c8fe3cd6dd21b19eeb2346f2e374290710d7,82c6381d587f33522dda08f195049bcfe257b581 b9a3b5e620e2f9b5a58e88461bff56e0ba6297e3 78a43a96af34d9ebd13f81615bab64ccdc1652b8,False,False,False,False
60216,a5f00504ca1586b3b1d0e9e38678eb0b516059d2 ebc3a0fe9fe24c3ff2590451b8026b02eb31d5a1 f2df4b415ab8e450126e1bf617553ede2dbed3a8,d534ef91e0f6368f9a3225f4e41d21ecc4f8b55a 21356665e96757ae84cde635d5b4de6eff6f44d7 b6c470a7f8ed6b8d00c875f004bf23814b143247,60260,31f849b21179d5b48e773eda57222ddc3c4927a7 c355af7c32f3e2968e5fbe0bd63de09f1b9d2b32 6821c0f2fdde653720b1a316913a0e3b7653b637 4d369862fe903984d1bee2d7b58b4c61c9356082,e7c935f3cf6c4ccea231ccd736facc26a63d4d03 3441c77fcf5901077731cf518a9acf1ca993d71b 617a2ce3ea54c1f50b323f8aac786d0855997715 fe8af4c28d087b988db495d1d7a15c4ddcad0083,False,False,True,False
70084,a49cb4c0f8f61b118d3e45edb8e085348b0aea7e,ca1d58d5949004a40a0f49cc62de57dc4ac4ae23,70435,e377ae1962568fb4577babe15024b00e81c64677 302656aae8c2f37c9ac0111178b0f20199cfcae3 b75b71426ccc1bd33ffe9a5d7f39719188023c41,7b81f4137bebd5c9be14511856e5818ae84adbc1 8eb612fa1cf65c35ea45493d978dfc58c8aca51c f5432c69db845d09c61b3ae5773e96c8ee9924e7,False,False,False,False
70385,6cefc42d6f32b5bd8f8938a5bf641f52c8f00363 907238420c0f9623dd76e4d88834b5cd56f6565c,37ed49fd36c561874e4d47b77fc9df0e3685164e c5e32a3736c92a9bfcf7854a889c549255cd2dbe,70077,da07f116114be65b122674eb6029968f0437ab7c 9ef55778edf12dae7ccd603a79a668c5a8e60175,49dd62dc91c4a9122d24d0fb95cf5a5933b42ebf 8f83cab949f8a0fee89f14103936ca75b984c251,False,False,False,False
10105,d7c6d1f71db5cd41e6fa94aedbdfe302d00c762a e0b94d22dca8e24664bb58fc46d6606408f0e503 5d65324f78ce882b754a874f3f151c7fa2d044a4,744c46addac3168d88c616e17ec7a570b4735ce4 0de661b26938b5538a2bef70138bc864a2a04276 504b8f2d25f0c1ac2ce9ed29ac44725707ac84cf,10014,8d89cf05494bf6d0ed9281a7319f0cc1a2677926 71f3a19b08d6a8bfee1e6c715b9076c739c6e84a 11c9346689b0ef8d8331813414da2c353bf01c8c fa2e9f32ea7875e26b3ecb894adbc9daa7332ebe,8623d77db7629671cb2bf576c0ac00c78475bda6 b2f3beda1dea385237e9766bf39ef58e665e278e 8ba6144d4881bd4ae695e271b547ffa3526af7b0 d610953c0ab4ceb1e905fca0daf4100097b64319,False,False,False,False
70330,a1470fcf0f1f472bf5bda225405ee0860707fe9b cffa14da44b81be4329845316613a009195037b1 0c736bf8083b563c6a0d209d361557a33e8f9bb0,d22977f157776eb5ec5e098b0dd2d2ef80a0501f ac5bd4ecab36a102a6ed198518127504925e95e4 570f223c48738ec0ec74d9a56510f97953a4aa06,70438,105aa5186a5ae4538f76a9626f512147b3a7ccd2,de6008ee85c3e8e8105bb498c6a5e0a689b41de6,True,False,False,False
10106,715ec5ab60b181bde686a4659c0e3176b24cb955 c62a553162d888eabc2b50a8214871f47c67f6c8,9ba1a4a0097c7ed77f6cf549cbd6af59dacdf2a3 cb90f5f7fa30d8d5a7cfff4a8892237d8cc06b52,10014,8d89cf05494bf6d0ed9281a7319f0cc1a2677926,8623d77db7629671cb2bf576c0ac00c78475bda6,False,False,False,False
70492,ceb15915cd7a32cf066a24e31d8dd1bc9189c898,7d94b7054a16671805e878dcf078baa7d9b58e9c,70058 70032,f8a144ab61f3ee7925f3c38b62872bab784a7b10 19ae3fae53b40547572b3bba1971b2cfcede965a 7649b4b66f4349af6952bad86ce57ad5f543c13d,873956a7691dcd0a6d7d4945082de473af95d819 0a5ba0772b3f148753d1e617e3ab17ede6228b55 585ca50c97888ad40806622c3a5b5688fedb78a5,False,False,False,False
70275,9dcf0998d3841f56bbd13c83e68e375e747615ee,965e4886d9ac060f95d5a7494a243c388743c83e,70431,b880deb3b7d951acd32c843cfda1b73d87dd52dd,939d1b37a6dab68a4f4adf695678c574f5dab744,False,False,False,False
70223,cd6b715e00828370d1f2ee5cd78cc3b850bc117e 9adc3ebbdd076e3ed62b7300bf0f804c14f984fb 55165bd520d5bf64b9a538d9f675267c0c73449e,b4e613e842ee2e9892d8fb2c66fd493ed85388ef ebc9d08765046e64bf6250c97157a2a72ffc13ae 0d8b5351eccf5f490def0fb023674faa57d9669d,70148,62a73b90c58174eb5d52cb146bef27361ceb8418,ce82d16e8984199feb3259d444ab8b32b53f8084,True,False,False,False
60055,b5d0dc0d9254089acb18311b7cb379714a4b74cf 20e5544dc40461c57dbd8b29063778891cc673d8 1df475ff66011431eb6cfec72d18f77d430d5b20,9a32f51aed24dbd58e88f19e24efdea44bc6cd27 263b55132c021a1d0b3acf9803e84f0aa373a14c 0f69d8c9fe815073a537be13463a81742e0d7600,60115,30edfba255a3f1fdf4b704cc89b7e8d70c872441 8784fec516b8bf1bcc59b9eae0bd2953e34c638e c653ed8b791e39fb2f30525d3b3d81d025797889,90806c28fbab98020971630d282a2c9b834b6b9d cea9a6b768498efd0c32aa9c1756089f26105b15 d746e1e20513fe1abdaeb5e53daa4611c82764e2,True,False,False,False
70255,53071d494526b1d5aa72c79fe4c78a2728c35bdc 71aaba73c146f76b45655accc4680264789e4099,b45104bfb4df80648971b738fc75d7358e3ff005 c8bca35ab243f723d7b50b4483457897ad03fda1,70264 70255,4cee2740c58f7183b1da97d2931d9f73d4cba538,25c4f6da6e684e86698b7da7e1637fcccd0ff38e,False,False,False,False
50233,,,50009,192d6f124ac2f06dc622494627f9893cc239772a,99c46e26f453e5f1cb9aa87310eb772b0a110a80,,,False,False
70050,0f4ca2ca3b58946e10e954f3058c0a4957c10723 0aa5fd0b01938a55da6f0acbe7c5213a67d01596 2ba434a884cf95f847f582cffcc068c9b010d610,189c89f915b1e3dcd097b0a7d97be3d5a35433d9 ab236d7481e6d8cd59d2c241c19817d902a51087 5bd6dbbbcc66df103ed0ecfce383e38cff85de77,70403,ea92128086e741285ade6eee514c20a5578ce796 6fe539c906dd4287b8e79b6b0a31b82d68c97318 f7cac1d50b89be4edc7465be9ad1db9da189c15d 36abc98aac03f3870aa5f664c3decc5522a8f3f5,427b1456497d2dd46a0311b5664281eae94c004d 444f879385d05292e98cfec409c0426eb5f04e61 b7fe61795b4bcd2b847579e5482767dd1015816c e2c1fd0993b69a5174e04ad673fc635f174a347d,False,False,False,False
10107,371127b7fb08b0e2d673327707d0001a89d90fd7 efbc1f79e62a6e00401e6cf9723e8f43774218b2 4ef352390f62ad1d110dbfa57b0b581484a2b48c,1216c266862ef44e082cda05c74aa7d14bcc00f8 2d774a98f7e7ee4b22d293ffaf3489353ed1d1e3 3e0714b91a62e1e6ea28b82b7c72341f1bbaee61,10014,8d89cf05494bf6d0ed9281a7319f0cc1a2677926 71f3a19b08d6a8bfee1e6c715b9076c739c6e84a 11c9346689b0ef8d8331813414da2c353bf01c8c,8623d77db7629671cb2bf576c0ac00c78475bda6 b2f3beda1dea385237e9766bf39ef58e665e278e 8ba6144d4881bd4ae695e271b547ffa3526af7b0,False,False,False,False
50143,,,50002,14085a3c8802f56491353b2e83ac6accba0c8a8e,6aa5b86f57069e2a5c5a7c7345ba5a675b22e26d,,,False,False
70142,4394d27ece3c63d5e5208f4f9e56e22f19f36d58,94f9cccbcb69ea83a63b64c83f4e81eda21c3d21,70264,,,True,False,False,True
70342,397f160c6c10500af0dd2d6eff8679cc2d3026bc,59fe733fb37377f26c7b49885831eb2255a84d66,70206,333481b10da5b38cf6e24f8db3520009b0302559 c787cf9536fbec8bc1021d7902fef1f473928b9c 4b85a644b0f7475b7dc54cf1c89384efd309c0d3,e017c49d16d45fa7af7420bfd907571274428650 5b2f58ccffc5d5b7c9d65d3907b1f31120512603 bb0b4a2e393b27ddff1462f5f6044406e11ea7fd,False,False,False,False
70322,06017738ab8c13ee89d8c29e8fabb64c783e138b 0aef53fce4dbbfb2f007ef16a1ea555be73b789c,c421418c3d8f72fab3dadc4ee7a1b3e98df281eb 0d22429e2381180004a851b21b4e73215c864850,70213,f623b7a3fe404f48511873ce95e376a644c002c4 9e43fe68892ab46b92278377685827238a1b6fba 142cc398a99f4de075a7cae6181acc90cc174fa2,29be54dfab2eba851d08f4b654ef29d42c6e58dd d56365465bb3abc5a5e70f92dd81e55dadf04b6b f75488c310af71b5d2369115a7e18055d93be034,False,False,False,False
50140,,,50015,2dccc44d86be786d2ae329e1ba1c548e62781b12 cede551d19d446910d4ac2508d8f08f99a47473f,017e028da8636aba83489375fc550aa99b3d7d29 c92979d820aacbd6703f470df6d5fccfe5b205f0,,,False,False
10108,04edb26582dae0c8517bfee13bc3d2a1049db7c7 70d2f89585fb34afbed8d2aefe804872e79a422f 2500f155d41c2909f12e0708c8654b2921f24de0,8e67ba267c877b48bb30cb90afc88a528129f284 aacc000f6624be6e27d8a4e7fabd699a2cbc8e69 283f7096d95b50cee4d0107432bd836ab793e8bf,10014,8d89cf05494bf6d0ed9281a7319f0cc1a2677926,8623d77db7629671cb2bf576c0ac00c78475bda6,False,False,False,False
60231,a36c163f7656f054bf405b8126d2765cdcd4e040 79ec6dba850695615b7d0fb5702faa702281594c,864124f7c09a02e7079c3b84b5db029e14a540e2 41e6a11e3cedec808140b4eaf8b5d7dc34904604,60256,7138fa2719d6362b03025d85d2e84284b46360d8 86aa6242481f0fa932c0eb93cf439ddb44b17809 425122866eaf30ec58180089c5c1a05b0ddeaba7 3c9c86dd2a4ed0574a8a525a9eaa6cfc228e67d1,3e493c6028a56d53dd176a0c206202caf69996e7 532621d5a341772d62fc1671cc8e726976fd099f d09ed0c911f8cba6500d38df531ddf802a1aef80 f0428780982d268a8a3eea3f66175d9ea3f7749e,False,False,True,False
60003,e798c75e11f8840b8b2d4cfdab5db30eccf1b951 01d728d180691cc3e6a7052af9ac30b5fca72c28 3562a00fb50b751263ce3a8088633b9999da2384,1c95c9c51e057ddc97515596b3e3a5938472f606 08f75848321e1f0b1b69c0cad7ce0819e8f3fa07 6efbeb7b0b7f3403638d2774c7c68a11d4c69bec,60122,770a8846ccfa6c106d537ab6e2ff2e53d80b62a3 1291d86150e4cfcb882e3680b2d204681644ffea 0972ab52f44a8fddc2fa4c2e4de9d340703ce1ff,50e729cac1b7cf8c226422afc1f9ea9b0cb15be2 9b2345cf05960b764ba26896e31fdc8376465be1 5bd48593f18eea75dfcc432ffccf53e326477222,True,True,False,False
70460,00b6e43835e03009cd1a878e5e0586b32036b35a 6012bf9ececd3406139ebdcf797293f9c83ff487,b7f951f55db8bb6bc6fc9ec2d0ac7587141d8b31 95d998daf9ad4637a3827d023efbf8c618395330,70031,efcbd7555ac6e0f99ebfd114a33527c7ece8e003 7b6944c7487b2a0d490eb1ad8bc490c98617f009,caab8398f31de4129d65cc2bd68332b4e5b936dc 2eab4ab9b88c8288c8e2478e8379b1480308e2c4,False,False,False,False
60203,b04087a60c69b24c5ceac58193b456e9569b29e3,c5d93aa4efdae0844849c90e2df518092ce6f049,60253,f0280e826d7048ec73468d13e93cdd873aaa525d,4081ea043cc446c934dd99bf5ec1f0102f859834,False,False,True,False
70443,58a98be161a6eef5b985ad15bab2c089606dcc83 14529c587d8e6f9879d775d097a312898cb1f73c eda6c4298ea0d4976fe8ad105977c8c2ae6c2111,fc18432f16ca9fac85bb5ae842123f871ff15cdd 9929aac45f9bf381e6f2a61caaea9b42186c11b7 622595989eb3dba8795182355542499c2b13bc02,70220,4f2594ebc72f874a1b80023a176837495fd32d98 4b97a66731932f30ac20176352c520964c0c524c fdc46a0bd534ffac25f91262f70b38e25271b07d,d67b1ba381adaa43bbcd353981ecbe15ac51fe4e bf3c99bf8613ff570e3572a65edd126bdef466a0 8135c684de7b6f01966c4977369425225d3030af,False,False,False,False
40003,5ba8a00ae741ffde6c1318c26f8441c2b0584c8b 3c0228c1072b52305ae7a5b184ab3de0025bdf94 101257a43ae53c9654ddce1b73ca871f6e177267,be314a9d848d8d35c642365e0aca363b241962ed c3397885c27b913e2a4782d6f1029694e0aca8b6 60d37af4c7df286f5adfbd5258831cf4ed417ac8,40001,d845296b1d701059660386a05dbc23e722797458 2ada21f98416c26e953b8360caa846fef8805919 ac6ee8ed32f7b07f73658d5073ae06b391943b08,53593d88d9acdaa62e8326afe3df7002df848995 e1c1a98e2de843b1d57b732b8b5bd10e2a3399dd 2ca4774df91bb59604b0d35172460425fe5b8076,False,False,False,False
50165,,,50020,e2b664053fe677fe6a253e22a1345648584886e0,adcdbfe01cf8e66b55027cc0e425063c2c56ccc5,,,False,False
70278,967fe26cbd07230c4c2d2a17a9b6a5174c32447a 5e5d401a8a7371f8cf8d08c822e57a04cc6b4816 6ca1066e2441c318334e18bced206799be2e9257,335102e0578710e535eb3053f6573f668aa18223 bb1ea48636d440ecdfbb716f5d4ebb2de7c76be7 345e995ba04d841f9b4721c5e850b69dbe4e9b71,70299,7106f4354995289c72031122797c4f5fd7bcecd0,2a20702c949f736ca5e0eefb4e6e3af16c8b312a,False,False,False,False
20007,5b48c07d7e62c235b910321d7733964dce1b48f0 c8b5cc909a6458182fb181cb9f3274268f8aab30 49d329c5afb1f77fe1be661c9d32a7470e7cda06,d039e19efd15f23a5f698119ce043d5b37f024a6 a28d6b1f5b612f7624cd80c51f9f912add0ca29b 4060a79a98416286089b355c06b69ecd1a89a934,20006,8856c2f1f0a7c5538e7fa009351b37a782354d0a 585cf2870e87f13cd934e205b7df80173a8c6c3f,0a56da6f056cd39256c156d340b13c4a9b51bc4c 07742ee87f64b6fb80550b15b0d63dbb71153c96,False,False,False,False
50103,,,50002,14085a3c8802f56491353b2e83ac6accba0c8a8e 3daeaf6281d8e412d9f0b28ec1d18c41d5d5cac6,6aa5b86f57069e2a5c5a7c7345ba5a675b22e26d 32b7e056fee50fb3f171523b58689fb43bb1c3f9,,,False,False
70308,389a9ba1fbcac13b1ce451c92bfc17b2ab285ab7 397c0d931834ccd20ac3313179dfa0ed11b1da57,818f527ba3b7a0e9e9849fbe745964fab0329871 69df65bfa6cbcdc10a200b94ba559c0e0cf75a6e,70354,eb4380cd0f542a6685eb0314578a4c3e6e8a9b4d c6d091831e7e720525890fa6253abb833acfe858 891e86655102ee7cb857e31a05f6e162580db13f 728d92b9146e0a88ea671cd3120e665eb5c424de,b099868f1072ca2b17260aafa621f677fd5174c3 87fd63c9aabc04a65c3759d775a66a19eca4d252 d732751afb2b25188dff890d9c98240367a40db5 85052ed1ccf6d6d0042df5086a9be2882318204b,False,False,False,False
50236,,,50012,cbbdb0b58897cf5c314e28161e232678f515c1ca 18ac4c8193d99e8b7c14af33a72115890ed99fc8 ec5c1738ab20d74471d38b81ee7e0f21a3a148cc b4f1a80ff4476ffd5d8269ccf6e7055f3a00ae35,9fb5e2607650c8cafbd75e74bb8cfbad059ba5f6 16cf0207e2f308666aacd5ea41c6a8a6f923fc9b 6637c684e5bd8b09efc3ff3eb53a23009dab0377 cbf148bbd7a5c385fe6a60477ff37373c9269933,,,False,False
70479,5bec81c7e9fb25116373f1619d4e4e40ce25d04f b26dcadde13e23a494c1db1e041b2487150d92ed 969cb0e56e4ab83daf3b9261b86f3b1bc7a5ef99,5ab78ddd06072b3b7e2da84a73d3ad9dd9d3648c 61205b45d533d6bb92775c966eb55e792a940102 36c6a8f66986e75ffacc0fa83063ac80d6f036db,70071,f94774624ea9fb0c3b782efa45bf1ae764191817,a5da052293963c50a9b871d3a2a5049a803e7c79,False,False,False,False
70310,c55078c8f462fb148f4c2841f3dd6fe61039db0e d5156a7fe08707130b7148b6be2565f2e616098b,5f4c87d03c1b1a668367618b0fbfd35655155dc1 9b4a38f10a027ffa1ac1cf278d0f85992128cc0b,70225,f335244a74c78f87325b5745b421dcf8180d445c 78709600ebfdc573346cbc0e7924163791f87271 6b2d5282c5e3ed1c8375ef19e6dbc9324a9d0b9e,e8505794e393a59e2f3c9762c8fa42bfef5331c6 d19ef68d4773679535a26ca1607bb0fcb6ea6619 f9f5504a7c938d4bf7e1a5fdeebe3d787031ae62,False,False,False,False
