scramble	id	competition_id	event_id	group_id	is_extra	round_type_id	scramble_num
B2 D2 F2 L' F2 L B2 L2 F' L B' L2 F L R B U B U2	6102	TelesisBlindfoldOpen2014	333fm	A	0	f	3
R2 F' U2 F D2 B' U2 F U2 R' D2 B D2 U R D' L2 F2 D2	6582	RumiaOpen2014	333fm	A	0	f	1
R2 D R2 D U2 R2 B2 U2 R B U F' L D' L' F U' L'	6583	RumiaOpen2014	333fm	A	0	f	2
D2 U2 F2 D2 F2 L2 U2 B D2 F2 L D' B' U2 L R D2 U F2 R2	7230	CherryBlossomViewing2014	333fm	A	0	f	1
B2 U R2 F2 R2 U' L2 D' L2 F2 D' R U' L' D' F D2 B' U2 R' D'	7231	CherryBlossomViewing2014	333fm	A	0	f	2
B2 D2 B' L2 R2 B2 L B2 U R' F D2 L' B D U' B' R'	7232	CherryBlossomViewing2014	333fm	A	0	f	3
D' L F L' B R2 U2 L' D' F' R' B2 R2 F' R2 F' R2 F2	7318	DeWilgOpen2014	333fm	A	0	f	1
F' R2 F R2 U2 L2 F' D2 L F2 R' D' B D2 U R2 F2 U B'	7684	GermanOpen2014	333fm	A	0	f	1
F2 R2 D2 B' R2 B U2 B R2 D2 F2 U L2 U' B2 F R D U2	8269	DanishOpen2014	333fm	A	0	f	1
B2 R' U' F2 U L' F2 U' F U' R B2 U2 F2 D2 L2 D2 L'	8270	DanishOpen2014	333fm	A	0	f	2
D2 F2 R2 B R2 F D2 F' U F2 R2 U' F' R D F L2 R F	8271	DanishOpen2014	333fm	A	0	f	3
L' D2 R U2 R2 B2 L2 F2 R2 B R B2 U L2 D2 L2 U L2 R2	8871	BPCubeDay2014	333fm	A	0	f	1
B' L2 U2 R U D' R' U2 D' R2 B2 U2 B2 L2 F' D2 F L2 F' U2	8872	BPCubeDay2014	333fm	A	0	f	2
F2 R2 D F2 L2 D2 F2 D' R' B' D2 B' L B2 R2 U2 B' F L	8873	BPCubeDay2014	333fm	A	0	f	3
L2 F2 R2 B U2 F R2 D2 L2 R' U2 B' R2 B' L2 U B2 D' B' U'	10284	ZaragozaOpen2014	333fm	A	0	f	1
B2 D L2 B2 L2 D R2 B2 R2 U2 F D2 F' L' U2 R2 B2 F' U B D'	10431	MarikinaCity2014	333fm	A	0	f	1
B2 L2 D L2 R2 B2 U' L2 D F D' B' D2 R U R B L F2	11050	SlovenianOpen2014	333fm	A	0	f	1
D F2 D R2 F2 U B2 U R' B D' L U R' B' F2 L' F2 U R2	11467	BeijingSpring2014	333fm	A	0	f	1
R2 D2 B2 D L2 D R2 U L2 B' D R2 U B2 L U2 B' L2 F2	11468	BeijingSpring2014	333fm	A	0	f	2
L' F2 U' R D' F U' R L F' L2 F D2 F2 U2 L2 F L2 F	11469	BeijingSpring2014	333fm	A	0	f	3
B2 D B2 D' U2 R2 B2 D2 B L' D R U B2 L2 B2 R2 D2 B' U2	13184	VelbertEasterOpen2014	333fm	A	0	1	1
F B2 R' F B2 D R2 F U R' D F2 D2 B2 D B2 D B2 R2	13185	VelbertEasterOpen2014	333fm	A	0	1	2
R2 D' B' U D2 F2 R2 L2 F' R L' B2 D2 R D2 L D2	13186	VelbertEasterOpen2014	333fm	A	0	1	3
B2 R' B2 L' F2 L R' B2 D F R2 D' L R2 B' U' F2 U'	13187	VelbertEasterOpen2014	333fm	A	0	f	1
B D2 R2 B' F L2 B F2 D F2 U' L' D2 L2 F' L' F' L R	13188	VelbertEasterOpen2014	333fm	A	0	f	2
D2 R F2 R F2 U2 R' U2 B' R' D' U B' D2 L2 B R F2 R2	13189	VelbertEasterOpen2014	333fm	A	0	f	3
U' L' D2 L2 B' R F2 L2 U' B D' B2 D' F2 U' R2 U R2 F2 B2	13365	IranCubeCompI2014	333fm	A	0	f	1
F2 L2 D' L2 F2 D' R2 B' L2 B2 U R' F2 D2 F' U2 F2 R2	13366	IranCubeCompI2014	333fm	A	0	f	2
U2 F L2 B D2 F2 U2 B2 D L' D B2 R2 U L F' L2 D2 R2	13367	IranCubeCompI2014	333fm	A	0	f	3
B2 D' F2 U R2 D' F2 D2 R2 B U' L' U2 R D' L' B U2 L	13581	NaftusiaOpen2014	333fm	A	0	f	1
R2 F' L B2 L2 U2 R U2 F' U F2 D L2 D R2 D2 R2 U' B2	13582	NaftusiaOpen2014	333fm	A	0	f	2
B' D B2 R D' F2 L D' L2 F B2 D' F2 L2 U2 L2 D R2 B2 U	13583	NaftusiaOpen2014	333fm	A	0	f	3
L' D' R B' D2 F' R2 B R' F U D2 F U2 D2 B' U2 B2 L2 B2	13857	ShanghaiMilanyuanCafe2014	333fm	A	0	f	1
F B R' F2 U' B2 U R F' R' L2 U F2 L2 F2 L2 D2 L2 U	13858	ShanghaiMilanyuanCafe2014	333fm	A	0	f	2
D F2 R2 U' F2 D2 U' F2 L2 R2 U F' L' F' R B D' L2 U2 L B2	13859	ShanghaiMilanyuanCafe2014	333fm	A	0	f	3
U2 L2 B R2 D2 F D2 F2 L2 U' F U L U2 R2 B2 R' F'	14553	RomanianRubikOpen2014	333fm	A	0	f	1
F B R' D R2 D2 L D' B D L2 F R2 U2 F R2 D2 B' R2 L2 U2	14976	DidasBrest2014	333fm	A	0	f	1
L' B' D B' U R' F U' F L D B2 L2 D F2 D R2 B2 D2 R2 F2	14977	DidasBrest2014	333fm	A	0	f	2
R L' F R2 U2 F R F D B' D' L2 F U2 R2 F' B' L2 B2	14978	DidasBrest2014	333fm	A	0	f	3
D2 U2 B2 F' D2 R2 B F2 U' B2 D' R F D F2 R2 U' L2 U'	15101	GijonOpen2014	333fm	A	0	f	1
B2 U R2 D2 U L2 U' B2 D2 L2 R F D' B L B R' F2 U F	15102	GijonOpen2014	333fm	A	0	f	2
R' D2 R2 U2 B2 L' D2 F2 L' U L2 D R D2 R F2 U' L2 F	15990	HefeiSpring2014	333fm	A	0	f	1
U2 R D2 F2 D2 B2 R2 D2 R D2 U F' R U2 R' B2 R F R2 U'	16036	MITFMC2014	333fm	A	0	f	1
D' U' F2 D' B2 D' F2 L2 D2 F' D2 R' F' U F' L2 F' R'	16037	MITFMC2014	333fm	A	0	f	2
F2 B' R' B' L2 B2 D R2 L' U D2 L' U2 F2 D2 F2 L' F2 R	16038	MITFMC2014	333fm	A	0	f	3
B D B' R2 D2 F2 B' R F D R' F' R2 U2 D2 B' L2 B2 U2 B'	16703	CastellonOpen2014	333fm	A	0	1	1
F2 U2 R2 F L2 U2 F L2 R D R' B R2 D' U2 B' R' D' U	16704	CastellonOpen2014	333fm	A	0	1	2
R2 B' D2 F D2 F2 U2 B2 D F' R' F R' D2 F U' B D2 L'	16705	CastellonOpen2014	333fm	A	0	f	1
R2 D L2 F' D F2 B D2 L' F D2 B2 L2 F' B2 R2 B' R2 U2	16706	CastellonOpen2014	333fm	A	0	f	2
U F L2 B R U F' D R F' L' B2 U2 F2 R D2 L' F2 U2 D2 R'	16707	CastellonOpen2014	333fm	A	0	f	3
F D2 B2 D2 B' L2 R2 B' L' R' D2 U' B' D2 R2 B' R2	18654	OficinaOpen2014	333fm	A	0	f	1
F R2 B L2 R2 U2 F' D2 B D' L U F' D' U2 R' U2 R2 D' L'	18796	FrenchChampionship2014	333fm	A	0	f	1
R2 D2 L2 U2 F2 R2 U' F2 U F' U' L2 D2 L2 B' L' D2 U' L2 R'	19281	ItalianChampionship2014	333fm	A	0	f	1
B2 U2 R2 D2 F R2 F' R2 D2 L2 B R U2 F' L2 U B2 L R	19961	OxfordOpen2014	333fm	A	0	f	1
R2 B2 U' F2 D' L2 U' L2 F2 U2 R2 B L' B2 U F2 L R' D' F R	19962	OxfordOpen2014	333fm	A	0	f	2
B2 F2 D2 L2 D B2 U R2 B2 U L2 B' L D' L2 D R' U R' F'	19963	OxfordOpen2014	333fm	A	0	f	3
U' R' B2 R2 L' F2 B2 L' F' U D2 B2 R' D2 F2 L' U2 R2 F2 D2	20778	CaltechSpring2014	333fm	A	0	f	1
F2 U F2 D U B2 U2 F2 R U B L2 B' L F D L' R	20779	CaltechSpring2014	333fm	A	0	f	2
F2 U B2 L2 U2 B2 R2 U F2 L B' R' U2 L' F' D2 R' F U' B'	20780	CaltechSpring2014	333fm	A	0	f	3
F' B' D' L U F2 B' R U' D' R2 U2 D2 F B' U2 B L2	21445	KirkkonummiOpen2014	333fm	A	0	f	1
F D R' L' F' L' F2 R2 L' D' R2 L2 F2 U2 D2 R2 D2 F U2 R2	21446	KirkkonummiOpen2014	333fm	A	0	f	2
L2 U' F2 R F2 L B' U F2 R B2 D' L2 F2 D2 R2 D2 R2	21447	KirkkonummiOpen2014	333fm	A	0	f	3
F U2 L' U R F2 D' F R L' D' L2 D R2 B2 U2 B2 U F2 U2	21666	MoratallaOpenRubik2014	333fm	A	0	f	1
L2 D B D2 R2 L2 D' B2 L F' B2 D2 L2 F2 U2 D F2 D' R2 U	21667	MoratallaOpenRubik2014	333fm	A	0	f	2
R2 U' L2 B2 D2 B2 D' B2 D B L' U F2 L2 D' U2 F' R2 D R	21668	MoratallaOpenRubik2014	333fm	A	0	f	3
U2 B2 U B2 U2 B2 D2 L' B' D2 F2 D2 B2 L2 R B' D' F' U	22559	BrasiliaOpen2014	333fm	A	0	f	1
F2 D L U2 F' U2 B2 U R' L2 F D2 B2 D' R2 L2 F2 L2 U' F2	22560	BrasiliaOpen2014	333fm	A	0	f	2
R2 F2 R' B D2 B U B' L F' U B2 L F2 U2 D2 B2 R' L' F2	22561	BrasiliaOpen2014	333fm	A	0	f	3
D L2 D' F2 U' B2 D2 L2 U' R2 F' U' R U2 F' R F' D' F2 U	22663	BerlinOpen2014	333fm	A	0	f	1
R L F R' U R2 B' D' F L' F U' F2 U2 B2 L2 B2 L2 U'	23799	UkrainianNationals2014	333fm	A	0	f	1
R2 D2 B' L2 U2 B2 F' L2 F' L2 R' F2 D' F R2 U2 F' U' L B2	24051	Waterloo2014	333fm	A	0	f	1
D L2 B2 F2 U' F2 D B2 L2 U2 L B L2 U' B' R' U2 B' R' F2	25124	NationalCubingRegion2014	333fm	A	0	f	1
D2 B' R2 F' L2 U2 R2 F L2 D2 U' B' D' U B2 F' D F2 R' D2 U'	25712	ErfurtOpen2014	333fm	A	0	f	1
F R2 B2 R2 B' L B' D B2 U2 R2 B2 R' D2 L' D2 L2 U2 L'	25933	MariborOpen2014	333fm	A	0	f	1
F2 B' U' F B2 L2 D2 R' L F' D' L2 D2 L2 B2 U L2 F2 U2	26841	PolishNationals2014	333fm	A	0	f	1
B R2 L2 F R' L' U2 B U' D' R D2 L2 U' F2 U' L2 U	27744	NottinghamSummer2014	333fm	A	0	f	1
R B R D L2 U' B U D' L' F' B2 U2 R2 U R2 F2 U2 R2 U'	27745	NottinghamSummer2014	333fm	A	0	f	2
D2 U2 B' R2 B' U2 B' U2 F' D' B R D' L2 F L' R F' L'	27746	NottinghamSummer2014	333fm	A	0	f	3
B2 R D' L' B U' R' L2 U2 B' L' U D' R2 L2 D B2 U' L2	29661	PLSSopot2014	333fm	A	0	f	1
U' F2 L' D' F' R' D' F' D' F' L2 U R2 D R2 D L2 D' R2	30582	UniRubik2014	333fm	A	0	f	1
L2 U L2 D U2 R2 B2 U' B2 D' L' B' L2 F' R F' L' B2 L U2	30708	SPOpen2014	333fm	A	0	f	1
R2 B' L2 D2 B' D2 R2 F' L2 F L R2 B2 U R' B' F' D U' F2	30709	SPOpen2014	333fm	A	0	f	2
U2 R F2 R' B2 U2 R F2 L F2 U' B2 U F U' L' F2 L2 U	30710	SPOpen2014	333fm	A	0	f	3
L2 B2 D2 B' U2 F R2 U2 L2 D2 R2 U L B' R2 D' R' D2 F2 R B2	30711	SPOpen2014	333fm	A	1	f	1
F L2 B' U2 F R2 F2 D2 F' R2 F2 U' R B' F D U2 F2 D' L B	31876	ULARubiks2014	333fm	A	0	f	1
D2 F' R2 U2 B' U2 R2 U2 L2 F2 L F L' U2 L' B' F U' B U2	31877	ULARubiks2014	333fm	A	0	f	2
D2 R2 U2 L2 R2 U L2 B2 D' L' U F2 L B' R U2 B2 R2	31878	ULARubiks2014	333fm	A	0	f	3
D R2 B2 D' F2 U' B2 F2 D B L U2 B' F U B D' B' F'	32142	TomskBlindWeekend2014	333fm	A	0	f	1
B2 L' R2 D2 L R U2 B2 F2 D L F2 D' F D' F2 R' U L2 D'	32323	FranconiaOpen2014	333fm	A	0	f	1
R' B2 U2 L R D2 B2 F2 R' D U B R B L2 B D' L2 F'	32755	ThailandChampionship2014	333fm	A	0	f	1
B2 U2 D R U B' R2 L B U' F2 B2 U2 L D2 F2 L F2 B2 U2	32900	MasterpressSummer2014	333fm	A	0	f	1
B' L2 D2 B' D2 U2 B' F U2 F2 R' D L R' D' F' D U F' R'	34170	ValenzuelaCityOpen22014	333fm	A	0	f	1
D' R' D2 B2 L' D2 L2 B' U' D2 R B2 U F2 R2 D' L2 U B2	34171	ValenzuelaCityOpen22014	333fm	B	0	f	1
L D2 R' U2 R2 B2 F2 R B2 U2 L2 F' L U L2 F' L R2 U F	34897	ChojniceOpen2014	333fm	A	0	f	1
R2 F2 U2 L' B2 U2 L F2 D L2 F2 D' F2 U' B U R' F R2	35116	PlentziaOpen2014	333fm	A	0	f	1
F U2 R' B2 U2 D L F R' U' R' F2 R' F2 U2 D2 R' D2 L2 U2 F2	35117	PlentziaOpen2014	333fm	A	0	f	2
B2 R' D L' B D' R2 D' F L2 F2 R2 L F2 R' U2 R' F2 U2 F2	35477	Mallorca2014	333fm	A	0	f	1
B2 F2 D2 R2 U B2 F2 L2 B2 U L B' F' U2 L' D B U' L2 R	35478	Mallorca2014	333fm	A	0	f	2
R2 F2 U' R2 D U R2 U2 F2 L B' D' U2 L U F' L' U' L2	35479	Mallorca2014	333fm	A	0	f	3
L2 R2 F U2 F D2 B' L2 U2 B' D' L R' U' L' B U' L D2	35902	BelgianSummer2014	333fm	A	0	f	1
B R L' F' D' B2 U' R B U L B2 D2 R2 B2 L2 U' F2 U2 B2	35903	BelgianSummer2014	333fm	A	0	f	2
B2 R2 D2 R2 D2 R2 B2 D' R' U F' U' L U2 L B2 D' U2 B' R2	36318	FLIPOpen2014	333fm	A	0	f	1
L2 R2 B L2 F2 L2 B R2 U2 L2 U' R' U' L' U2 B' D2 L' B' D'	36319	FLIPOpen2014	333fm	A	0	f	2
R2 U' F2 U' F2 U' L2 R2 B2 L' B F' U2 B' D L R B L' F2	36320	FLIPOpen2014	333fm	A	0	f	3
D2 L2 D' U R2 F2 D' B2 U B' R' F' U2 L R F' R B L2	36756	CzechOpen2014	333fm	A	0	f	1
B U2 R' L2 F' U2 D' R' U2 B' U2 B2 U' R2 D' R2 F2 U' L2 B2 U'	36757	CzechOpen2014	333fm	A	0	f	2
R2 F2 D' L2 U' B2 D R2 U2 B2 D2 F' D2 F' D L' D' U B F'	36758	CzechOpen2014	333fm	A	0	f	3
D' L2 U' B' L D B L2 B' R F' R2 F2 D2 B' L2 U2 F' D2 B	37142	FMUkraine2014	333fm	A	0	f	1
B R2 D2 B' R2 F D2 B R' U B2 D' B F R' U2 B2 L2 U2	37143	FMUkraine2014	333fm	A	0	f	2
B' R D' F2 L B2 L2 B2 U' R F2 B2 L2 D' L2 B2 U' L2 U2	37144	FMUkraine2014	333fm	A	0	f	3
U B' L2 B2 L' B R' U2 D' B' U' D2 R' F2 L U2 F2 L' D2	37190	Michigan2014	333fm	A	0	f	1
U' F2 D R2 D' B2 R2 U B2 U2 L U R F2 U' F2 D' F' U2	37191	Michigan2014	333fm	A	0	f	2
B2 F2 R F2 L' R2 D2 L2 B' F' L' B F D' R2 F L' B R2	37192	Michigan2014	333fm	A	0	f	3
D2 L2 D L2 B2 U F' U' F' L F' R U2 R2 F2 L F2 B2 R2	37517	WelcomeToCambridge2014	333fm	A	0	f	1
F' R2 F2 B R' U L F' R U2 R' B2 D2 L' F2 B2 L' B2	38074	DixonSummer2014	333fm	A	0	f	1
F2 D L2 U B2 L2 D L2 F' U2 F' L' B2 R2 D' B D F L R2	38430	DvinaOpen2014	333fm	A	0	f	1
F' D2 B2 F2 R2 B' U2 B2 D L2 F D2 F L2 B2 L' U B' R2	38431	DvinaOpen2014	333fm	A	0	f	2
F2 U2 F2 D' F2 L2 B2 R2 F2 U B R' D U L F U R2 U F	38432	DvinaOpen2014	333fm	A	0	f	3
F2 R2 D2 L' U2 F2 L R2 B' U' R' F L' U2 R' F' L' D' F2	38646	CroatianOpen2014	333fm	A	0	f	1
B L B2 U' D' F L2 F' R' U2 F' R B2 R' B2 L2 D2 R'	38647	CroatianOpen2014	333fm	A	0	f	2
D2 R2 U' F' L2 D R2 F L' B' D B2 U' D2 B2 R2 U' R2 L2 D F2	38648	CroatianOpen2014	333fm	A	0	f	3
L2 U2 R2 F' D2 F D2 F2 U2 R B D2 L2 R2 F2 L2 F' D R F'	39329	GernikaOpen2014	333fm	A	0	f	1
D2 R2 B2 R2 B2 F D2 F2 D2 R D' B U2 L2 B U' F'	39330	GernikaOpen2014	333fm	A	0	f	2
L2 D2 L U2 B' L D' R2 U2 D L2 F2 U2 R2 F R2 F' B2 U2 F2	39707	LesSantesOpen2014	333fm	A	0	1	1
D2 B' U' B R2 D B' U R U2 B' R2 D2 F2 R2 D2 F' B' R2	39708	LesSantesOpen2014	333fm	A	0	1	2
U2 R B2 F2 L U2 L2 B2 U2 F' D' L' R' B L' B U B2 D F'	39709	LesSantesOpen2014	333fm	A	0	f	1
R2 U F D R F2 B R' B2 R' F' U2 R2 F L2 F' R2 B L2	40212	MelakaOpen2014	333fm	A	0	f	1
F2 R' F' R2 L2 F2 U2 B' D L' F2 R D2 R B2 U2 B2 L F2 D2	40213	MelakaOpen2014	333fm	B	0	f	1
D' B L B2 R2 B' D R' F' L' B2 U2 L' U2 R2 D2 R' D2 L D2	40977	Ags2014	333fm	A	0	f	1
F2 D2 R' D2 L U2 F L' D2 L2 U F' L R' U2 R' D'	40978	Ags2014	333fm	B	0	f	1
U2 L' F2 L2 R' B2 U2 F2 D2 R F' U B' R' F2 L B' U' B	42147	IndianNationals2014	333fm	A	0	f	1
D2 R2 D2 F2 L2 B2 U' L U B U' B2 F2 R F L' U' B L2	42148	IndianNationals2014	333fm	A	0	f	2
L' B2 D' L D B2 U' B' L' U B2 U2 L2 B2 D2 L F2 L' D2 R'	42149	IndianNationals2014	333fm	A	0	f	3
U2 R2 D2 B2 U2 B2 L2 D B2 R D' B L' B2 R U2 B2 R2	42901	TaiwanSummerOpen2014	333fm	A	0	f	1
U B2 L2 U' L2 D' B2 F2 D F R D' L2 D R B' R2 U' R B	42902	TaiwanSummerOpen2014	333fm	A	0	f	2
D2 L D2 F2 L B2 R2 F2 D U' R' D F2 D B2 F D' U' F'	42903	TaiwanSummerOpen2014	333fm	A	0	f	3
U2 R2 U2 R2 F2 L2 B2 R' U L' U' R F D' F R' B U L2	43126	N8W8Summer2014	333fm	A	0	f	1
L2 F L2 R2 B2 R2 B' R2 F U2 L2 D B2 U' F' L' B2 R' U2 L2	45780	USNationals2014	333fm	A	0	f	1
U2 F' D B2 L' F2 B2 U2 L' B' U F2 U' R2 U B2 U' R2 B2 U2 B2	45781	USNationals2014	333fm	A	0	f	2
B2 L U2 B2 L2 R F2 R' B U' B2 F2 L D' R' B' D2 B2 U	45782	USNationals2014	333fm	A	0	f	3
L' U2 D' L' U2 B' D B' L U2 F2 R2 F' R2 L2 F' U2 D2 F	47055	BrasileiroInverno2014	333fm	A	0	f	1
D2 U' F2 U F2 R2 U' L2 F2 R2 U' R F' L' R' U' L2 D F' D2 U	47614	CubeCampinKanazawa2014	333fm	A	0	f	1
D2 U2 B' F' R2 F' L2 F D L F R' F' L2 F U2 L' B2 F2	47615	CubeCampinKanazawa2014	333fm	A	0	f	2
F2 L' B2 D2 R' B2 L F2 U2 R' U B' R U' B L F' L' F D'	47616	CubeCampinKanazawa2014	333fm	A	0	f	3
F L2 D2 B' L2 B U2 L2 B F2 U' L' D U2 F' U' R F2 U' R'	48823	Euro2014	333fm	A	0	f	1
L2 U2 B2 L2 F' U2 L2 D2 L2 B' F D' R D2 F' L' F' L2 D F' L	48824	Euro2014	333fm	A	0	f	2
F R2 B' U2 F2 R' F' U2 B2 L' D' L' U2 B' U' R'	48825	Euro2014	333fm	A	0	f	3
R2 F2 R B2 D2 L' B2 L2 R' U L2 F2 D' R D2 F' D' B2 F2	49098	ArchenaOpen2014	333fm	A	0	f	1
D F2 R2 D U2 R2 D B2 U L2 F' U F U R' B' D2 U B R F	49099	ArchenaOpen2014	333fm	A	0	f	2
L2 R2 F' R2 F D2 R2 D2 U2 B2 D B D U R2 D2 L' D B D'	49658	AustralianNationals2014	333fm	A	0	f	1
R2 F2 U L2 D2 R2 U L2 R2 B2 R2 F U R2 U' R F L' R2 D B'	50390	IndianCubeChallenge2014	333fm	A	0	f	1
D2 L2 D2 R2 B2 F L2 U2 F2 U2 R F U' F2 D2 U B2 D2 R' B'	50391	IndianCubeChallenge2014	333fm	A	0	f	2
R2 U2 B2 L2 B2 U2 R2 D' R2 B D' L' R' B' L2 F2 D2 R2	50392	IndianCubeChallenge2014	333fm	A	0	f	3
F' R' U' F2 R L D' L' U B2 R F' B D2 F' U2 L2 D2 R2	51405	Indiana2014	333fm	A	0	f	1
B F' D2 L2 B2 L2 B2 F D B' L2 B2 D F' L2 B2 R'	51406	Indiana2014	333fm	A	1	f	1
L2 R2 F2 U' L2 D B2 F2 U2 F' U L F U' L' D F' R' U B2	51545	CubingFest2014	333fm	A	0	f	1
L2 D2 R' D2 R' U2 B2 F L' B' D F2 U' L2 D' B R D'	51994	UralOpen2014	333fm	A	0	f	1
B2 U B2 D R2 U' R2 B2 D2 R2 B' F' D' B' L F D' L' U' R'	53034	AugustBank2014	333fm	A	0	f	1
L2 F2 D' R U L2 B L2 D R' B' U D R2 F2 U L2 U2 F2 R2	53035	AugustBank2014	333fm	A	0	f	2
F' D' F' U2 L2 F' D L' U F2 L2 U2 D2 F2 R B2 L' B2	53036	AugustBank2014	333fm	A	0	f	3
B' U2 B2 U2 R' D L' D B' U' L' B2 U2 R B2 R' F2 R' D2 F2	53114	BydgoszczSummer2014	333fm	A	0	f	1
L' D2 L U2 L2 R' U2 R' F2 R' B2 U' F' U2 F2 D L B' U L2 B'	53778	ColombiaNationals2014	333fm	A	0	f	1
U L2 D2 B2 U L2 D' B2 U F D R' F L2 U' L B' D' U F2	53779	ColombiaNationals2014	333fm	A	0	f	2
U2 B' L2 D2 B F' D2 B L' R B' F2 U2 L' D B' D' F' R	53780	ColombiaNationals2014	333fm	A	0	f	3
B2 D' B2 F2 R2 D R2 F2 R2 F L2 R' B' L2 B U2 L2 F2 R' U	53836	FortalezaOpen2014	333fm	A	0	f	1
D2 B L' U' D' L' U F' U2 R F2 D2 F L2 F D2 F U2 R2 B	55197	PLSMarina2014	333fm	A	0	f	1
L2 U2 B2 U' R2 U R2 B2 U' R2 B' R B2 F2 R2 F R2 D F2	55198	PLSMarina2014	333fm	A	0	f	2
D' L U2 L' F2 R B U B2 D B' L2 F' U2 F D2 R2 B2 D2 B	55199	PLSMarina2014	333fm	A	0	f	3
F2 U2 B2 R U2 B2 U2 F2 U B D R2 U' R' B U2 B L2 F	55809	GermanNationals2014	333fm	A	0	f	1
R' F' D' F' L F' B U' F2 U B2 U2 F' R2 B D2 B' U2 B	57373	BeheshtiCubingDays2014	333fm	A	0	f	1
U' R2 F U R' D L U2 F U' D2 R2 F2 U2 R' D2 R U2 B2	58132	ChampagneOpen2014	333fm	A	0	f	1
U2 L' D2 L D2 R2 F2 L U L R' D' F R' D L' F R' B'	58849	PragueOpen2014	333fm	A	0	f	1
R D F' L2 B R F2 L' B R2 B U2 B' U2 D2 B' U2 D2 L2	58850	PragueOpen2014	333fm	A	0	f	2
B' U2 F D2 F U2 B' F2 D U2 F2 L' U' F' U2 L2 R' U B2	58851	PragueOpen2014	333fm	A	0	f	3
U2 L2 F2 D2 F2 U B2 U' R' F D' B L' R' F2 U' L2 R2 B2	59119	SlovakianOpen2014	333fm	A	0	f	1
U2 R2 F2 U' L2 B2 D2 F' R2 D' L2 U L B' L2 D2 B' F	59407	TaylorsSpeedCubingChallenge2014	333fm	A	0	f	1
D2 L2 D2 B2 R D2 R' U2 L' F2 R' U' L' D U2 B U2 R B' R	59706	SwedishChampionship2014	333fm	A	0	f	1
F2 R2 F2 D2 B' L2 F' R D R2 F2 D R2 F' L R D R'	60517	MasterChallenge2014	333fm	A	0	f	1
L2 U2 L2 F2 R2 D' F2 D2 U' B D2 R D U' B2 R B D U2 L2	60518	MasterChallenge2014	333fm	A	0	f	2
D' R2 U' B2 U F2 D' B2 D F D2 U' R' F R U' B U' F'	60519	MasterChallenge2014	333fm	A	0	f	3
D B2 D' L2 B2 U' L2 D' U2 B2 F' L' R B2 D' F L B' D U'	61093	SpanishChampionship2014	333fm	A	0	f	1
R2 F' U R2 F' B2 R' L B U2 D2 B U2 R2 B D2 R2 B' U2	61094	SpanishChampionship2014	333fm	A	0	f	2
