"accountingYearMonthNumber","symbolCode","issueName","issuerServicesGroupExchangeCode","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","stockSplitFlag","averageDailyVolumeQuantity","daysToCoverQuantity","revisionFlag","changePercent","changePreviousNumber","settlementDate"
"20200415","ABSSF","Airboss Of America Corp New Or","S","OTC","23763","25020",,"7431","3.20",,"-5.02","-1257","2020-04-15"
"20200415","ABT","Abbott Laboratories","A","NYSE","21447408","17772257",,"9102967","2.36",,"20.68","3675151","2020-04-15"
"20200415","ABTI","Alterola Biotech, Inc. Common","S","OTC","801","801",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ABTO","AB&T Financial Corporation (NC","S","OTC","100","100",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ABTX","Allegiance Bancshares, Inc. Co","R","NNM","909667","939306",,"76232","11.93",,"-3.16","-29639","2020-04-15"
"20200415","ABUS","Arbutus Biopharma Corporation","R","NNM","344958","527714",,"557153","1.00",,"-34.63","-182756","2020-04-15"
"20200415","ABVC","American BriVision (Holding) C","S","OTC","94","64",,"400","1.00",,"46.88","30","2020-04-15"
"20200415","ABWN","Airborne Wireless Network Comm","S","OTC","264","264",,"3017061","1.00",,"0.00","0","2020-04-15"
"20200415","ABZPF","Aboitiz Power Corp. Ordinary S","S","OTC","2028","2028",,"10","202.80",,"0.00","0","2020-04-15"
"20200415","AC","Associated Capital Group, Inc.","A","NYSE","211833","215003",,"19626","10.79",,"-1.47","-3170","2020-04-15"
"20200415","ACA","Arcosa, Inc. Common Stock","A","NYSE","861245","804853",,"348219","2.47",,"7.01","56392","2020-04-15"
"20200415","ACAD","ACADIA Pharmaceuticals Inc. Co","R","NNM","12129336","11481401",,"1051540","11.53",,"5.64","647935","2020-04-15"
"20200415","ACAM","Acamar Partners Acquisition Co","R","SC","1648","1920",,"18724","1.00",,"-14.17","-272","2020-04-15"
"20200415","ACAMU","Acamar Partners Acquisition Co","R","SC","255","16729",,"4262","1.00",,"-98.48","-16474","2020-04-15"
"20200415","ACAMW","Acamar Partners Acquisition Co","R","SC","13867","13812",,"29058","1.00",,"0.40","55","2020-04-15"
"20200415","ACAN","Americann, Inc. Common Stock","S","OTC","27555","26000",,"34982","1.00",,"5.98","1555","2020-04-15"
"20200415","ACAVF","ACE Aviation Holdings Inc Comm","S","OTC","6","6",,"200","1.00",,"0.00","0","2020-04-15"
"20200415","ACAZF","Acadian Timber Corporation Ord","S","OTC","54042","53950",,"7101","7.61",,"0.17","92","2020-04-15"
"20200415","ACB","Aurora Cannabis Inc. Common Sh","A","NYSE","217443737","192213680",,"33278532","6.53",,"13.13","25230057","2020-04-15"
"20200415","ACBD","Annabidiol Corp. Common Stock","S","OTC","15","15",,"433","1.00",,"0.00","0","2020-04-15"
"20200415","ACBI","Atlantic Capital Bancshares, I","R","NNM","251681","219435",,"78647","3.20",,"14.70","32246","2020-04-15"
"20200415","ACBM","Acro Biomedical Co., Ltd. Comm","S","OTC","15","0",,"269","1.00",,"100.00","15","2020-04-15"
"20200415","ACC","American Campus Communities, I","A","NYSE","2325031","1962116",,"1569329","1.48",,"18.50","362915","2020-04-15"
"20200415","ACCA","Acacia Diversified Holdings, I","S","OTC","3000","5145",,"703251","1.00",,"-41.69","-2145","2020-04-15"
"20200415","ACCMF","AAC MICROTEC AB  Share AK (Swe","S","OTC","551","551",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ACCO","Acco Brands Corporation","A","NYSE","4310689","3885223",,"808648","5.33",,"10.95","425466","2020-04-15"
"20200415","ACCYY","Accor S A American Depositary","S","OTC","22","423",,"355250","1.00",,"-94.80","-401","2020-04-15"
"20200415","ACDSF","Ascendas Real Estate Investmen","S","OTC","10802757","20063901",,"20035","539.19",,"-46.16","-9261144","2020-04-15"
"20200415","ACDVF","Air Canada Inc Vtg & Var Vtg S","S","OTC","2996975","2339962",,"339431","8.83",,"28.08","657013","2020-04-15"
"20200415","ACEHF","Ace Hardware Indonesia Tbk Ord","S","OTC","300","0",,"6","50.00",,"100.00","300","2020-04-15"
"20200415","ACEL","Accel Entertainment, Inc.","A","NYSE","1205414","961211",,"137947","8.74",,"25.41","244203","2020-04-15"
"20200415","ACELWS","Accel Entertainment, Inc. Warr","A","NYSE","5215","9564",,"5731","1.00",,"-45.47","-4349","2020-04-15"
"20200415","ACER","Acer Therapeutics Inc. Common","R","SC","419379","428478",,"50778","8.26",,"-2.12","-9099","2020-04-15"
"20200415","ACES","ALPS Clean Energy ETF","H","BZX","75140","20571",,"31441","2.39",,"265.27","54569","2020-04-15"
"20200415","ACFL","AMC Financial Holdings, Inc. C","S","OTC","166","166",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ACFN","Acorn Energy, Inc.","S","OTC","13595","6995",,"30726","1.00",,"94.35","6600","2020-04-15"
"20200415","ACGBF","Agricultural Bank of China Ord","S","OTC","8931406","9140000",,"702","999.99",,"-2.28","-208594","2020-04-15"
"20200415","ACGBY","Agricultural Bank of China Uns","S","OTC","41568","113874",,"92293","1.00",,"-63.50","-72306","2020-04-15"
"20200415","ACGL","Arch Capital Group Ltd. Common","R","NNM","2330621","2258325",,"2125700","1.10",,"3.20","72296","2020-04-15"
"20200415","ACGLO","Arch Capital Group Ltd. Deposi","R","NNM","5153","7083",,"47600","1.00",,"-27.25","-1930","2020-04-15"
"20200415","ACGLP","Arch Capital Group Ltd. Deposi","R","NNM","23357","26062",,"49123","1.00",,"-10.38","-2705","2020-04-15"
"20200415","ACGPF","Accell Group NV Heerenveen Ord","S","OTC","830","923",,"69","12.03",,"-10.08","-93","2020-04-15"
"20200415","ACGYF","Subsea 7 SA Ordinary Shares (L","S","OTC","1458036","1492007",,"0","999.99",,"-2.28","-33971","2020-04-15"
"20200415","ACH","Alum Corp of China Limited","A","NYSE","132943","114054",,"62703","2.12",,"16.56","18889","2020-04-15"
"20200415","ACHC","Acadia Healthcare Company, Inc","R","NNM","10951585","10397679",,"1415214","7.74",,"5.33","553906","2020-04-15"
"20200415","ACHFF","ARch Biopartners Inc. Ordinary","S","OTC","979","1793",,"6886","1.00",,"-45.40","-814","2020-04-15"
"20200415","ACHV","Achieve Life Sciences, Inc. Co","R","SC","82966","41815",,"585215","1.00",,"98.41","41151","2020-04-15"
"20200415","ACIA","Acacia Communications, Inc. Co","R","NNM","2477876","2734245",,"636702","3.89",,"-9.38","-256369","2020-04-15"
"20200415","ACIO","Aptus Collared Income Opportun","H","BZX","20059","38992",,"10425","1.92",,"-48.56","-18933","2020-04-15"
"20200415","ACIU","AC Immune SA Common Stock","R","NNM","583100","540123",,"148665","3.92",,"7.96","42977","2020-04-15"
"20200415","ACIW","ACI Worldwide, Inc. Common Sto","R","NNM","5629013","5803301",,"768212","7.33",,"-3.00","-174288","2020-04-15"
"20200415","ACKAY","Arcelik A S Unsponsored ADR (T","S","OTC","3849","3",,"1677","2.30",,"128200.00","3846","2020-04-15"
"20200415","ACKDF","Auckland International Airport","S","OTC","119052","340089",,"8617","13.82",,"-64.99","-221037","2020-04-15"
"20200415","ACKRF","American Creek Resources Ltd C","S","OTC","22761","86429",,"41876","1.00",,"-73.67","-63668","2020-04-15"
"20200415","ACLLF","Atco Ltd  Cl I Nv Cda Ordinary","S","OTC","89356","90258",,"17858","5.00",,"-1.00","-902","2020-04-15"
"20200415","ACLS","Axcelis Technologies, Inc. Com","R","NNM","1007042","1132318",,"286848","3.51",,"-11.06","-125276","2020-04-15"
"20200415","ACM","Aecom","A","NYSE","5350780","3970548",,"1876711","2.85",,"34.76","1380232","2020-04-15"
"20200415","ACMDY","Atlas Consolidated Mining & De","S","OTC","200","100",,"40","5.00",,"100.00","100","2020-04-15"
"20200415","ACMLF","Ascom Holdings A G Bearer Shs","S","OTC","17829","17829",,"510","34.96",,"0.00","0","2020-04-15"
"20200415","ACMR","ACM Research, Inc. Class A Com","R","NNM","1380746","1190638",,"384631","3.59",,"15.97","190108","2020-04-15"
"20200415","ACMTA","ACMAT Corporation Class A Comm","S","OTC","1","1",,"3265","1.00",,"0.00","0","2020-04-15"
"20200415","ACN","Accenture PLC","A","NYSE","8817104","7639028",,"2686622","3.28",,"15.42","1178076","2020-04-15"
"20200415","ACNB","ACNB Corporation Common Stock","R","SC","30382","32949",,"28207","1.08",,"-7.79","-2567","2020-04-15"
"20200415","ACNDF","Ascendas India Trust Units (Si","S","OTC","8836","70142",,"75408","1.00",,"-87.40","-61306","2020-04-15"
"20200415","ACNFF","Amsterdam Commodities NV Ordin","S","OTC","67","67",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ACNI","American Community Newspapers","S","OTC","3761","3761",,"30000","1.00",,"0.00","0","2020-04-15"
"20200415","ACNNF","Auscann Group Hldgs Ltd Ordina","S","OTC","617","603",,"22618","1.00",,"2.32","14","2020-04-15"
"20200415","ACOPF","A2 Milk Co Ltd. Shs (New Zeala","S","OTC","5495426","5503910",,"10609","518.00",,"-0.15","-8484","2020-04-15"
"20200415","ACOPY","The A2 Milk Co Ltd Unsponsored","S","OTC","366","151",,"2980","1.00",,"142.38","215","2020-04-15"
"20200415","ACOR","Acorda Therapeutics, Inc. Comm","R","NNM","13089484","13287359",,"917971","14.26",,"-1.49","-197875","2020-04-15"
"20200415","ACP","Aberdeen Income Credit Strateg","A","NYSE","26651","16275",,"147691","1.00",,"63.75","10376","2020-04-15"
"20200415","ACPGF","ACACIA PHARMA GROUP PLC ORD GB","S","OTC","1340","2340",,"40","33.50",,"-42.74","-1000","2020-04-15"
"20200415","ACRB","Asia Carbon Industries, Inc. C","S","OTC","7229","7229",,"2800","2.58",,"0.00","0","2020-04-15"
"20200415","ACRE","Ares Commercial Real Estate Co","A","NYSE","998272","1817443",,"1175220","1.00",,"-45.07","-819171","2020-04-15"
"20200415","ACRFF","Accor S A (F) Ordinary Shares","S","OTC","648654","652852",,"1288","503.61",,"-0.64","-4198","2020-04-15"
"20200415","ACRGF","Acreage Holdings Inc Common Sh","S","OTC","877962","1005096",,"654787","1.34",,"-12.65","-127134","2020-04-15"
"20200415","ACRS","Aclaris Therapeutics, Inc. Com","R","NNM","2415897","3880700",,"253062","9.55",,"-37.75","-1464803","2020-04-15"
"20200415","ACRX","AcelRx Pharmaceuticals, Inc. C","R","NNM","12619366","12823345",,"784715","16.08",,"-1.59","-203979","2020-04-15"
"20200415","ACSAF","Acs Actividades de Construccio","S","OTC","90932","100026",,"2440","37.27",,"-9.09","-9094","2020-04-15"
"20200415","ACSAY","ACS Actividades De Construccio","S","OTC","20836","36278",,"594426","1.00",,"-42.57","-15442","2020-04-15"
"20200415","ACSEF","ACS Motion Control Ltd. Common","S","OTC","100","100",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ACSG","Xtrackers MSCI ACWI ex USA ESG","E","ARCA","2277","285",,"1576","1.44",,"698.95","1992","2020-04-15"
"20200415","ACSI","American Customer Satisfaction","H","BZX","9047","9025",,"14052","1.00",,"0.24","22","2020-04-15"
"20200415","ACSSF","Acasta Enterprises Inc. Ordina","S","OTC","20692","21692",,"0","999.99",,"-4.61","-1000","2020-04-15"
"20200415","ACST","Acasti Pharma, Inc. Class A Co","R","SC","322116","359334",,"749060","1.00",,"-10.36","-37218","2020-04-15"
"20200415","ACT","AdvisorShares Trust AdvisorSha","R","NNM","1151","332",,"4594","1.00",,"246.69","819","2020-04-15"
"20200415","ACTG","Acacia Research Corporation (A","R","NNM","603742","556454",,"226342","2.67",,"8.50","47288","2020-04-15"
"20200415","ACTT","Act II Global Acquisition Corp","R","SC","24211","15503",,"62619","1.00",,"56.17","8708","2020-04-15"
"20200415","ACTTW","Act II Global Acquisition Corp","R","SC","3599","1778",,"27053","1.00",,"102.42","1821","2020-04-15"
"20200415","ACU","Acme United Corporation","B","AMEX","1007","802",,"11833","1.00",,"25.56","205","2020-04-15"
"20200415","ACUIF","AcuityAds Hldgs Inc Ordinary S","S","OTC","125443","127538",,"29537","4.25",,"-1.64","-2095","2020-04-15"
"20200415","ACUR","ACURA PHARMACEUTICALS INC Comm","S","OTC","18386","15747",,"5105","3.60",,"16.76","2639","2020-04-15"
"20200415","ACUS","Acusphere, Inc. (NEW) Common S","S","OTC","14","0",,"6911","1.00",,"100.00","14","2020-04-15"
"20200415","ACV","AllianzGI Diversified Income &","A","NYSE","8197","3016",,"58304","1.00",,"171.78","5181","2020-04-15"
"20200415","ACWF","iShares Edge MSCI Multifactor","E","ARCA","5054","8544",,"11360","1.00",,"-40.85","-3490","2020-04-15"
"20200415","ACWI","iShares MSCI ACWI ETF","R","NNM","3205025","7413641",,"4032707","1.00",,"-56.77","-4208616","2020-04-15"
"20200415","ACWRF","Acceleware Ltd.  Common Shares","S","OTC","80","80",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ACWV","iShares Edge MSCI Min Vol Glob","H","BZX","1166249","1155193",,"498523","2.34",,"0.96","11056","2020-04-15"
"20200415","ACWX","iShares MSCI ACWI ex US ETF","R","NNM","1415892","3095146",,"2954920","1.00",,"-54.25","-1679254","2020-04-15"
"20200415","ACXIF","Acciona Sa Ordinary Shares","S","OTC","4453","4581",,"2","999.99",,"-2.79","-128","2020-04-15"
"20200415","ACY","AeroCentury Corporation","B","AMEX","9633","239",,"85158","1.00",,"3930.54","9394","2020-04-15"
"20200415","ADAP","Adaptimmune Therapeutics plc A","R","NNM","812404","708644",,"212220","3.83",,"14.64","103760","2020-04-15"
"20200415","ADBCF","Adelaide Brighton Ltd (Austral","S","OTC","210783","223217",,"0","999.99",,"-5.57","-12434","2020-04-15"
"20200415","ADBE","Adobe Inc. Common Stock","R","NNM","5503651","5698013",,"3486585","1.58",,"-3.41","-194362","2020-04-15"
"20200415","ADBKF","ADDIKO BK AG Common Shares  Au","S","OTC","95","95",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ADC","Agree Realty Corporation","A","NYSE","2720101","3208076",,"731847","3.72",,"-15.21","-487975","2020-04-15"
"20200415","ADDDF","adidas AG Ordinary Shares (Ger","S","OTC","768288","880289",,"8604","89.29",,"-12.72","-112001","2020-04-15"
"20200415","ADDLF","ADDLIFE AB Shares AK B","S","OTC","19764","19664",,"132","149.73",,"0.51","100","2020-04-15"
"20200415","ADDYY","adidas AG Sponsored ADR (Germa","S","OTC","12742","38611",,"93626","1.00",,"-67.00","-25869","2020-04-15"
"20200415","ADERY","Aida Engineering Ltd ADR","S","OTC","9","109",,"0","999.99",,"-91.74","-100","2020-04-15"
"20200415","ADES","Advanced Emissions Solutions,","R","NNM","1806857","1832732",,"178820","10.10",,"-1.41","-25875","2020-04-15"
"20200415","ADEVF","ADEVINTA ASA Ordinary Shares (","S","OTC","540583","376783",,"912","592.74",,"43.47","163800","2020-04-15"
"20200415","ADFS","American Defense Systems, Inc","S","OTC","110318","73468",,"85626","1.29",,"50.16","36850","2020-04-15"
"20200415","ADGS","ADGS Advisory, Inc. Common Sto","S","OTC","1241","305",,"5996","1.00",,"306.89","936","2020-04-15"
"20200415","ADI","Analog Devices, Inc. Common St","R","NNM","5438087","4998134",,"2788172","1.95",,"8.80","439953","2020-04-15"
"20200415","ADIL","Adial Pharmaceuticals, Inc Com","R","SC","8251","12553",,"26195","1.00",,"-34.27","-4302","2020-04-15"
"20200415","ADILW","Adial Pharmaceuticals, Inc War","R","SC","594","515",,"1242","1.00",,"15.34","79","2020-04-15"
"20200415","ADIMF","ASAHI DIAMOND INDUSTRIAL CO LT","S","OTC","72200","90000",,"0","999.99",,"-19.78","-17800","2020-04-15"
"20200415","ADKCF","Adeka Corp Ordinary Shares (Ja","S","OTC","27700","45800",,"0","999.99",,"-39.52","-18100","2020-04-15"
"20200415","ADLDY","ADELAIDE BRIGHTON LTD  America","S","OTC","200","200",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ADLI","American Medical Technologies","S","OTC","1850","1850",,"9642","1.00",,"0.00","0","2020-04-15"
