SURO,IFWO,AGWO
0.0000000000e+00,7.6403044000e-04,2.3723550000e-03
0.0000000000e+00,7.5275975000e-04,2.3718113000e-03
0.0000000000e+00,7.4165541000e-04,2.3712551000e-03
0.0000000000e+00,7.3071476000e-04,2.3706867000e-03
0.0000000000e+00,7.1993558000e-04,2.3235946000e-03
0.0000000000e+00,7.0931541000e-04,2.3230661000e-03
0.0000000000e+00,6.9885195000e-04,2.3225257000e-03
0.0000000000e+00,6.8854273000e-04,2.3219741000e-03
0.0000000000e+00,6.7838567000e-04,2.3214112000e-03
0.0000000000e+00,6.6837837000e-04,2.3208368000e-03
0.0000000000e+00,6.5851881000e-04,2.3202514000e-03
0.0000000000e+00,6.4880459000e-04,2.2111682000e-03
0.0000000000e+00,6.3923374000e-04,1.8465028000e-03
0.0000000000e+00,6.2980404000e-04,1.5360708000e-03
0.0000000000e+00,6.2051340000e-04,1.5354429000e-03
0.0000000000e+00,6.1135984000e-04,1.5348049000e-03
0.0000000000e+00,6.0234132000e-04,1.5341567000e-03
0.0000000000e+00,5.9345580000e-04,1.5334985000e-03
0.0000000000e+00,5.8470137000e-04,1.8426389000e-03
0.0000000000e+00,5.7607610000e-04,2.2060017000e-03
0.0000000000e+00,5.6757807000e-04,2.3137766000e-03
0.0000000000e+00,5.5920542000e-04,2.3130539000e-03
0.0000000000e+00,5.5095623000e-04,2.3123224000e-03
0.0000000000e+00,5.4282875000e-04,2.3115817000e-03
0.0000000000e+00,5.3482124000e-04,2.3108327000e-03
0.0000000000e+00,5.2693178000e-04,2.3100749000e-03
0.0000000000e+00,5.1915873000e-04,2.3093086000e-03
0.0000000000e+00,5.1150029000e-04,2.3085340000e-03
0.0000000000e+00,5.0395483000e-04,2.2627849000e-03
0.0000000000e+00,4.9652072000e-04,2.2620568000e-03
0.0000000000e+00,4.8919627000e-04,2.2613208000e-03
0.0000000000e+00,4.8197983000e-04,2.2605767000e-03
0.0000000000e+00,4.7486991000e-04,2.2598251000e-03
0.0000000000e+00,4.6786483000e-04,2.2590656000e-03
0.0000000000e+00,4.6096309000e-04,2.2582987000e-03
0.0000000000e+00,4.5416315000e-04,2.1483479000e-03
0.0000000000e+00,4.4746351000e-04,1.7914379000e-03
0.0000000000e+00,4.4086273000e-04,1.4891024000e-03
0.0000000000e+00,4.3435933000e-04,1.4882856000e-03
0.0000000000e+00,4.2795183000e-04,1.4874458000e-03
0.0000000000e+00,4.2163889000e-04,1.4865834000e-03
0.0000000000e+00,4.1541902000e-04,1.4856993000e-03
0.0000000000e+00,4.0929095000e-04,1.7863326000e-03
0.0000000000e+00,4.0325327000e-04,2.1415360000e-03
0.0000000000e+00,3.9730466000e-04,2.2497787000e-03
0.0000000000e+00,3.9144381000e-04,2.2488397000e-03
0.0000000000e+00,3.8566938000e-04,2.2478951000e-03
0.0000000000e+00,3.7998016000e-04,2.2469454000e-03
0.0000000000e+00,3.7437485000e-04,2.2459906000e-03
0.0000000000e+00,3.6885223000e-04,2.2450301000e-03
0.0000000000e+00,3.6341109000e-04,2.2440648000e-03
0.0000000000e+00,3.5805019000e-04,2.2430944000e-03
0.0000000000e+00,3.5276840000e-04,2.1987760000e-03
1.6192393000e-04,3.5476207000e-04,2.2107791000e-03
2.0294829000e-05,3.5759364000e-04,2.2280579000e-03
8.1124490000e-05,3.5682763000e-04,2.2418411000e-03
8.1287610000e-05,3.5877695000e-04,2.2602980000e-03
0.0000000000e+00,3.5708680000e-04,2.2691365000e-03
0.0000000000e+00,3.5181921000e-04,2.2681353000e-03
1.0122319000e-04,4.0450250000e-04,2.1650153000e-03
2.8689532000e-04,4.7192292000e-04,1.8018335000e-03
9.6791331000e-10,4.8068378000e-04,1.4762494000e-03
1.3440276000e-04,4.7960150000e-04,1.4872800000e-03
1.0242222000e-05,4.7896363000e-04,1.5021907000e-03
0.0000000000e+00,4.7235418000e-04,1.5049120000e-03
0.0000000000e+00,4.6538617000e-04,1.5039076000e-03
0.0000000000e+00,4.5852101000e-04,1.8457351000e-03
0.0000000000e+00,4.5175711000e-04,2.2518202000e-03
0.0000000000e+00,4.4509297000e-04,2.3793241000e-03
0.0000000000e+00,4.3852717000e-04,2.3782947000e-03
0.0000000000e+00,4.3205821000e-04,2.3772595000e-03
0.0000000000e+00,4.2568470000e-04,2.3762183000e-03
1.4630097000e-05,4.2006010000e-04,2.3795057000e-03
8.4822044000e-05,4.1831352000e-04,2.3927528000e-03
4.1146232000e-05,4.5019304000e-04,2.4251393000e-03
2.5103323000e-05,4.7877984000e-04,2.4538850000e-03
0.0000000000e+00,4.7283815000e-04,2.4098936000e-03
0.0000000000e+00,4.6586301000e-04,2.4088705000e-03
0.0000000000e+00,4.5899081000e-04,2.4078414000e-03
0.0000000000e+00,4.5221997000e-04,2.4068060000e-03
0.0000000000e+00,4.4554900000e-04,2.4057645000e-03
0.0000000000e+00,4.3897648000e-04,2.4047166000e-03
0.0000000000e+00,4.3250088000e-04,2.4036630000e-03
0.0000000000e+00,4.2612079000e-04,2.2816535000e-03
0.0000000000e+00,4.1983486000e-04,1.9089247000e-03
0.0000000000e+00,4.1364162000e-04,1.5966648000e-03
4.6278096000e-06,4.0774760000e-04,1.5980841000e-03
0.0000000000e+00,4.0193950000e-04,1.5995451000e-03
0.0000000000e+00,3.9601026000e-04,1.5984508000e-03
0.0000000000e+00,3.9016848000e-04,1.5973509000e-03
0.0000000000e+00,3.8441291000e-04,1.9074345000e-03
0.0000000000e+00,3.7874220000e-04,2.2779873000e-03
0.0000000000e+00,3.7315517000e-04,2.3978211000e-03
0.0000000000e+00,3.6765053000e-04,2.3967000000e-03
0.0000000000e+00,3.6222712000e-04,2.3955735000e-03
0.0000000000e+00,3.5688368000e-04,2.3944422000e-03
0.0000000000e+00,3.5161912000e-04,2.3933060000e-03
0.0000000000e+00,3.4643218000e-04,2.3921647000e-03
0.0000000000e+00,3.4132178000e-04,2.3910184000e-03
0.0000000000e+00,3.3628673000e-04,2.3898673000e-03
0.0000000000e+00,3.3132595000e-04,2.3417480000e-03
0.0000000000e+00,3.2643840000e-04,2.3406576000e-03
0.0000000000e+00,3.2162291000e-04,2.3395626000e-03
0.0000000000e+00,3.1687849000e-04,2.3384630000e-03
0.0000000000e+00,3.1220401000e-04,2.3373587000e-03
0.0000000000e+00,3.0759853000e-04,2.3362502000e-03
0.0000000000e+00,3.0306095000e-04,2.3351368000e-03
0.0000000000e+00,2.9859031000e-04,2.2153938000e-03
0.0000000000e+00,2.9418565000e-04,1.8609082000e-03
3.2967712000e-06,2.8999415000e-04,1.5678592000e-03
1.0869727000e-05,2.8635238000e-04,1.5727002000e-03
1.0859039000e-05,2.8310277000e-04,1.5792493000e-03
0.0000000000e+00,2.7941243000e-04,1.5819920000e-03
0.0000000000e+00,2.7529069000e-04,1.5808425000e-03
6.9905207000e-07,2.7126115000e-04,1.8747542000e-03
1.6326430000e-04,2.7463565000e-04,2.2414962000e-03
1.8777841000e-05,2.7873821000e-04,2.3779178000e-03
2.0451218000e-05,2.7638883000e-04,2.3872261000e-03
0.0000000000e+00,2.7322824000e-04,2.3914555000e-03
2.0407917000e-05,2.7011725000e-04,2.3955351000e-03
2.0398453000e-05,2.6796703000e-04,2.4050644000e-03
0.0000000000e+00,2.6492897000e-04,2.4092845000e-03
0.0000000000e+00,2.6102082000e-04,2.4080311000e-03
0.0000000000e+00,2.5717038000e-04,2.4067739000e-03
0.0000000000e+00,2.5337673000e-04,2.3581355000e-03
0.0000000000e+00,2.4963901000e-04,2.3569427000e-03
1.8943201000e-05,2.4681067000e-04,2.3608804000e-03
0.0000000000e+00,2.4401983000e-04,2.3648827000e-03
0.0000000000e+00,2.4042015000e-04,2.3636676000e-03
0.0000000000e+00,2.3687357000e-04,2.3624492000e-03
0.0000000000e+00,2.3337929000e-04,2.3612271000e-03
0.0000000000e+00,2.2993659000e-04,2.2383027000e-03
0.0000000000e+00,2.2654465000e-04,1.8858844000e-03
0.0000000000e+00,2.2320278000e-04,1.5943123000e-03
0.0000000000e+00,2.1991019000e-04,1.5930764000e-03
0.0000000000e+00,2.1666616000e-04,1.5918373000e-03
0.0000000000e+00,2.1346999000e-04,1.5905946000e-03
0.0000000000e+00,2.1032097000e-04,1.5893490000e-03
0.0000000000e+00,2.0721841000e-04,1.8784401000e-03
0.0000000000e+00,2.0416161000e-04,2.2283772000e-03
1.0069431000e-06,2.0119535000e-04,2.3500528000e-03
0.0000000000e+00,1.9827260000e-04,2.3500554000e-03
0.0000000000e+00,1.9534776000e-04,2.3487911000e-03
0.0000000000e+00,1.9246608000e-04,2.3475236000e-03
0.0000000000e+00,1.8962690000e-04,2.3462533000e-03
1.9681416000e-05,1.8771786000e-04,2.3502219000e-03
9.2463251000e-06,2.0004598000e-04,2.3720991000e-03
1.5317685000e-04,2.6933648000e-04,2.4162605000e-03
5.0816347000e-04,3.7086767000e-04,2.4199851000e-03
4.2550804000e-04,5.1305373000e-04,2.4740133000e-03
8.6205272000e-04,6.6047075000e-04,2.5288796000e-03
1.0154564000e-04,7.1035611000e-04,2.5656803000e-03
8.8750443000e-05,7.5921882000e-04,2.6020778000e-03
2.8434070000e-04,8.2206522000e-04,2.6475280000e-03
5.3844240000e-09,8.2941464000e-04,2.6663304000e-03
1.4365188000e-05,8.3587295000e-04,2.5531610000e-03
2.5476033000e-05,8.4330770000e-04,2.2104299000e-03
1.7490091000e-05,8.3282602000e-04,1.9188847000e-03
1.3223163000e-05,8.2194112000e-04,1.9270454000e-03
0.0000000000e+00,8.1041805000e-04,1.9303772000e-03
0.0000000000e+00,7.9846306000e-04,1.9294058000e-03
0.0000000000e+00,7.8668451000e-04,1.9284228000e-03
0.0000000000e+00,7.7507965000e-04,2.2285683000e-03
0.0000000000e+00,7.6364604000e-04,2.5943383000e-03
0.0000000000e+00,7.5238099000e-04,2.7245930000e-03
0.0000000000e+00,7.4128219000e-04,2.7235649000e-03
0.0000000000e+00,7.3034712000e-04,2.7225262000e-03
0.0000000000e+00,7.1957341000e-04,2.7214766000e-03
0.0000000000e+00,7.0895854000e-04,2.7204165000e-03
0.0000000000e+00,6.9850025000e-04,2.7193457000e-03
0.0000000000e+00,6.8819633000e-04,2.7182647000e-03
0.0000000000e+00,6.7804434000e-04,2.7171739000e-03
0.0000000000e+00,6.6804216000e-04,2.6609332000e-03
0.0000000000e+00,6.5818749000e-04,2.6599073000e-03
0.0000000000e+00,6.4847816000e-04,2.6588717000e-03
0.0000000000e+00,6.3891208000e-04,2.6578265000e-03
0.0000000000e+00,6.2948710000e-04,2.6567718000e-03
0.0000000000e+00,6.2020117000e-04,2.6557075000e-03
0.0000000000e+00,6.1105221000e-04,2.6546344000e-03
9.1379961000e-06,6.0245662000e-04,2.5364787000e-03
0.0000000000e+00,5.9398572000e-04,2.2128031000e-03
0.0000000000e+00,5.8522349000e-04,1.9458078000e-03
0.0000000000e+00,5.7659054000e-04,1.9446907000e-03
0.0000000000e+00,5.6808494000e-04,1.9435652000e-03
0.0000000000e+00,5.5970479000e-04,1.9424311000e-03
0.0000000000e+00,5.5144826000e-04,1.9412888000e-03
0.0000000000e+00,5.4331351000e-04,2.2060249000e-03
0.0000000000e+00,5.3529878000e-04,2.5310712000e-03
0.0000000000e+00,5.2740227000e-04,2.6505408000e-03
2.6719285000e-06,5.1974470000e-04,2.6513315000e-03
0.0000000000e+00,5.1219948000e-04,2.6521627000e-03
0.0000000000e+00,5.0464371000e-04,2.6509673000e-03
0.0000000000e+00,4.9719942000e-04,2.6497648000e-03
0.0000000000e+00,4.8986496000e-04,2.6485545000e-03
0.0000000000e+00,4.8263869000e-04,2.6473368000e-03
0.0000000000e+00,4.7551902000e-04,2.6461119000e-03
0.0000000000e+00,4.6850438000e-04,2.5915198000e-03
0.0000000000e+00,4.6159321000e-04,2.5903636000e-03
1.2109655000e-05,4.7173069000e-04,2.6080881000e-03
2.0906121000e-04,5.5198721000e-04,2.6547604000e-03
1.1327815000e-04,6.1905384000e-04,2.6944124000e-03
1.3770124000e-05,6.3345738000e-04,2.7243956000e-03
2.7194745000e-05,6.4363016000e-04,2.7490759000e-03
1.4673601000e-04,7.0959039000e-04,2.6341444000e-03
1.1550896000e-04,7.7829190000e-04,2.2847764000e-03
8.6333544000e-05,7.7609561000e-04,1.9905274000e-03
1.3924636000e-04,8.4080175000e-04,2.0288806000e-03
2.2155381000e-04,9.1047783000e-04,2.0729541000e-03
0.0000000000e+00,9.0724212000e-04,2.0875446000e-03
1.5764899000e-04,9.0115593000e-04,2.0997343000e-03
1.1791049000e-03,1.1109198000e-03,2.4581891000e-03
4.5030036000e-05,1.3113499000e-03,2.8860169000e-03
0.0000000000e+00,1.2940844000e-03,3.0417894000e-03
0.0000000000e+00,1.2749946000e-03,3.0411468000e-03
0.0000000000e+00,1.2561864000e-03,3.0404807000e-03
0.0000000000e+00,1.2376558000e-03,3.0397917000e-03
6.8711884000e-06,1.2316398000e-03,3.0550633000e-03
3.2025913000e-05,1.2271402000e-03,3.0770840000e-03
0.0000000000e+00,1.2105186000e-03,3.0827653000e-03
3.0262738000e-05,1.1940683000e-03,3.0882158000e-03
2.8271988000e-05,1.1791685000e-03,3.0349824000e-03
3.0113310000e-05,1.1644830000e-03,3.0465941000e-03
1.2016415000e-04,1.1542906000e-03,3.0639449000e-03
1.2014168000e-04,1.1484211000e-03,3.0869674000e-03
7.4028227000e-05,1.1874152000e-03,3.1254964000e-03
1.3532670000e-04,1.2263318000e-03,3.1651058000e-03
1.2265875000e-04,1.2202496000e-03,3.1890017000e-03
1.2262273000e-04,1.2136744000e-03,3.0454660000e-03
0.0000000000e+00,1.2014703000e-03,2.6344298000e-03
0.0000000000e+00,1.1837466000e-03,2.2945437000e-03
0.0000000000e+00,1.1662844000e-03,2.2935676000e-03
0.0000000000e+00,1.1490800000e-03,2.2925707000e-03
0.0000000000e+00,1.1321292000e-03,2.2915537000e-03
0.0000000000e+00,1.1154285000e-03,2.2905157000e-03
0.0000000000e+00,1.0989743000e-03,2.6283902000e-03
0.0000000000e+00,1.0827626000e-03,3.0497133000e-03
0.0000000000e+00,1.0667902000e-03,3.2155542000e-03
0.0000000000e+00,1.0510533000e-03,3.2144389000e-03
0.0000000000e+00,1.0355486000e-03,3.2133050000e-03
0.0000000000e+00,1.0202726000e-03,3.2121530000e-03
0.0000000000e+00,1.0052220000e-03,3.2109828000e-03
0.0000000000e+00,9.9039334000e-04,3.2097949000e-03
0.0000000000e+00,9.7578357000e-04,3.2085897000e-03
0.0000000000e+00,9.6138928000e-04,3.2073671000e-03
0.0000000000e+00,9.4720733000e-04,3.1385303000e-03
0.0000000000e+00,9.3323452000e-04,3.1373855000e-03
0.0000000000e+00,9.1946783000e-04,3.1362243000e-03
0.0000000000e+00,9.0590422000e-04,3.1350474000e-03
0.0000000000e+00,8.9254073000e-04,3.1338546000e-03
0.0000000000e+00,8.7937433000e-04,3.1326462000e-03
0.0000000000e+00,8.6640217000e-04,3.1314229000e-03
0.0000000000e+00,8.5362140000e-04,2.9375027000e-03
0.0000000000e+00,8.4102916000e-04,2.4647713000e-03
0.0000000000e+00,8.2862267000e-04,2.0883661000e-03
0.0000000000e+00,8.1639917000e-04,2.0870839000e-03
0.0000000000e+00,8.0435601000e-04,2.0857875000e-03
0.0000000000e+00,7.9249049000e-04,2.0844769000e-03
0.0000000000e+00,7.8079995000e-04,2.0831525000e-03
0.0000000000e+00,7.6928199000e-04,2.4569521000e-03
0.0000000000e+00,7.5793383000e-04,2.9270791000e-03
0.0000000000e+00,7.4675312000e-04,3.1183965000e-03
0.0000000000e+00,7.3573733000e-04,3.1170198000e-03
0.0000000000e+00,7.2488404000e-04,3.1156300000e-03
0.0000000000e+00,7.1419089000e-04,3.1142281000e-03
0.0000000000e+00,7.0365542000e-04,3.1128135000e-03
0.0000000000e+00,6.9327542000e-04,3.1113867000e-03
0.0000000000e+00,6.8304851000e-04,3.1099480000e-03
0.0000000000e+00,6.7297247000e-04,3.1084975000e-03
0.0000000000e+00,6.6304510000e-04,3.0419417000e-03
0.0000000000e+00,6.5326411000e-04,3.0405766000e-03
0.0000000000e+00,6.4362743000e-04,3.0392003000e-03
0.0000000000e+00,6.3413294000e-04,3.0378131000e-03
0.0000000000e+00,6.2477851000e-04,3.0364147000e-03
0.0000000000e+00,6.1556202000e-04,3.0350059000e-03
0.0000000000e+00,6.0648145000e-04,3.0335861000e-03
0.0000000000e+00,5.9753493000e-04,2.8279156000e-03
0.0000000000e+00,5.8872032000e-04,2.3432255000e-03
0.0000000000e+00,5.8003579000e-04,1.9606457000e-03
0.0000000000e+00,5.7147938000e-04,1.9591851000e-03
0.0000000000e+00,5.6304917000e-04,1.9577146000e-03
0.0000000000e+00,5.5474334000e-04,1.9562345000e-03
0.0000000000e+00,5.4655998000e-04,1.9547446000e-03
0.0000000000e+00,5.3849735000e-04,2.3343745000e-03
0.0000000000e+00,5.3055369000e-04,2.8161157000e-03
0.0000000000e+00,5.2272720000e-04,3.0188386000e-03
0.0000000000e+00,5.1501615000e-04,3.0173117000e-03
0.0000000000e+00,5.0741882000e-04,3.0157757000e-03
0.0000000000e+00,4.9993361000e-04,3.0142311000e-03
0.0000000000e+00,4.9255881000e-04,3.0126777000e-03
0.0000000000e+00,4.8529278000e-04,3.0111161000e-03
0.0000000000e+00,4.7813394000e-04,3.0095456000e-03
0.0000000000e+00,4.7108071000e-04,3.0079670000e-03
0.0000000000e+00,4.6413153000e-04,2.9438259000e-03
0.0000000000e+00,4.5728486000e-04,2.9423356000e-03
0.0000000000e+00,4.5053917000e-04,2.9408373000e-03
0.0000000000e+00,4.4389302000e-04,2.9393311000e-03
0.0000000000e+00,4.3734492000e-04,2.9378172000e-03
0.0000000000e+00,4.3089339000e-04,2.9362957000e-03
0.0000000000e+00,4.2453702000e-04,2.9347665000e-03
0.0000000000e+00,4.1827443000e-04,2.7195562000e-03
0.0000000000e+00,4.1210424000e-04,2.2291620000e-03
0.0000000000e+00,4.0602506000e-04,1.8455974000e-03
0.0000000000e+00,4.0003555000e-04,1.8440391000e-03
0.0000000000e+00,3.9413440000e-04,1.8424733000e-03
0.0000000000e+00,3.8832030000e-04,1.8409007000e-03
0.0000000000e+00,3.8259197000e-04,1.8393215000e-03
0.0000000000e+00,3.7694813000e-04,2.2197487000e-03
0.0000000000e+00,3.7138758000e-04,2.7070059000e-03
0.0000000000e+00,3.6590901000e-04,2.9190802000e-03
0.0000000000e+00,3.6051127000e-04,2.9174741000e-03
0.0000000000e+00,3.5519319000e-04,2.9158618000e-03
0.0000000000e+00,3.4995351000e-04,2.9142431000e-03
0.0000000000e+00,3.4479116000e-04,2.9126182000e-03
0.0000000000e+00,3.3970494000e-04,2.9109868000e-03
0.0000000000e+00,3.3469376000e-04,2.9093497000e-03
0.0000000000e+00,3.2975650000e-04,2.9077064000e-03
0.0000000000e+00,3.2489208000e-04,2.8460298000e-03
0.0000000000e+00,3.2009941000e-04,2.8444752000e-03
0.0000000000e+00,3.1537743000e-04,2.8429148000e-03
4.8169500000e-07,3.1074771000e-04,2.8422293000e-03
2.8211429000e-05,3.3486690000e-04,2.8648414000e-03
8.4846072000e-08,3.5846990000e-04,2.8875815000e-03
0.0000000000e+00,3.5318587000e-04,2.8863738000e-03
0.0000000000e+00,3.4797585000e-04,2.6983991000e-03
0.0000000000e+00,3.4284266000e-04,2.2844786000e-03
0.0000000000e+00,3.3778520000e-04,1.9637425000e-03
0.0000000000e+00,3.3280233000e-04,1.9621321000e-03
0.0000000000e+00,3.2789298000e-04,1.9605157000e-03
0.0000000000e+00,3.2305604000e-04,1.9588941000e-03
0.0000000000e+00,3.1829046000e-04,1.9572664000e-03
0.0000000000e+00,3.1359517000e-04,2.2747647000e-03
0.0000000000e+00,3.0896917000e-04,2.6854479000e-03
0.0000000000e+00,3.0441137000e-04,2.8701858000e-03
0.0000000000e+00,2.9992082000e-04,2.8685364000e-03
0.0000000000e+00,2.9549649000e-04,2.8668819000e-03
0.0000000000e+00,2.9113749000e-04,2.8652223000e-03
0.0000000000e+00,2.8684275000e-04,2.8635575000e-03
0.0000000000e+00,2.8261135000e-04,2.8618877000e-03
0.0000000000e+00,2.7844240000e-04,2.8602129000e-03
0.0000000000e+00,2.7433492000e-04,2.8585333000e-03
0.0000000000e+00,2.7028806000e-04,2.7980516000e-03
0.0000000000e+00,2.6630086000e-04,2.7964606000e-03
0.0000000000e+00,2.6237252000e-04,2.7948648000e-03
0.0000000000e+00,2.5850211000e-04,2.7932646000e-03
0.0000000000e+00,2.5468881000e-04,2.7916594000e-03
0.0000000000e+00,2.5093177000e-04,2.7900496000e-03
0.0000000000e+00,2.4723011000e-04,2.7884354000e-03
0.0000000000e+00,2.4358308000e-04,2.5964023000e-03
0.0000000000e+00,2.3998984000e-04,2.1874174000e-03
0.0000000000e+00,2.3644960000e-04,1.8736357000e-03
0.0000000000e+00,2.3296160000e-04,1.8720038000e-03
0.0000000000e+00,2.2952505000e-04,1.8703679000e-03
0.0000000000e+00,2.2613918000e-04,1.8687276000e-03
0.0000000000e+00,2.2280327000e-04,1.8670836000e-03
0.0000000000e+00,2.1951657000e-04,2.1775896000e-03
4.0584699000e-05,2.5192503000e-04,2.6079812000e-03
1.1839111000e-03,4.5876307000e-04,2.8519421000e-03
4.1571553000e-03,8.3048403000e-04,2.9109695000e-03
4.2472759000e-04,1.1152725000e-03,2.9702694000e-03
2.7268708000e-03,1.4004528000e-03,3.0308294000e-03
1.3481325000e-06,1.5871437000e-03,3.0637237000e-03
0.0000000000e+00,1.5637943000e-03,3.0648231000e-03
0.0000000000e+00,1.5407259000e-03,3.0645479000e-03
0.0000000000e+00,1.5179978000e-03,3.0642431000e-03
1.3190707000e-04,1.5018494000e-03,3.0111689000e-03
4.9275062000e-05,1.5262061000e-03,3.0471005000e-03
1.4900189000e-04,1.5508565000e-03,3.0841182000e-03
0.0000000000e+00,1.5350099000e-03,3.0964608000e-03
0.0000000000e+00,1.5123661000e-03,3.0961081000e-03
0.0000000000e+00,1.4900564000e-03,3.0957267000e-03
0.0000000000e+00,1.4680757000e-03,3.0953167000e-03
0.0000000000e+00,1.4464193000e-03,2.9202348000e-03
0.0000000000e+00,1.4250823000e-03,2.5584111000e-03
0.0000000000e+00,1.4040602000e-03,2.2838823000e-03
0.0000000000e+00,1.3833480000e-03,2.2833638000e-03
4.5987104000e-05,1.3651245000e-03,2.2901779000e-03
9.7704178000e-05,1.3517989000e-03,2.3076029000e-03
2.0934416000e-04,1.4304820000e-03,2.3479660000e-03
1.0766330000e-06,1.5029737000e-03,2.6540281000e-03
0.0000000000e+00,1.4808534000e-03,3.0160851000e-03
0.0000000000e+00,1.4590085000e-03,3.1901721000e-03
0.0000000000e+00,1.4374858000e-03,3.1895877000e-03
0.0000000000e+00,1.4162806000e-03,3.1889759000e-03
0.0000000000e+00,1.3953883000e-03,3.1883377000e-03
4.4628632000e-06,1.3845008000e-03,3.2021031000e-03
4.1514522000e-05,1.3996370000e-03,3.2377695000e-03
3.7396319000e-05,1.4065560000e-03,3.2660903000e-03
3.3813751000e-05,1.3891939000e-03,3.2788431000e-03
0.0000000000e+00,1.3703059000e-03,3.2150825000e-03
0.0000000000e+00,1.3500918000e-03,3.2143570000e-03
0.0000000000e+00,1.3301759000e-03,3.2136068000e-03
0.0000000000e+00,1.3105536000e-03,3.2128321000e-03
0.0000000000e+00,1.2912209000e-03,3.2120335000e-03
3.1036507000e-05,1.2736545000e-03,3.2174794000e-03
3.3056072000e-05,1.2579178000e-03,3.2295217000e-03
0.0000000000e+00,1.2409317000e-03,3.0685675000e-03
0.0000000000e+00,1.2226261000e-03,2.7339852000e-03
0.0000000000e+00,1.2045904000e-03,2.4827321000e-03
0.0000000000e+00,1.1868208000e-03,2.4817693000e-03
0.0000000000e+00,1.1693134000e-03,2.4807854000e-03
0.0000000000e+00,1.1520642000e-03,2.4797805000e-03
0.0000000000e+00,1.1350694000e-03,2.4787546000e-03
0.0000000000e+00,1.1183254000e-03,2.7280210000e-03
0.0000000000e+00,1.1018284000e-03,3.0606186000e-03
0.0000000000e+00,1.0855747000e-03,3.2262357000e-03
0.0000000000e+00,1.0695608000e-03,3.2251312000e-03
0.0000000000e+00,1.0537831000e-03,3.2240078000e-03
1.2221574000e-06,1.0382966000e-03,3.2241864000e-03
2.0523981000e-05,1.0472309000e-03,3.2456503000e-03
3.5084016000e-05,1.0575338000e-03,3.2734245000e-03
0.0000000000e+00,1.0436033000e-03,3.2792490000e-03
0.0000000000e+00,1.0282085000e-03,3.2780110000e-03
2.9644385000e-05,1.0144593000e-03,3.2133288000e-03
0.0000000000e+00,1.0009060000e-03,3.2185672000e-03
0.0000000000e+00,9.8614115000e-04,3.2173777000e-03
0.0000000000e+00,9.7159395000e-04,3.2161709000e-03
0.0000000000e+00,9.5726142000e-04,3.2149472000e-03
0.0000000000e+00,9.4314042000e-04,3.2137069000e-03
0.0000000000e+00,9.2922762000e-04,3.2124503000e-03
0.0000000000e+00,9.1552001000e-04,3.0424600000e-03
0.0000000000e+00,9.0201467000e-04,2.7144307000e-03
