ID	GB_ACC	Species Scientific Name	Gene Symbol	Gene Title	ENTREZ_GENE_ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Molecular Function
206785_s_at	NM_477017	Homo sapiens	KLRC1	killer cell lectin like receptor C1	3821	NM_002259.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
204351_at	NM_826420	Homo sapiens	S100P	S100 calcium binding protein P	6286	NM_005980.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
205428_s_at	NM_347781	Homo sapiens	CALB2	calbindin 2	794	NM_001740.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
205267_at	NM_165142	Homo sapiens	POU2AF1	POU class 2 homeobox associating factor 1	5450	NM_006235.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
205950_s_at	NM_800224	Homo sapiens	CA1	carbonic anhydrase 1	759	NM_001128830.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
207630_s_at	NM_223967	Homo sapiens	CREM	cAMP responsive element modulator	1390	NM_001881.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
201839_s_at	NM_588002	Homo sapiens	EPCAM	epithelial cell adhesion molecule	4072	NM_002354.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
212607_at	NM_421709	Homo sapiens	ARID5B	AT-rich interaction domain 5B	84159	NM_032199.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
210735_s_at	NM_267475	Homo sapiens	CA12	carbonic anhydrase 12	771	NM_001218.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
204655_at	NM_525110	Homo sapiens	CCL5	C-C motif chemokine ligand 5	6352	NM_002985.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
219295_s_at	NM_819400	Homo sapiens	PCOLCE2	procollagen C-endopeptidase enhancer 2	26577	NM_013363.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
220260_at	NM_626930	Homo sapiens	ALPK2	alpha kinase 2	115701	NM_052947.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
205513_at	NM_837733	Homo sapiens	TCN1	transcobalamin 1	6947	NM_001062.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200800_s_at	NM_907236	Homo sapiens	HSPA1A /// HSPA1B	heat shock protein family A (Hsp70) member 1A /// heat shock protein family A (Hsp70) member 1B	3303 /// 3304	NM_005345.6 /// NM_005346.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200042_at	NM_426084	Homo sapiens	C6orf48 /// SNHG32	chromosome 6 open reading frame 48 /// small nucleolar RNA host gene 32	29970 /// 100507246	NM_017799.4 /// NR_024042.2	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
1007_s_at	NM_823821	Homo sapiens	DDR1 /// MIR4640	discoidin domain receptor tyrosine kinase 1 /// microRNA 4640	780 /// 100616407	NM_001954.4 /// NR_039819.1	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
1294_at	NM_223119	Homo sapiens	MIR5193 /// UBA7	microRNA 5193 /// ubiquitin like modifier activating enzyme 7	100847043 /// 7318	NR_049824.1 /// NM_003335.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
1316_at	NM_769737	Homo sapiens	THRA /// THRA-AS1	thyroid hormone receptor alpha /// THRA antisense RNA 1	7067 /// 388228	NM_003250.5 /// NR_027783.1	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
217370_x_at	NM_409369	Homo sapiens	FN1 /// FN1-IT1	fibronectin 1 /// FN1 intronic transcript 1	2335 /// 100874099	NM_002026.4 /// NR_110161.1	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
211712_s_at	NM_485397	Homo sapiens	ANXA1 /// MIR196A1	annexin A1 /// microRNA 196a-1	301 /// 406986	NM_000700.4 /// NR_029582.1	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
202859_x_at	NM_744481	Homo sapiens	IL8 /// CXCL8	interleukin 8 /// C-X-C motif chemokine ligand 8	3576 /// 3576	NM_000584.4 /// NM_000584.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
215382_x_at	NM_331577	Homo sapiens	TP53 /// WRAP53	tumor protein p53 /// WD repeat containing antisense to TP53	7157 /// 55135	NM_000546.6 /// NM_018081.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
244686_at	NM_329772	Homo sapiens	NFKB1 /// NFKB1-AS1	nuclear factor kappa B subunit 1 /// NFKB1 antisense RNA 1	4790 /// 100506742	NM_003998.4 /// NR_104379.1	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200725_x_at	NM_240057	Homo sapiens	RPL10	ribosomal protein L10	6134	NM_006013.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200003_s_at	NM_601410	Homo sapiens	RPL28	ribosomal protein L28	6158	NM_000991.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200002_at	NM_260626	Homo sapiens	RPL35	ribosomal protein L35	11224	NM_007209.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
201141_at	NM_577079	Homo sapiens	GPNMB	glycoprotein nmb	10457	NM_002510.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200820_at	NM_884056	Homo sapiens	PSMD8	proteasome 26S subunit, non-ATPase 8	5714	NM_002812.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200626_s_at	NM_735163	Homo sapiens	MATR3	matrin 3	9782	NM_018834.6	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200001_at	NM_491774	Homo sapiens	CAPNS1	calpain small subunit 1	826	NM_001749.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
AFFX-BioB-5_at	---	---	---	---	---	---	---	---
AFFX-BioC-5_at	---	---	---	---	---	---	---	---
AFFX-BioDn-5_at	---	---	---	---	---	---	---	---
AFFX-CreX-5_at	---	---	---	---	---	---	---	---
AFFX-DapX-5_at	---	---	---	---	---	---	---	---
AFFX-LysX-5_at	---	---	---	---	---	---	---	---
AFFX-PheX-5_at	---	---	---	---	---	---	---	---
AFFX-ThrX-5_at	---	---	---	---	---	---	---	---
AFFX-TrpnX-5_at	---	---	---	---	---	---	---	---
AFFX-r2-Ec-bioB-5_at	---	---	---	---	---	---	---	---
200052_s_at	NM_536045	Homo sapiens	ILF2	interleukin enhancer binding factor 2	3608	NM_004515.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200053_at	NM_836038	Homo sapiens	SPAG7	sperm associated antigen 7	9552	NM_004890.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200054_at	NM_675914	Homo sapiens	CTBP2	C-terminal binding protein 2	1488	NM_001083914.2	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200055_at	NM_593699	Homo sapiens	TAF10	TATA-box binding protein associated factor 10	6881	NM_006284.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200056_s_at	NM_894139	Homo sapiens	C1D	C1D nuclear receptor corepressor	10438	NM_006333.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200057_s_at	NM_663628	Homo sapiens	NONO	non-POU domain containing octamer binding	4841	NM_007363.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200058_s_at	NM_940952	Homo sapiens	SRRT	serrate, RNA effector molecule	51593	NM_015908.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200059_s_at	NM_796353	Homo sapiens	RHOA	ras homolog family member A	387	NM_001664.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200060_s_at	NM_965708	Homo sapiens	SFPQ	splicing factor proline and glutamine rich	6421	NM_005066.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200061_s_at	NM_329021	Homo sapiens	RPA1	replication protein A1	6117	NM_002945.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200062_s_at	NM_898867	Homo sapiens	CSNK2B	casein kinase 2 beta	1460	NM_001320.7	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200063_s_at	NM_359486	Homo sapiens	NPM1	nucleophosmin 1	4869	NM_002520.7	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200064_at	NM_813390	Homo sapiens	HSP90AB1	heat shock protein 90 alpha family class B member 1	3326	NM_007355.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200065_s_at	NM_891401	Homo sapiens	ARF1	ADP ribosylation factor 1	375	NM_001658.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200066_at	NM_724756	Homo sapiens	IK	IK cytokine	3550	NM_006083.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200067_x_at	NM_925618	Homo sapiens	SNX3	sorting nexin 3	8724	NM_003795.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200068_s_at	NM_185847	Homo sapiens	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	10049	NM_058246.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200069_at	NM_651033	Homo sapiens	RAB1A	RAB1A, member RAS oncogene family	5861	NM_004161.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200070_at	NM_568449	Homo sapiens	TRIM28	tripartite motif containing 28	10155	NM_005762.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200071_at	NM_653829	Homo sapiens	SMNDC1	survival motor neuron domain containing 1	10285	NM_005871.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200072_s_at	NM_837952	Homo sapiens	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	7531	NM_006761.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200073_s_at	NM_479358	Homo sapiens	SUB1	SUB1 regulator of transcription	10923	NM_006713.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200074_s_at	NM_181896	Homo sapiens	RPL14	ribosomal protein L14	9045	NM_003973.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200075_s_at	NM_691573	Homo sapiens	GUK1	guanylate kinase 1	2987	NM_000858.7	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200076_s_at	NM_217659	Homo sapiens	SEC61B	SEC61 translocon subunit beta	10952	NM_006808.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200077_s_at	NM_164758	Homo sapiens	OAZ1	ornithine decarboxylase antizyme 1	4946	NM_004152.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200078_s_at	NM_969032	Homo sapiens	ATP6V0B	ATPase H+ transporting V0 subunit b	533	NM_004047.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200079_s_at	NM_674251	Homo sapiens	KARS1	lysyl-tRNA synthetase 1	3735	NM_005548.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200080_s_at	NM_630041	Homo sapiens	POLE4	DNA polymerase epsilon 4	56655	NM_019896.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200081_s_at	NM_311976	Homo sapiens	RPS6	ribosomal protein S6	6194	NM_001010.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200082_s_at	NM_700521	Homo sapiens	RPS7	ribosomal protein S7	6201	NM_001011.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200083_at	NM_662728	Homo sapiens	USP22	ubiquitin specific peptidase 22	23326	NM_015276.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200084_at	NM_257131	Homo sapiens	SMARCE1	SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily e member 1	6605	NM_003079.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200085_s_at	NM_272529	Homo sapiens	TCEB2	elongin B	6923	NM_007108.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200086_s_at	NM_444056	Homo sapiens	COX4I1	cytochrome c oxidase subunit 4I1	1327	NM_001861.7	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200087_s_at	NM_995993	Homo sapiens	TMX1	thioredoxin related transmembrane protein 1	81542	NM_030755.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200088_x_at	NM_645617	Homo sapiens	MCL1	MCL1 apoptosis regulator, BCL2 family member	4170	NM_021960.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200089_s_at	NM_563303	Homo sapiens	RPL4	ribosomal protein L4	6124	NM_000968.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200090_at	NM_221886	Homo sapiens	RPS21	ribosomal protein S21	6227	NM_001024.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200091_s_at	NM_813341	Homo sapiens	RPS25	ribosomal protein S25	6230	NM_001028.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200092_s_at	NM_315379	Homo sapiens	RPS28	ribosomal protein S28	6234	NM_001031.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200093_s_at	NM_851742	Homo sapiens	HINT1	histidine triad nucleotide binding protein 1	3094	NM_005340.7	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200094_s_at	NM_711474	Homo sapiens	SRP14	signal recognition particle 14	6727	NM_003134.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200095_x_at	NM_612573	Homo sapiens	RPLP2	ribosomal protein lateral stalk subunit P2	6181	NM_001004.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200096_s_at	NM_195359	Homo sapiens	ATP6V0E1	ATPase H+ transporting V0 subunit e1	8992	NM_003945.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200097_s_at	NM_635167	Homo sapiens	HIST2H2AA3	H2A clustered histone 11	8337	NM_003516.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200098_s_at	NM_567122	Homo sapiens	CALM2	calmodulin 2	805	NM_001743.6	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200099_s_at	NM_947975	Homo sapiens	RPS3A	ribosomal protein S3A	6189	NM_001006.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
