# tracer: nop
#
# entries-in-buffer/entries-written: 660/660   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                             || / _--=> preempt-depth
#                             ||| / _-=> migrate-disable
#                            |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
      swapper/8-0 [008] d..1.   1000.004508: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.004963: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.005709: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.007046: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.007051: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.007061: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.007338: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.009542: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.009547: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.009557: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
      swapper/5-0 [005] d..1.   1000.010019: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     Physics-1001 [004] d..1.   1000.010144: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.010149: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.010159: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
     NetProc-1010 [009] d..1.   1000.010168: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
    AIDecide-1008 [010] d..1.   1000.012164: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.014248: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.016132: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.016137: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.016147: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.016667: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.017474: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.017479: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.017489: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.019670: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.021225: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.021230: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.021235: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.021240: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.021245: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.021255: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.021255: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.021255: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
      swapper/8-0 [008] d..1.   1000.021260: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.021620: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.022451: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.023665: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.023670: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.023680: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.024056: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.026203: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.026208: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.026218: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
     NetProc-1010 [009] d..1.   1000.026615: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/5-0 [005] d..1.   1000.026708: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     Physics-1001 [004] d..1.   1000.026897: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.026902: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.026912: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
    AIDecide-1008 [010] d..1.   1000.028783: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.031040: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.032886: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.032891: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.032901: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.033334: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.034176: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.034181: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.034191: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.036491: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.037965: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.037970: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.037975: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.037980: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.037985: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.037995: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.037995: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.037995: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
      swapper/8-0 [008] d..1.   1000.038000: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.038304: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.039311: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.040394: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.040399: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.040409: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.040861: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.042968: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.042973: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.042983: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
      swapper/5-0 [005] d..1.   1000.043327: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     NetProc-1010 [009] d..1.   1000.043416: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
     Physics-1001 [004] d..1.   1000.043707: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.043712: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.043722: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
    AIDecide-1008 [010] d..1.   1000.045598: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.047590: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.049702: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.049707: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.049717: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.050001: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.050668: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.050673: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.050683: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.053216: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.054352: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.054357: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.054362: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.054367: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.054372: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.054382: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.054382: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.054382: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
      swapper/8-0 [008] d..1.   1000.054387: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.054995: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.055538: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.057055: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.057060: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.057070: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.057186: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.059370: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.059375: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.059385: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
      swapper/5-0 [005] d..1.   1000.059956: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     NetProc-1010 [009] d..1.   1000.060025: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
     Physics-1001 [004] d..1.   1000.060157: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.060162: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.060172: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
    AIDecide-1008 [010] d..1.   1000.061870: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.064302: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.066165: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.066170: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.066180: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.066668: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.067432: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.067437: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.067447: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.069696: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.071218: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.071223: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.071228: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.071233: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.071238: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.071248: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.071248: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.071248: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
      swapper/8-0 [008] d..1.   1000.071253: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.071664: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.072552: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.073714: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.073719: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.073729: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.074047: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.076241: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.076246: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.076256: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
     NetProc-1010 [009] d..1.   1000.076661: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/5-0 [005] d..1.   1000.076708: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     Physics-1001 [004] d..1.   1000.076906: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.076911: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.076921: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
    AIDecide-1008 [010] d..1.   1000.078826: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.080933: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.082903: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.082908: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.082918: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.083335: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.083967: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.083972: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.083982: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.086531: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.087793: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
