x,y,z,gz_mgal
2490.9,3472.7,50.0,0.12598965
2490.9,3800.0,50.0,0.03876891
2818.2,200.0,50.0,0.15275316
2818.2,527.3,50.0,0.14299670
2818.2,854.5,50.0,0.32956305
2818.2,1181.8,50.0,0.34770011
2818.2,1509.1,50.0,0.60771195
2818.2,1836.4,50.0,0.64716137
2818.2,2163.6,50.0,0.60329548
2818.2,2490.9,50.0,0.43673870
2818.2,2818.2,50.0,0.30609446
2818.2,3145.5,50.0,0.24158371
2818.2,3472.7,50.0,0.12202961
2818.2,3800.0,50.0,0.06675562
3145.5,200.0,50.0,-0.04518035
3145.5,527.3,50.0,0.14491402
3145.5,854.5,50.0,0.18973755
3145.5,1181.8,50.0,0.20441169
3145.5,1509.1,50.0,0.27458504
3145.5,1836.4,50.0,0.35293363
3145.5,2163.6,50.0,0.43173144
3145.5,2490.9,50.0,0.23162468
3145.5,2818.2,50.0,0.17799050
3145.5,3145.5,50.0,0.19081095
3145.5,3472.7,50.0,0.04556645
3145.5,3800.0,50.0,0.01530688
3472.7,200.0,50.0,0.06179515
3472.7,527.3,50.0,0.01745344
3472.7,854.5,50.0,0.12036308
3472.7,1181.8,50.0,0.08401115
3472.7,1509.1,50.0,0.22179659
3472.7,1836.4,50.0,0.19663116
3472.7,2163.6,50.0,0.30591747
3472.7,2490.9,50.0,0.17801970
3472.7,2818.2,50.0,0.19209856
3472.7,3145.5,50.0,0.01881717
3472.7,3472.7,50.0,0.04589784
3472.7,3800.0,50.0,0.04568110
3800.0,200.0,50.0,0.13029964
3800.0,527.3,50.0,-0.02713946
3800.0,854.5,50.0,0.12314426
3800.0,1181.8,50.0,0.12097378
3800.0,1509.1,50.0,0.18327711
3800.0,1836.4,50.0,0.15001042
3800.0,2163.6,50.0,0.11397473
3800.0,2490.9,50.0,0.07180834
3800.0,2818.2,50.0,0.01557507
3800.0,3145.5,50.0,0.06664193
3800.0,3472.7,50.0,0.02878970
3800.0,3800.0,50.0,0.12511094
