estimated_hours,actual_hours
91.2,159.1
140.7,63.5
18.5,35.1
137.1,138.7
149.0,291.7
8.1,10.3
100.5,313.4
92.8,60.0
50.8,42.6
88.1,309.4
91.8,260.6
174.9,1006.6
109.8,213.9
193.4,266.0
151.7,130.6
55.5,70.4
165.6,110.8
8.0,26.1
64.4,105.0
171.6,105.8
135.9,36.9
98.4,120.2
98.0,148.7
138.6,113.5
196.9,129.4
179.2,106.6
132.9,442.2
173.3,493.1
112.7,133.9
90.5,155.9
154.0,155.6
101.1,68.2
105.2,52.4
130.6,196.7
35.2,211.3
175.0,47.5
59.8,36.7
82.5,28.6
83.8,29.9
120.7,93.2
141.9,95.9
185.8,249.6
100.1,1609.8
49.2,60.4
140.3,18.4
59.2,168.4
131.7,437.1
185.9,161.3
124.9,81.2
95.1,68.6
85.8,129.1
184.4,184.1
55.1,11.4
11.3,11.1
50.7,104.0
52.1,29.6
130.1,58.7
194.7,138.0
36.9,18.5
167.9,165.7
186.3,168.9
140.9,300.8
52.3,160.2
169.0,24.8
147.6,68.7
88.5,135.4
25.8,25.0
15.9,4.5
48.1,35.4
100.8,419.1
180.9,65.1
167.8,271.4
45.4,46.6
138.4,99.1
38.6,32.4
92.2,48.9
36.1,20.9
123.7,50.9
146.3,31.5
162.9,401.2
