,event_starttime,event_peaktime,event_endtime,fl_goescls,lat_stony,lon_stony,ar_noaanum,ssw_id,noaa_ar_ssw,location_ssw,lat_ssw,lon_ssw,AR_valid,dist_noaa_ssw,obs_channelid,obs_observatory,search_frm_name,hgc_coord,hgs_coord,lat_aia,lon_aia
19,2010-05-04 16:15:00,2010-05-04 16:29:00,2010-05-04 16:34:00,C3.6,23.0,41.0,11069.0,gev_20100504_1615,,N41W23,23.0,41.0,,0.0,,,,,,,
20,2010-05-04 19:11:00,2010-05-05 00:23:00,2010-05-05 00:34:00,B1.6,,,11069.0,gev_20100504_1911,,N43W31,31.0,43.0,,,,,,,,,
21,2010-05-05 00:55:00,2010-05-05 01:05:00,2010-05-05 01:11:00,B1.6,,,11069.0,gev_20100505_0055,,N41W27,27.0,41.0,,,,,,,,,
22,2010-05-05 07:09:00,2010-05-05 07:16:00,2010-05-05 07:20:00,C2.3,,,11069.0,gev_20100505_0709,,N41W31,31.0,41.0,,,,,,,,,
23,2010-05-05 08:35:00,2010-05-05 08:39:00,2010-05-05 08:41:00,B2.4,,,11069.0,gev_20100505_0835,,N44W32,32.0,44.0,,,,,,,,,
24,2010-05-05 11:37:00,2010-05-05 11:52:00,2010-05-05 11:58:00,C8.8,,,11069.0,gev_20100505_1137,,N41W34,34.0,41.0,,,,,,,,,
25,2010-05-05 13:00:00,2010-05-05 13:04:00,2010-05-05 13:07:00,B3.4,,,11069.0,gev_20100505_1300,,S18E57,-57.0,-18.0,,,,,,,,,
26,2010-05-05 16:11:00,2010-05-05 16:18:00,2010-05-05 16:29:00,B4.0,,,11066.0,gev_20100505_1611,,N17W79,79.0,17.0,,,,,,,,,
27,2010-05-05 17:13:00,2010-05-05 17:19:00,2010-05-05 17:22:00,M1.2,37.0,42.0,11069.0,gev_20100505_1713,,N42W36,36.0,42.0,,1.0,,,,,,,
28,2010-05-05 18:38:00,2010-05-05 18:43:00,2010-05-05 18:48:00,B7.3,,,11069.0,gev_20100505_1838,,N41W36,36.0,41.0,,,,,,,,,
29,2010-05-06 15:09:00,2010-05-06 15:13:00,2010-05-06 15:17:00,B1.4,,,,gev_20100506_1509,,N18W88,88.0,18.0,,,,,,,,,
30,2010-05-07 00:30:00,2010-05-07 00:34:00,2010-05-07 00:36:00,B1.1,,,,gev_20100507_0030,11069.0,N39W51,51.0,39.0,,,,,,,,,
31,2010-05-07 05:55:00,2010-05-07 05:58:00,2010-05-07 06:00:00,B1.2,50.0,41.0,11069.0,gev_20100507_0555,11068.0,S20E35,-35.0,-20.0,False,104.6,,,,,,,
32,2010-05-07 07:29:00,2010-05-07 07:42:00,2010-05-07 08:02:00,C2.0,54.0,40.0,11069.0,gev_20100507_0729,11069.0,N39W51,51.0,39.0,,3.2,,,,,,,
33,2010-05-07 22:49:00,2010-05-07 22:57:00,2010-05-07 23:03:00,B4.6,,,11069.0,gev_20100507_2249,11069.0,N41W61,61.0,41.0,,,,,,,,,
34,2010-05-08 00:58:00,2010-05-08 01:04:00,2010-05-08 01:10:00,B2.6,,,,gev_20100508_0058,11069.0,N42W86,86.0,42.0,,,,,,,,,
35,2010-05-08 01:31:00,2010-05-08 01:39:00,2010-05-08 01:46:00,B5.8,,,,gev_20100508_0131,11068.0,S19E23,-23.0,-19.0,,,,,,,,,
36,2010-05-08 03:18:00,2010-05-08 03:23:00,2010-05-08 03:27:00,B4.3,,,,gev_20100508_0318,11068.0,S20E23,-23.0,-20.0,,,,,,,,,
37,2010-05-08 04:51:00,2010-05-08 04:59:00,2010-05-08 05:04:00,C9.3,65.0,38.0,11069.0,gev_20100508_0451,11069.0,N39W65,65.0,39.0,,1.0,,,,,,,
38,2010-05-08 08:37:00,2010-05-08 08:52:00,2010-05-08 08:57:00,B2.1,,,,gev_20100508_0837,11069.0,N44W86,86.0,44.0,,,,,,,,,
39,2010-05-08 09:15:00,2010-05-08 09:20:00,2010-05-08 09:23:00,B2.1,,,,gev_20100508_0915,11069.0,N40W71,71.0,40.0,,,,,,,,,
40,2010-05-08 10:11:00,2010-05-08 10:19:00,2010-05-08 10:23:00,B3.8,,,,gev_20100508_1011,11069.0,N43W70,70.0,43.0,,,,,,,,,
41,2010-05-08 11:40:00,2010-05-08 11:50:00,2010-05-08 11:55:00,C1.8,,,11069.0,gev_20100508_1140,11069.0,N40W69,69.0,40.0,,,,,,,,,
42,2010-05-08 18:41:00,2010-05-08 18:55:00,2010-05-08 19:14:00,B7.2,,,11069.0,gev_20100508_1841,11069.0,N39W75,75.0,39.0,,,,,,,,,
43,2010-05-08 20:04:00,2010-05-08 20:11:00,2010-05-08 20:18:00,C2.4,,,11069.0,gev_20100508_2004,11069.0,N40W74,74.0,40.0,,,,,,,,,
44,2010-05-09 15:23:00,2010-05-09 15:41:00,2010-05-09 16:14:00,B1.3,,,11069.0,gev_20100509_1523,11069.0,N39W86,86.0,39.0,,,,,,,,,
45,2010-05-09 20:50:00,2010-05-09 21:14:00,2010-05-09 21:44:00,B2.1,,,11069.0,gev_20100509_2050,11068.0,S20W00,0.0,-20.0,False,,,,,,,,
46,2010-05-10 10:59:00,2010-05-10 11:06:00,2010-05-10 11:15:00,B1.4,,,11069.0,gev_20100510_1059,,N40W86,86.0,40.0,,,,,,,,,
47,2010-05-11 08:39:00,2010-05-11 08:43:00,2010-05-11 08:47:00,B1.1,19.0,-20.0,11068.0,gev_20100511_0839,11068.0,S19W19,19.0,-19.0,,1.0,,,,,,,
48,2010-05-11 19:33:00,2010-05-11 20:16:00,2010-05-11 20:42:00,B1.5,,,11067.0,gev_20100511_1933,10000.0,N28W76,76.0,28.0,False,,,,,,,,
49,2010-05-12 02:08:00,2010-05-12 02:22:00,2010-05-12 02:29:00,B1.5,,,11067.0,gev_20100512_0208,10000.0,N27W63,63.0,27.0,False,,,,,,,,
50,2010-05-12 13:52:00,2010-05-12 14:09:00,2010-05-12 14:19:00,B1.6,,,11067.0,gev_20100512_1352,10000.0,N26W73,73.0,26.0,False,,,,,,,,
51,2010-05-13 03:49:00,2010-05-13 03:55:00,2010-05-13 03:59:00,B2.8,,,11068.0,gev_20100513_0349,11071.0,S20W44,44.0,-20.0,False,,,,,,,,
52,2010-05-22 21:39:00,2010-05-22 21:47:00,2010-05-22 21:52:00,B1.3,,,11072.0,,,,,,,,,,,,,,
53,2010-05-23 05:09:00,2010-05-23 05:15:00,2010-05-23 05:21:00,B1.4,,,11072.0,,,,,,,,,,,,,,
54,2010-05-23 16:52:00,2010-05-23 18:01:00,2010-05-23 20:08:00,B1.3,,,,,,,,,,,,,,,,,
55,2010-05-23 21:34:00,2010-05-23 21:39:00,2010-05-23 21:45:00,B1.1,,,,,,,,,,,,,,,,,
56,2010-05-24 13:05:00,2010-05-24 14:46:00,2010-05-24 15:50:00,B1.1,,,,,,,,,,,,,,,,,
57,2010-05-25 15:46:00,2010-05-25 15:51:00,2010-05-25 15:55:00,B6.5,32.0,-16.0,11072.0,,,,,,,,,,,,,,
58,2010-05-27 23:00:00,2010-05-27 23:15:00,2010-05-27 23:25:00,B1.4,,,11072.0,,,,,,,,,,,,,,
59,2010-06-02 18:41:00,2010-06-02 18:45:00,2010-06-02 18:50:00,B1.0,,,11075.0,,,,,,,,,,,,,,
60,2010-06-02 22:49:00,2010-06-02 22:53:00,2010-06-02 23:00:00,B1.2,,,,,,,,,,,,,,,,,
61,2010-06-03 11:28:00,2010-06-03 11:31:00,2010-06-03 11:45:00,B1.0,,,,,,,,,,,,,,,,,
62,2010-06-03 12:30:00,2010-06-03 12:33:00,2010-06-03 12:36:00,B1.1,,,,,,,,,,,,,,,,,
63,2010-06-03 13:32:00,2010-06-03 13:38:00,2010-06-03 13:43:00,B1.1,,,,,,,,,,,,,,,,,
64,2010-06-03 13:49:00,2010-06-03 13:55:00,2010-06-03 14:02:00,B1.3,,,,,,,,,,,,,,,,,
65,2010-06-06 02:50:00,2010-06-06 02:55:00,2010-06-06 03:01:00,B1.4,,,11076.0,,,,,,,,,,,,,,
66,2010-06-07 06:27:00,2010-06-07 06:30:00,2010-06-07 06:34:00,B2.0,65.0,19.0,11077.0,,,,,,,,,,,,,,
67,2010-06-07 19:15:00,2010-06-07 19:24:00,2010-06-07 19:31:00,B2.0,,,,,,,,,,,,,,,,,
68,2010-06-08 11:28:00,2010-06-08 11:33:00,2010-06-08 11:43:00,B1.4,,,11078.0,,,,,,,,,,,,,,
69,2010-06-08 12:49:00,2010-06-08 12:56:00,2010-06-08 12:58:00,B1.2,,,11078.0,,,,,,,,,,,,,,
70,2010-06-08 13:43:00,2010-06-08 13:50:00,2010-06-08 13:56:00,B1.4,,,11078.0,,,,,,,,,,,,,,
71,2010-06-09 00:07:00,2010-06-09 01:02:00,2010-06-09 01:07:00,B2.3,,,11078.0,,,,,,,,,,,,,,
72,2010-06-09 04:36:00,2010-06-09 05:15:00,2010-06-09 05:36:00,B5.1,48.0,-23.0,11078.0,,,,,,,,,,,,,,
73,2010-06-09 08:39:00,2010-06-09 08:46:00,2010-06-09 08:53:00,B2.5,,,11078.0,,,,,,,,,,,,,,
74,2010-06-09 13:28:00,2010-06-09 13:32:00,2010-06-09 13:34:00,B1.1,,,11078.0,,,,,,,,,,,,,,
75,2010-06-09 13:35:00,2010-06-09 13:43:00,2010-06-09 13:50:00,B2.1,,,11078.0,,,,,,,,,,,,,,
76,2010-06-09 19:41:00,2010-06-09 19:48:00,2010-06-09 19:54:00,B2.7,,,11078.0,,,,,,,,,,,,,,
77,2010-06-09 20:15:00,2010-06-09 20:24:00,2010-06-09 20:30:00,B3.5,,,11078.0,,,,,,,,,,,,,,
78,2010-06-09 20:53:00,2010-06-09 20:59:00,2010-06-09 21:02:00,B3.2,,,11078.0,,,,,,,,,,,,,,
79,2010-06-09 22:31:00,2010-06-09 22:50:00,2010-06-09 23:12:00,B1.2,,,11078.0,,,,,,,,,,,,,,
80,2010-06-11 10:51:00,2010-06-11 10:55:00,2010-06-11 10:58:00,B1.4,,,11081.0,,,,,,,,,,,,,,
81,2010-06-11 11:58:00,2010-06-11 12:02:00,2010-06-11 12:04:00,B3.0,,,11081.0,,,,,,,,,,,,,,
82,2010-06-11 20:34:00,2010-06-11 20:46:00,2010-06-11 20:54:00,B4.5,,,11081.0,,,,,,,,,,,,,,
83,2010-06-11 23:56:00,2010-06-12 00:02:00,2010-06-12 00:04:00,B6.3,,,,,,,,,,,304,SDO,Flare Detective - Trigger Module,POINT(103.537879 21.811948),POINT(47.892392 21.811948),47.892392,21.811948
84,2010-06-12 00:30:00,2010-06-12 00:57:00,2010-06-12 01:02:00,M2.0,43.0,23.0,11081.0,,,,,,,,,,,,,,
85,2010-06-12 02:53:00,2010-06-12 02:58:00,2010-06-12 03:03:00,B3.8,,,11080.0,,,,,,,,,,,,,,
86,2010-06-12 03:57:00,2010-06-12 04:06:00,2010-06-12 04:17:00,C1.0,,,11080.0,,,,,,,,,,,,,,
87,2010-06-12 08:06:00,2010-06-12 08:09:00,2010-06-12 08:14:00,B2.4,,,,,,,,,,,,,,,,,
88,2010-06-12 09:02:00,2010-06-12 09:17:00,2010-06-12 09:22:00,C6.1,52.0,22.0,11081.0,,,,,,,,,,,,,,
89,2010-06-12 23:43:00,2010-06-12 23:54:00,2010-06-12 23:59:00,B3.0,,,11081.0,,,,,,,,,,,,,,
90,2010-06-13 00:06:00,2010-06-13 00:14:00,2010-06-13 00:26:00,B8.8,,,11081.0,,,,,,,,,,,,,,
91,2010-06-13 02:28:00,2010-06-13 02:31:00,2010-06-13 02:35:00,B4.6,,,11079.0,,,,,,,,,,,,,,
92,2010-06-13 05:30:00,2010-06-13 05:39:00,2010-06-13 05:44:00,M1.0,84.0,-25.0,11079.0,,,,,,,,,,,,,,
93,2010-06-13 06:08:00,2010-06-13 06:11:00,2010-06-13 06:13:00,C1.2,59.0,23.0,11081.0,,,,,,,,171,SDO,Flare Detective - Trigger Module,POINT(105.507083 21.729473),POINT(66.505741 21.729473),66.505741,21.729473
94,2010-06-13 06:55:00,2010-06-13 06:58:00,2010-06-13 07:00:00,B5.3,64.0,23.0,11081.0,,,,,,,,,,,,,,
95,2010-06-13 07:05:00,2010-06-13 07:08:00,2010-06-13 07:10:00,C1.2,69.0,-23.0,11080.0,,,,,,,,304,SDO,Flare Detective - Trigger Module,POINT(110.387093 -26.27387),POINT(71.904634 -26.27387),71.904634,-26.27387
96,2010-06-13 07:31:00,2010-06-13 07:34:00,2010-06-13 07:38:00,C1.2,58.0,24.0,11081.0,,,,,,,,171,SDO,Flare Detective - Trigger Module,POINT(97.998866 26.89409),POINT(59.76413 26.89409),59.76413,26.89409
97,2010-06-13 08:06:00,2010-06-13 08:13:00,2010-06-13 08:16:00,C1.2,66.0,22.0,11081.0,,,,,,,,,,,,,,
98,2010-06-13 09:41:00,2010-06-13 09:46:00,2010-06-13 09:48:00,C1.7,75.0,-23.0,11081.0,,,,,,,,,,,,,,
99,2010-06-13 10:47:00,2010-06-13 10:53:00,2010-06-13 10:55:00,C1.5,,,11081.0,,,,,,,,,,,,,,
100,2010-06-13 12:24:00,2010-06-13 12:27:00,2010-06-13 12:29:00,B4.3,,,,,,,,,,,,,,,,,
101,2010-06-13 13:20:00,2010-06-13 13:23:00,2010-06-13 13:26:00,B2.5,,,,,,,,,,,211,SDO,Flare Detective - Trigger Module,POINT(101.551712 21.744432),POINT(66.523428 21.744432),66.523428,21.744432
102,2010-06-13 14:24:00,2010-06-13 14:27:00,2010-06-13 14:30:00,B2.4,,,,,,,,,,,,,,,,,
103,2010-06-13 15:45:00,2010-06-13 15:52:00,2010-06-13 15:59:00,B4.2,,,,,,,,,,,,,,,,,
104,2010-06-13 18:10:00,2010-06-13 18:13:00,2010-06-13 18:17:00,B1.8,,,,,,,,,,,304,SDO,Flare Detective - Trigger Module,POINT(98.895889 21.754457),POINT(66.535262 21.754457),66.535262,21.754457
105,2010-06-14 00:33:00,2010-06-14 00:38:00,2010-06-14 00:40:00,B2.3,,,,,,,,,,,,,,,,,
106,2010-06-14 00:44:00,2010-06-14 00:51:00,2010-06-14 00:54:00,C1.5,70.0,27.0,11081.0,,,,,,,,,,,,,,
107,2010-06-14 04:26:00,2010-06-14 04:30:00,2010-06-14 04:35:00,B1.7,,,,,,,,,,,,,,,,,
108,2010-06-14 12:49:00,2010-06-14 12:54:00,2010-06-14 12:58:00,B2.9,,,,,,,,,,,,,,,,,
109,2010-06-17 10:23:00,2010-06-17 10:33:00,2010-06-17 10:47:00,B5.0,-41.0,28.0,11082.0,,,,,,,,,,,,,,
110,2010-06-17 17:33:00,2010-06-17 17:42:00,2010-06-17 17:58:00,B1.1,,,11082.0,,,,,,,,,,,,,,
111,2010-06-17 18:44:00,2010-06-17 18:49:00,2010-06-17 18:55:00,B1.2,,,11082.0,,,,,,,,,,,,,,
112,2010-06-18 11:58:00,2010-06-18 12:04:00,2010-06-18 12:07:00,B1.8,,,11082.0,,,,,,,,,,,,,,
113,2010-06-18 17:49:00,2010-06-18 17:54:00,2010-06-18 17:59:00,B1.1,,,11082.0,,,,,,,,,,,,,,
114,2010-06-21 19:08:00,2010-06-21 19:12:00,2010-06-21 19:14:00,B1.3,,,11082.0,,,,,,,,,,,,,,
115,2010-06-22 09:01:00,2010-06-22 09:04:00,2010-06-22 09:06:00,B1.0,,,11082.0,,,,,,,,,,,,,,
116,2010-06-22 09:33:00,2010-06-22 09:38:00,2010-06-22 09:41:00,B2.1,,,11082.0,,,,,,,,,,,,,,
117,2010-06-23 11:00:00,2010-06-23 11:03:00,2010-06-23 11:05:00,B1.6,,,,,,,,,,,,,,,,,
118,2010-06-23 12:17:00,2010-06-23 12:20:00,2010-06-23 12:22:00,B1.1,,,,,,,,,,,,,,,,,
119,2010-06-25 10:17:00,2010-06-25 10:21:00,2010-06-25 10:25:00,B3.4,,,11082.0,,,,,,,,,,,,,,
120,2010-06-25 22:42:00,2010-06-25 22:46:00,2010-06-25 22:49:00,B1.5,,,,,,,,,,,,,,,,,
121,2010-06-25 23:12:00,2010-06-25 23:17:00,2010-06-25 23:28:00,B1.8,,,,,,,,,,,,,,,,,
122,2010-06-26 02:45:00,2010-06-26 02:50:00,2010-06-26 02:52:00,B1.0,,,,,,,,,,,,,,,,,
123,2010-06-27 03:14:00,2010-06-27 03:17:00,2010-06-27 03:20:00,B1.5,,,,,,,,,,,171,SDO,Flare Detective - Trigger Module,POINT(149.75778 -20.451503),POINT(-65.51699 -20.451503),-65.51699,-20.451503
124,2010-06-29 04:57:00,2010-06-29 05:01:00,2010-06-29 05:04:00,B1.4,14.0,15.0,,,,,,,,,,,,,,,
125,2010-06-29 15:23:00,2010-06-29 15:53:00,2010-06-29 16:05:00,B1.3,,,,,,,,,,,,,,,,,
126,2010-07-01 20:54:00,2010-07-01 20:58:00,2010-07-01 21:01:00,B1.0,,,11084.0,,,,,,,,171,SDO,Flare Detective - Trigger Module,POINT(-158.062717 -24.612083),POINT(49.349893 -24.612083),49.349893,-24.612083
127,2010-07-05 18:36:00,2010-07-06 00:24:00,2010-07-06 03:12:00,B1.2,,,,,,,,,,,,,,,,,
128,2010-07-06 10:02:00,2010-07-06 10:11:00,2010-07-06 10:16:00,B1.0,,,11086.0,,,,,,,,,,,,,,
129,2010-07-07 17:35:00,2010-07-07 17:46:00,2010-07-07 17:55:00,B1.6,,,,,,,,,,,,,,,,,
130,2010-07-07 20:41:00,2010-07-07 20:45:00,2010-07-07 20:48:00,B2.2,,,11087.0,,,,,,,,,,,,,,
131,2010-07-07 21:39:00,2010-07-07 21:45:00,2010-07-07 21:51:00,B1.6,,,11087.0,,,,,,,,,,,,,,
132,2010-07-07 22:27:00,2010-07-07 22:32:00,2010-07-07 22:37:00,B2.9,,,11087.0,,,,,,,,171,SDO,Flare Detective - Trigger Module,POINT(-16.56968 21.344537),POINT(-88.887125 21.344537),-88.887125,21.344537
133,2010-07-08 01:19:00,2010-07-08 01:27:00,2010-07-08 01:35:00,B4.1,,,11087.0,,,,,,,,,,,,,,
134,2010-07-08 02:53:00,2010-07-08 02:59:00,2010-07-08 03:08:00,B6.3,,,11087.0,,,,,,,,,,,,,,
135,2010-07-08 22:03:00,2010-07-08 22:16:00,2010-07-08 22:24:00,C1.2,,,11087.0,,,,,,,,,,,,,,
136,2010-07-08 23:57:00,2010-07-09 00:02:00,2010-07-09 00:06:00,B3.3,,,11087.0,,,,,,,,,,,,,,
137,2010-07-09 01:44:00,2010-07-09 01:49:00,2010-07-09 01:58:00,B3.0,,,11087.0,,,,,,,,,,,,,,
138,2010-07-09 08:53:00,2010-07-09 09:01:00,2010-07-09 09:07:00,C1.8,,,11087.0,,,,,,,,,,,,,,
139,2010-07-09 12:36:00,2010-07-09 12:42:00,2010-07-09 12:59:00,B5.3,,,11087.0,,,,,,,,,,,,,,
140,2010-07-09 15:00:00,2010-07-09 15:14:00,2010-07-09 15:23:00,B7.7,,,11087.0,,,,,,,,,,,,,,
141,2010-07-09 19:26:00,2010-07-09 19:51:00,2010-07-09 20:16:00,C3.4,,,11087.0,,,,,,,,,,,,,,
142,2010-07-09 22:19:00,2010-07-09 22:22:00,2010-07-09 22:26:00,B6.9,,,11087.0,,,,,,,,304,SDO,Flare Detective - Trigger Module,POINT(-32.380575 17.335749),POINT(-78.309136 17.335749),-78.309136,17.335749
143,2010-07-10 20:06:00,2010-07-10 20:13:00,2010-07-10 20:24:00,B3.0,,,11087.0,,,,,,,,,,,,,,
144,2010-07-10 22:34:00,2010-07-10 22:49:00,2010-07-10 23:02:00,B7.2,,,11087.0,,,,,,,,,,,,,,
145,2010-07-11 00:42:00,2010-07-11 00:48:00,2010-07-11 00:57:00,B2.9,,,11087.0,,,,,,,,,,,,,,
146,2010-07-11 15:58:00,2010-07-11 16:02:00,2010-07-11 16:08:00,B4.2,,,11087.0,,,,,,,,,,,,,,
147,2010-07-11 17:19:00,2010-07-11 17:28:00,2010-07-11 17:40:00,B4.5,,,11087.0,,,,,,,,,,,,,,
148,2010-07-12 05:11:00,2010-07-12 05:20:00,2010-07-12 05:33:00,B3.9,-45.0,20.0,11087.0,,,,,,,,,,,,,,
149,2010-07-12 05:54:00,2010-07-12 06:06:00,2010-07-12 06:21:00,B3.4,,,11087.0,,,,,,,,,,,,,,
150,2010-07-12 11:34:00,2010-07-12 11:39:00,2010-07-12 11:44:00,B2.1,,,11087.0,,,,,,,,,,,,,,
151,2010-07-12 13:22:00,2010-07-12 13:36:00,2010-07-12 13:50:00,B4.0,,,11087.0,,,,,,,,,,,,,,
152,2010-07-13 02:59:00,2010-07-13 03:10:00,2010-07-13 03:15:00,B3.4,-31.0,18.0,11087.0,,,,,,,,,,,,,,
153,2010-07-13 08:31:00,2010-07-13 08:35:00,2010-07-13 08:37:00,B2.9,-27.0,18.0,11087.0,,,,,,,,,,,,,,
154,2010-07-13 10:07:00,2010-07-13 10:13:00,2010-07-13 10:16:00,B3.3,-26.0,19.0,11087.0,,,,,,,,304,SDO,Flare Detective - Trigger Module,POINT(-28.630347 20.143446),POINT(-28.343187 20.143446),-28.343187,20.143446
155,2010-07-13 10:43:00,2010-07-13 10:51:00,2010-07-13 10:55:00,C2.6,-26.0,19.0,11087.0,,,,,,,,,,,,,,
156,2010-07-14 04:18:00,2010-07-14 04:23:00,2010-07-14 04:30:00,B2.4,,,,,,,,,,,,,,,,,
157,2010-07-14 10:56:00,2010-07-14 11:00:00,2010-07-14 11:02:00,B1.7,,,,,,,,,,,,,,,,,
158,2010-07-14 12:11:00,2010-07-14 12:30:00,2010-07-14 12:57:00,C1.4,,,,,,,,,,,,,,,,,
159,2010-07-14 20:31:00,2010-07-14 20:47:00,2010-07-14 21:22:00,C3.6,,,,,,,,,,,,,,,,,
160,2010-07-15 13:19:00,2010-07-15 13:22:00,2010-07-15 13:26:00,B1.2,,,,,,,,,,,,,,,,,
161,2010-07-16 01:40:00,2010-07-16 01:49:00,2010-07-16 01:58:00,B3.1,,,11087.0,,,,,,,,,,,,,,
162,2010-07-16 23:29:00,2010-07-16 23:33:00,2010-07-16 23:36:00,B1.4,,,11087.0,,,,,,,,,,,,,,
163,2010-07-17 00:17:00,2010-07-17 00:20:00,2010-07-17 00:26:00,B1.3,,,11087.0,,,,,,,,,,,,,,
164,2010-07-17 17:27:00,2010-07-17 18:01:00,2010-07-17 18:20:00,C2.4,,,11087.0,,,,,,,,,,,,,,
165,2010-07-18 19:24:00,2010-07-18 19:27:00,2010-07-18 19:30:00,B2.1,,,11087.0,,,,,,,,,,,,,,
166,2010-07-19 02:03:00,2010-07-19 02:08:00,2010-07-19 02:11:00,B2.5,,,,,,,,,,,,,,,,,
167,2010-07-19 04:45:00,2010-07-19 04:51:00,2010-07-19 04:54:00,B4.5,,,,,,,,,,,,,,,,,
168,2010-07-19 06:21:00,2010-07-19 06:24:00,2010-07-19 06:29:00,B2.5,,,,,,,,,,,,,,,,,
169,2010-07-19 07:27:00,2010-07-19 07:52:00,2010-07-19 08:36:00,B5.5,,,11087.0,,,,,,,,,,,,,,
170,2010-07-19 16:55:00,2010-07-19 16:58:00,2010-07-19 17:00:00,B2.8,,,11089.0,,,,,,,,,,,,,,
171,2010-07-20 04:08:00,2010-07-20 04:12:00,2010-07-20 04:15:00,B2.2,,,11089.0,,,,,,,,,,,,,,
172,2010-07-20 05:02:00,2010-07-20 05:21:00,2010-07-20 05:30:00,B4.1,,,11089.0,,,,,,,,,,,,,,
173,2010-07-20 09:16:00,2010-07-20 09:42:00,2010-07-20 10:03:00,B8.0,,,11089.0,,,,,,,,,,,,,,
174,2010-07-20 11:23:00,2010-07-20 11:30:00,2010-07-20 11:39:00,B5.6,,,,,,,,,,,,,,,,,
175,2010-07-20 12:34:00,2010-07-20 12:39:00,2010-07-20 12:51:00,B5.6,,,,,,,,,,,,,,,,,
176,2010-07-20 13:38:00,2010-07-20 13:45:00,2010-07-20 13:50:00,C1.4,-55.0,-21.0,11089.0,,,,,,,,,,,,,,
177,2010-07-20 18:52:00,2010-07-20 18:55:00,2010-07-20 18:59:00,B8.0,-63.0,-22.0,11089.0,,,,,,,,171,SDO,Flare Detective - Trigger Module,POINT(-162.388116 -19.413226),POINT(-64.657796 -19.413226),-64.657796,-19.413226
