timestamp,source_package,target_package,call_type,source_module
2024-11-01T02:16:52Z,search_client,logging,require,search_client/query_logger.rb
2024-11-01T02:16:53Z,search_client,cache,autoload,search_client/query_cache.rb
2024-11-01T02:17:01Z,config,metrics,method_dispatch,config/change_tracker.rb
2024-11-01T02:18:01Z,user_model,db_driver,require,user_model/persistence.rb
2024-11-01T02:18:02Z,user_model,logging,require,user_model/base.rb
2024-11-01T02:18:03Z,user_model,cache,require,user_model/session_cache.rb
2024-11-01T02:18:04Z,user_model,crypto,require,user_model/password_hash.rb
2024-11-01T02:18:05Z,user_model,db_driver,require,user_model/queries.rb
2024-11-01T02:18:10Z,payment_model,db_driver,require,payment_model/transaction_store.rb
2024-11-01T02:18:11Z,payment_model,logging,require,payment_model/audit_log.rb
2024-11-01T02:18:12Z,payment_model,crypto,require,payment_model/tokenizer.rb
2024-11-01T02:18:13Z,payment_model,user_model,require,payment_model/billing_profile.rb
2024-11-01T02:18:14Z,payment_model,auth_api,require,payment_model/auth_check.rb
2024-11-01T02:18:20Z,order_model,db_driver,require,order_model/persistence.rb
2024-11-01T02:18:21Z,order_model,payment_model,require,order_model/checkout.rb
2024-11-01T02:18:22Z,order_model,user_model,require,order_model/customer.rb
2024-11-01T02:18:23Z,order_model,notification_model,require,order_model/alerts.rb
2024-11-01T02:18:24Z,order_model,inventory_model,require,order_model/stock_check.rb
2024-11-01T02:18:30Z,inventory_model,db_driver,require,inventory_model/warehouse.rb
2024-11-01T02:18:31Z,inventory_model,logging,require,inventory_model/tracker.rb
2024-11-01T02:18:32Z,inventory_model,order_model,require,inventory_model/reorder.rb
2024-11-01T02:18:40Z,notification_model,email_client,require,notification_model/mailer.rb
2024-11-01T02:18:41Z,notification_model,user_model,require,notification_model/recipients.rb
2024-11-01T02:18:42Z,notification_model,logging,require,notification_model/dispatcher.rb
2024-11-01T02:18:43Z,notification_model,order_model,require,notification_model/order_updates.rb
2024-11-01T02:18:50Z,analytics_model,db_driver,require,analytics_model/data_warehouse.rb
2024-11-01T02:18:51Z,analytics_model,user_model,require,analytics_model/user_segments.rb
2024-11-01T02:18:52Z,analytics_model,order_model,require,analytics_model/order_funnel.rb
2024-11-01T02:18:53Z,analytics_model,payment_model,require,analytics_model/revenue.rb
2024-11-01T02:18:54Z,analytics_model,metrics,require,analytics_model/kpi_tracker.rb
2024-11-01T02:18:55Z,analytics_model,logging,require,analytics_model/pipeline.rb
2024-11-01T02:18:56Z,analytics_model,admin_api,method_dispatch,analytics_model/reports/admin_dashboard.rb
2024-11-01T02:19:01Z,shipping_model,order_model,require,shipping_model/fulfillment.rb
2024-11-01T02:19:02Z,shipping_model,inventory_model,require,shipping_model/warehouse_pick.rb
2024-11-01T02:19:03Z,shipping_model,logging,require,shipping_model/tracker.rb
2024-11-01T02:19:04Z,shipping_model,http_client,require,shipping_model/carrier_api.rb
2024-11-01T02:19:05Z,shipping_model,notification_model,require,shipping_model/shipment_alerts.rb
2024-11-01T02:19:06Z,shipping_model,payment_api,method_dispatch,shipping_model/integrations/cod_payment.rb
2024-11-01T02:19:10Z,subscription_model,payment_model,require,subscription_model/billing.rb
2024-11-01T02:19:11Z,subscription_model,user_model,require,subscription_model/subscriber.rb
2024-11-01T02:19:12Z,subscription_model,notification_model,require,subscription_model/reminders.rb
2024-11-01T02:19:13Z,subscription_model,db_driver,require,subscription_model/plan_store.rb
2024-11-01T02:19:20Z,fraud_model,payment_model,require,fraud_model/risk_score.rb
2024-11-01T02:19:21Z,fraud_model,user_model,require,fraud_model/identity_check.rb
2024-11-01T02:19:22Z,fraud_model,analytics_model,require,fraud_model/pattern_analysis.rb
2024-11-01T02:19:23Z,fraud_model,order_model,require,fraud_model/order_review.rb
2024-11-01T02:19:30Z,refund_model,payment_model,require,refund_model/reversal.rb
2024-11-01T02:19:31Z,refund_model,order_model,require,refund_model/order_cancel.rb
2024-11-01T02:19:32Z,refund_model,fraud_model,require,refund_model/fraud_review.rb
2024-11-01T02:19:33Z,refund_model,user_model,require,refund_model/customer_refund.rb
2024-11-01T02:19:34Z,refund_model,notification_model,require,refund_model/refund_notice.rb
2024-11-01T02:20:01Z,auth_api,user_model,require,auth_api/authenticator.rb
2024-11-01T02:20:02Z,auth_api,crypto,require,auth_api/token_signer.rb
2024-11-01T02:20:03Z,auth_api,logging,require,auth_api/access_log.rb
2024-11-01T02:20:04Z,auth_api,config,require,auth_api/oauth_config.rb
2024-11-01T02:20:05Z,auth_api,metrics,require,auth_api/auth_metrics.rb
2024-11-01T02:20:06Z,auth_api,payment_api,require,auth_api/billing_check.rb
2024-11-01T02:20:10Z,payment_api,payment_model,require,payment_api/processor.rb
2024-11-01T02:20:11Z,payment_api,user_model,require,payment_api/customer.rb
2024-11-01T02:20:12Z,payment_api,auth_api,require,payment_api/auth_middleware.rb
2024-11-01T02:20:13Z,payment_api,fraud_model,require,payment_api/fraud_gate.rb
2024-11-01T02:20:20Z,order_api,order_model,require,order_api/controller.rb
2024-11-01T02:20:21Z,order_api,auth_api,require,order_api/auth_middleware.rb
2024-11-01T02:20:22Z,order_api,inventory_model,require,order_api/stock_query.rb
2024-11-01T02:20:30Z,admin_api,user_model,require,admin_api/user_admin.rb
2024-11-01T02:20:31Z,admin_api,analytics_model,require,admin_api/dashboard.rb
2024-11-01T02:20:32Z,admin_api,auth_api,require,admin_api/admin_auth.rb
2024-11-01T02:20:40Z,webhook_api,notification_model,require,webhook_api/dispatcher.rb
2024-11-01T02:20:41Z,webhook_api,order_model,require,webhook_api/order_hooks.rb
2024-11-01T02:20:50Z,search_api,search_client,require,search_api/query_handler.rb
2024-11-01T02:20:51Z,search_api,auth_api,require,search_api/auth_middleware.rb
2024-11-01T02:21:01Z,web_service,auth_api,require,web_service/middleware.rb
2024-11-01T02:21:02Z,web_service,payment_api,require,web_service/checkout_route.rb
2024-11-01T02:21:10Z,worker_service,order_model,require,worker_service/order_worker.rb
2024-11-01T02:21:11Z,worker_service,queue_client,require,worker_service/consumer.rb
2024-11-01T02:21:20Z,admin_service,admin_api,require,admin_service/routes.rb
2024-11-01T02:21:21Z,admin_service,auth_api,require,admin_service/admin_auth.rb
2024-11-01T02:21:30Z,cron_service,analytics_model,require,cron_service/daily_report.rb
2024-11-01T02:21:31Z,cron_service,inventory_model,require,cron_service/stock_alert.rb
2024-11-01T02:21:40Z,webhook_service,webhook_api,require,webhook_service/handler.rb
2024-11-01T02:21:41Z,webhook_service,queue_client,require,webhook_service/async_dispatch.rb
