Attribute Name	Tag	Retd. (from PS3.6)	In Std. Comp. IOD (from PS3.3)	Basic Prof.	Rtn. Safe Priv. Opt.	Rtn. UIDs Opt.	Rtn. Dev. Id. Opt.	Rtn. Inst. Id. Opt.	Rtn. Pat. Chars. Opt.	Rtn. Long. Full Dates Opt.	Rtn. Long. Modif. Dates Opt.	Clean Desc. Opt.	Clean Struct. Cont. Opt.	Clean Graph. Opt.
Clinical Trial Coordinating Center Name	(0012,0060)	N	Y	Z				K						
Clinical Trial Protocol Ethics Committee Approval Number	(0012,0082)	N	Y	X										
Clinical Trial Protocol Ethics Committee Name	(0012,0081)	N	Y	D				K						
Clinical Trial Protocol ID	(0012,0020)	N	Y	D										
Clinical Trial Protocol Name	(0012,0021)	N	Y	Z										
Clinical Trial Series Description	(0012,0072)	N	Y	X								C		
Clinical Trial Series ID	(0012,0071)	N	Y	X										
Clinical Trial Site ID	(0012,0030)	N	Y	Z				K						
Clinical Trial Site Name	(0012,0031)	N	Y	Z				K						
Clinical Trial Sponsor Name	(0012,0010)	N	Y	D										
Clinical Trial Subject ID	(0012,0040)	N	Y	D										
Clinical Trial Subject Reading ID	(0012,0042)	N	Y	D										
Clinical Trial Time Point Description	(0012,0051)	N	Y	X								C		
Clinical Trial Time Point ID	(0012,0050)	N	Y	Z										
Comments on Radiation Dose	(0040,0310)	N	Y	X								C		
Comments on the Performed Procedure Step	(0040,0280)	N	Y	X								C		
Compensator Description	(300A,02EB)	N	Y	X								C		
Concatenation UID	(0020,9161)	N	Y	U		K								
Conceptual Volume Combination Description	(3010,000F)	N	Y	Z								C		
Conceptual Volume Description	(3010,0017)	N	Y	Z								C		
Conceptual Volume UID	(3010,0006)	N	Y	U		K								
Confidentiality Constraint on Patient Data Description	(0040,3001)	N	N	X										
Constituent Conceptual Volume UID	(3010,0013)	N	Y	U		K								
Consulting Physician's Name	(0008,009C)	N	Y	Z										
Consulting Physician Identification Sequence	(0008,009D)	N	Y	X										
Container Component ID	(0050,001B)	N	Y	X										
Container Description	(0040,051A)	N	Y	X								C		
Container Identifier	(0040,0512)	N	Y	D										
Content Creator's Identification Code Sequence	(0070,0086)	N	Y	X										
Content Creator's Name	(0070,0084)	N	Y	Z/D										
Content Date	(0008,0023)	N	Y	Z/D						K	C			
Content Sequence	(0040,A730)	N	Y	D									C	
Content Time	(0008,0033)	N	Y	Z/D						K	C			
Context Group Local Version	(0008,0107)	N	Y	D						K	C			
Context Group Version	(0008,0106)	N	Y	D						K	C			
Contrast/Bolus Agent	(0018,0010)	N	Y	Z/D								C		
Contrast/Bolus Start Time	(0018,1042)	N	Y	X						K	C			
Contrast/Bolus Stop Time	(0018,1043)	N	Y	X						K	C			
Contribution DateTime	(0018,A002)	N	Y	X						K	C			
Contribution Description	(0018,A003)	N	Y	X								C		
Country of Residence	(0010,2150)	N	N	X										
Creation Date	(2100,0040)	N	N	X						K	C			
Creation Time	(2100,0050)	N	N	X						K	C			
Current Observer (Trial)	(0040,A307)	Y	N	X										
Current Patient Location	(0038,0300)	N	N	X										
Curve Data	(50xx,xxxx)	Y	N	X										C
Curve Date	(0008,0025)	Y	Y	X						K	C			
Curve Time	(0008,0035)	Y	Y	X						K	C			
Custodial Organization Sequence	(0040,A07C)	N	Y	X										
Data Set Trailing Padding	(FFFC,FFFC)	N	Y	X										
Date	(0040,A121)	N	Y	D						K	C			
Date of Document or Verbal Transaction (Trial)	(0040,A110)	Y	N	X						K	C			
Date of Installation	(0018,1205)	N	Y	X			K			K	C			
Date of Last Calibration	(0018,1200)	N	Y	X			K			K	C			
Date of Last Detector Calibration	(0018,700C)	N	Y	X/D			K			K	C			
Date of Manufacture	(0018,1204)	N	Y	X			K			K	C			
Date of Secondary Capture	(0018,1012)	N	Y	X						K	C			
DateTime	(0040,A120)	N	Y	D						K	C			
DateTime of Last Calibration	(0018,1202)	N	N	X			K			K	C			
Decay Correction DateTime	(0018,9701)	N	Y	D						K	C			
Decomposition Description	(0018,937F)	N	Y	X								C		
Derivation Description	(0008,2111)	N	Y	X								C		
Destination AE	(2100,0140)	N	Y	D			C							
Detector ID	(0018,700A)	N	Y	X/D			K							
Device Alternate Identifier	(3010,001B)	N	Y	Z										
Device Description	(0050,0020)	N	Y	X			K							
Device Label	(3010,002D)	N	Y	D			K							
Device Serial Number	(0018,1000)	N	Y	X/Z/D			K							
Device Setting Description	(0016,004B)	N	Y	X								C		
Device UID	(0018,1002)	N	Y	U		K	K							
Digital Signature DateTime	(0400,0105)	N	Y	D						K	C			
Digital Signatures Sequence	(FFFA,FFFA)	N	Y	X										
Digital Signature UID	(0400,0100)	N	Y	U										
Dimension Organization UID	(0020,9164)	N	Y	U		K								
Discharge Date	(0038,0030)	Y	N	X						K	C			
Discharge Diagnosis Description	(0038,0040)	Y	N	X								C		
Discharge Time	(0038,0032)	Y	N	X						K	C			
Displacement Reference Label	(300A,079A)	N	Y	X								C		
Display URI	(0040,E012)	N	Y	X										
Distribution Address	(4008,011A)	Y	N	X										
Distribution Name	(4008,0119)	Y	N	X										
Dose Reference Description	(300A,0016)	N	Y	X								C		
Dose Reference UID	(300A,0013)	N	Y	U		K								
Dosimetric Objective UID	(3010,006E)	N	Y	U		K								
Effective DateTime	(0068,6226)	N	Y	D						K	C			
Effective Start DateTime	(0040,A034)	N	Y	X						K	C			
Effective Stop DateTime	(0040,A035)	N	Y	X						K	C			
Encapsulated Document	(0042,0011)	N	Y	D										
End Acquisition DateTime	(0018,9517)	N	Y	X/D						K	C			
Entity Description	(3010,0037)	N	Y	X								C		
Entity Label	(3010,0035)	N	Y	D								C		
Entity Long Label	(3010,0038)	N	Y	D								C		
Entity Name	(3010,0036)	N	Y	X								C		
Equipment Frame of Reference Description	(300A,0676)	N	Y	X								C		
Ethics Committee Approval Effectiveness End Date	(0012,0087)	N	Y	X						K	C			
Ethics Committee Approval Effectiveness Start Date	(0012,0086)	N	Y	X						K	C			
Ethnic Group	(0010,2160)	Y	N	X					K					
Ethnic Group Code Sequence	(0010,2161)	N	Y	X					K					
Ethnic Groups	(0010,2162)	N	Y	X					K					
Exclusion Start DateTime	(0018,9804)	N	Y	D						K	C			
Expected Completion DateTime	(0040,4011)	N	N	X						K	C			
Failed SOP Instance UID List	(0008,0058)	N	N	U		K								
Fiducial UID	(0070,031A)	N	Y	U		K								
Filler Order Number / Imaging Service Request	(0040,2017)	N	Y	Z										
Filter Lookup Table Description	(003A,032B)	N	Y	X								C		
Findings Group Recording Date (Trial)	(0040,A023)	Y	N	X						K	C			
Findings Group Recording Time (Trial)	(0040,A024)	Y	N	X						K	C			
First Treatment Date	(3008,0054)	N	Y	X/D						K	C			
Fixation Device Description	(300A,0196)	N	Y	X								C		
Flow Identifier	(0034,0002)	N	Y	D										
Flow Identifier Sequence	(0034,0001)	N	Y	D										
Fractionation Notes	(3010,007F)	N	Y	Z								C		
Fraction Group Description	(300A,0072)	N	Y	X								C		
Frame Acquisition DateTime	(0018,9074)	N	Y	D						K	C			
Frame Comments	(0020,9158)	N	Y	X								C		
Frame of Reference UID	(0020,0052)	N	Y	U		K								
Frame Origin Timestamp	(0034,0007)	N	Y	D						K	C			
Frame Reference DateTime	(0018,9151)	N	Y	D						K	C			
Functional Sync Pulse	(0018,9623)	N	Y	D						K	C			
Gantry ID	(0018,1008)	N	Y	X			K							
Gender Identity Code Sequence	(0010,0044)	N	Y	X										
Gender Identity Comment	(0010,0045)	N	Y	X								C		
Gender Identity Sequence	(0010,0041)	N	Y	X										
Generator ID	(0018,1005)	N	Y	X			K							
GPS Altitude​	(0016,0076)	N	Y	X										
GPS Altitude​ Ref	(0016,0075)	N	Y	X										
GPS Area ​Information	(0016,008C)	N	Y	X										
GPS Date​ Stamp	(0016,008D)	N	Y	X						K	C			
GPS Dest ​Bearing	(0016,0088)	N	Y	X										
GPS Dest​ Bearing Ref	(0016,0087)	N	Y	X										
GPS Dest ​Distance	(0016,008A)	N	Y	X										
GPS Dest ​Distance Ref	(0016,0089)	N	Y	X										
GPS Dest​ Latitude	(0016,0084)	N	Y	X										
GPS Dest​ Latitude Ref	(0016,0083)	N	Y	X										
GPS Dest ​Longitude	(0016,0086)	N	Y	X										
GPS Dest ​Longitude Ref	(0016,0085)	N	Y	X										
GPS Differential	(0016,008E)	N	Y	X										
GPS DOP	(0016,007B)	N	Y	X										
GPS Img ​Direction	(0016,0081)	N	Y	X										
GPS Img​ Direction Ref	(0016,0080)	N	Y	X										
GPS Latitude​	(0016,0072)	N	Y	X										
GPS Latitude​ Ref	(0016,0071)	N	Y	X										
GPS Longitude	(0016,0074)	N	Y	X										
GPS Longitude Ref	(0016,0073)	N	Y	X										
GPS Map​ Datum	(0016,0082)	N	Y	X										
GPS Measure ​Mode	(0016,007A)	N	Y	X										
GPS Processing​ Method	(0016,008B)	N	Y	X										
GPS Satellites	(0016,0078)	N	Y	X										
GPS Speed​	(0016,007D)	N	Y	X										
GPS Speed​ Ref	(0016,007C)	N	Y	X										
GPS Status	(0016,0079)	N	Y	X										
GPS Time​ Stamp	(0016,0077)	N	Y	X										
GPS Track	(0016,007F)	N	Y	X										
GPS Track ​Ref	(0016,007E)	N	Y	X										
GPS Version ID	(0016,0070)	N	Y	X										
Graphic Annotation Sequence	(0070,0001)	N	Y	D										C
Hanging Protocol Creation DateTime	(0072,000A)	N	Y	D						K	C			
Hardcopy Creation Device ID	(0018,1011)	Y	N	X			K							
Histological Diagnoses Code Sequence	(0008,1304)	N	Y	X								C		
HL7 Document Effective Time	(0040,E004)	N	N	X						K	C			
Human Performer's Name	(0040,4037)	N	N	X										
Human Performer's Organization	(0040,4036)	N	N	X										
Icon Image Sequence (see Note 11)	(0088,0200)	N	Y	X										
Identifying Comments	(0008,4000)	Y	N	X								C		
Image Comments	(0020,4000)	N	Y	X								C		
Image Presentation Comments	(0028,4000)	Y	N	X										
Imaging Service Request Comments	(0040,2400)	N	N	X								C		
Impedance Measurement DateTime	(003A,0314)	N	Y	D						K	C			
Impressions	(4008,0300)	Y	N	X								C		
Information Issue DateTime	(0068,6270)	N	Y	D						K	C			
Instance Coercion DateTime	(0008,0015)	N	Y	X						K	C			
Instance Creation Date	(0008,0012)	N	Y	X/D						K	C			
Instance Creation Time	(0008,0013)	N	Y	X/Z/D						K	C			
Instance Creator UID	(0008,0014)	N	Y	U		K								
Instance Origin Status	(0400,0600)	N	Y	X										
Institution Address	(0008,0081)	N	Y	X				K						
Institutional Department Name	(0008,1040)	N	Y	X				K						
Institutional Department Type Code Sequence	(0008,1041)	N	Y	X				K						
Institution Code Sequence	(0008,0082)	N	Y	X/Z/D				K						
Institution Name	(0008,0080)	N	Y	X/Z/D				K						
Instruction Performed DateTime	(0018,9919)	N	Y	Z/D						K	C			
Insurance Plan Identification	(0010,1050)	Y	N	X										
Intended Fraction Start Time	(3010,0085)	N	Y	X						K	C			
Intended Phase End Date	(3010,004D)	N	Y	X/D						K	C			
Intended Phase Start Date	(3010,004C)	N	Y	X/D						K	C			
Intended Recipients of Results Identification Sequence	(0040,1011)	N	N	X										
Interlock DateTime	(300A,0741)	N	Y	D						K	C			
Interlock Description	(300A,0742)	N	Y	D								C		
Interlock Origin Description	(300A,0783)	N	Y	D								C		
Interpretation Approval Date	(4008,0112)	Y	N	X						K	C			
Interpretation Approval Time	(4008,0113)	Y	N	X						K	C			
Interpretation Approver Sequence	(4008,0111)	Y	N	X										
Interpretation Author	(4008,010C)	Y	N	X										
Interpretation Diagnosis Description	(4008,0115)	Y	N	X								C		
Interpretation ID	(4008,0200)	Y	N	X										
Interpretation ID Issuer	(4008,0202)	Y	N	X										
Interpretation Recorded Date	(4008,0100)	Y	N	X						K	C			
Interpretation Recorded Time	(4008,0101)	Y	N	X						K	C			
Interpretation Recorder	(4008,0102)	Y	N	X										
Interpretation Text	(4008,010B)	Y	N	X								C		
Interpretation Transcriber	(4008,010A)	Y	N	X										
Interpretation Transcription Date	(4008,0108)	Y	N	X						K	C			
Interpretation Transcription Time	(4008,0109)	Y	N	X						K	C			
Intervention Drug Start Time	(0018,0035)	N	Y	X						K	C			
Intervention Drug Stop Time	(0018,0027)	N	Y	X						K	C			
Irradiation Event UID	(0008,3010)	N	Y	U		K								
Issue Date of Imaging Service Request	(0040,2004)	N	N	X						K	C			
Issuer of Admission ID	(0038,0011)	Y	Y	X										
Issuer of Admission ID Sequence	(0038,0014)	N	Y	X										
Issuer of Clinical Trial Protocol ID	(0012,0022)	N	Y	X										
Issuer of Clinical Trial Series ID	(0012,0073)	N	Y	X										
Issuer of Clinical Trial Site ID	(0012,0032)	N	Y	X										
Issuer of Clinical Trial Subject ID	(0012,0041)	N	Y	X										
Issuer of Clinical Trial Subject Reading ID	(0012,0043)	N	Y	X										
Issuer of Clinical Trial Time Point ID	(0012,0055)	N	Y	X										
Issuer of Patient ID	(0010,0021)	N	Y	X										
Issuer of Service Episode ID	(0038,0061)	Y	Y	X										
Issuer of Service Episode ID Sequence	(0038,0064)	N	Y	X										
Issuer of the Container Identifier Sequence	(0040,0513)	N	Y	Z										
Issuer of the Specimen Identifier Sequence	(0040,0562)	N	Y	Z										
Issue Time of Imaging Service Request	(0040,2005)	N	N	X						K	C			
Label Text	(2200,0002)	N	Y	X/Z								C		
Large Palette Color Lookup Table UID	(0028,1214)	Y	N	U		K								
Last Menstrual Date	(0010,21D0)	N	N	X						K	C			
Lens Make	(0016,004F)	N	Y	X			K							
Lens Model	(0016,0050)	N	Y	X			K							
Lens Serial Number	(0016,0051)	N	Y	X			K							
Lens Specification	(0016,004E)	N	Y	X			K							
Long Device Description	(0050,0021)	N	Y	X								C		
MAC	(0400,0404)	N	Y	X										
Maker Note	(0016,002B)	N	Y	X								C		
Manufacturer's Device Class UID	(0018,100B)	N	Y	U		K	K							
Manufacturer's Device Identifier	(3010,0043)	N	Y	Z			K							
Media Storage SOP Instance UID	(0002,0003)	N	N	U		K								
Medical Alerts	(0010,2000)	N	N	X								C		
Medical Record Locator	(0010,1090)	Y	N	X										
Military Rank	(0010,1080)	N	N	X										
Modified Attributes Sequence	(0400,0550)	N	N	X										
Modified Image Date	(0020,3403)	Y	N	X						K	C			
Modified Image Description	(0020,3406)	Y	N	X										
Modified Image Time	(0020,3405)	Y	N	X						K	C			
Modifying Device ID	(0020,3401)	Y	N	X			K							
Modifying System	(0400,0563)	N	Y	D			K							
Montage Channel Label	(0040,B03F)	N	Y	X								C		
Montage Name	(0040,B03B)	N	Y	X								C		
Most Recent Treatment Date	(3008,0056)	N	Y	X/D						K	C			
Multi-energy Acquisition Description	(0018,937B)	N	Y	X								C		
Multiplex Group Label	(003A,0020)	N	Y	X								C		
Multiplex Group UID	(003A,0310)	N	Y	U		K								
Name of Physician(s) Reading Study	(0008,1060)	N	Y	X										
Names of Intended Recipients of Results	(0040,1010)	N	N	X										
Name to Use	(0010,0012)	N	Y	X										
Name to Use Comment	(0010,0013)	N	Y	X										
Network ID	(0008,1000)	Y	N	X			C							
Nonconforming Data Element Value	(0400,0552)	N	N	X										
Nonconforming Modified Attributes Sequence	(0400,0551)	N	N	X										
Observation Date (Trial)	(0040,A192)	Y	N	X						K	C			
Observation DateTime	(0040,A032)	N	Y	X/D						K	C			
Observation Start DateTime	(0040,A033)	N	Y	X						K	C			
Observation Subject UID (Trial)	(0040,A402)	Y	N	U		K								
Observation Time (Trial)	(0040,A193)	Y	N	X						K	C			
Observation UID	(0040,A171)	N	Y	U		K								
Occupation	(0010,2180)	N	Y	X								C		
Operator Identification Sequence	(0008,1072)	N	Y	X/D										
Operators' Name	(0008,1070)	N	Y	X/Z/D										
Order Callback Phone Number	(0040,2010)	N	N	X										
Order Callback Telecom Information	(0040,2011)	N	N	X										
Order Entered By	(0040,2008)	N	N	X										
Order Enterer's Location	(0040,2009)	N	N	X										
Original Attributes Sequence	(0400,0561)	N	Y	X										
Originator	(2100,0070)	N	N	X			C							
Other Clinical Trial Protocol IDs Sequence	(0012,0023)	N	Y	X										
Other Patient IDs	(0010,1000)	Y	Y	X										
Other Patient IDs Sequence	(0010,1002)	N	Y	X										
Other Patient Names	(0010,1001)	N	Y	X										
Overlay Comments	(60xx,4000)	Y	N	X										C
Overlay Data	(60xx,3000)	N	Y	X										C
Overlay Date	(0008,0024)	Y	Y	X						K	C			
Overlay Time	(0008,0034)	Y	Y	X						K	C			
Override DateTime	(300A,0760)	N	Y	D						K	C			
Palette Color Lookup Table UID	(0028,1199)	N	Y	U		K								
Participant Sequence	(0040,A07A)	N	Y	X										
Participation DateTime	(0040,A082)	N	Y	Z						K	C			
Patient's Address	(0010,1040)	N	N	X										
Patient's Age	(0010,1010)	N	Y	X					K					
Patient's Birth Date	(0010,0030)	N	Y	Z										
Patient's Birth Name	(0010,1005)	N	N	X										
Patient's Birth Time	(0010,0032)	N	Y	X										
Patient's Institution Residence	(0038,0400)	N	N	X										
Patient's Insurance Plan Code Sequence	(0010,0050)	N	Y	X										
Patient's Mother's Birth Name	(0010,1060)	N	N	X										
Patient's Name	(0010,0010)	N	Y	Z										
Patient's Primary Language Code Sequence	(0010,0101)	N	Y	X										
Patient's Primary Language Modifier Code Sequence	(0010,0102)	N	Y	X										
Patient's Religious Preference	(0010,21F0)	N	N	X										
Patient's Sex	(0010,0040)	N	Y	Z					K					
Patient's Sex Neutered	(0010,2203)	N	Y	X/Z					K					
Patient's Size	(0010,1020)	N	Y	X					K					
Patient's Telecom Information	(0010,2155)	N	N	X										
Patient's Telephone Numbers	(0010,2154)	N	N	X										
Patient's Weight	(0010,1030)	N	Y	X					K					
Patient Comments	(0010,4000)	N	Y	X								C		
Patient ID	(0010,0020)	N	Y	Z/D										
Patient Setup Photo Description	(300A,0794)	N	Y	X								C		
Patient Setup UID	(300A,0650)	Y	N	U		K								
Patient State	(0038,0500)	N	N	X					C			C		
Patient Transport Arrangements	(0040,1004)	N	N	X										
Patient Treatment Preparation Method Description	(300A,0792)	N	Y	X								C		
Patient Treatment Preparation Procedure Parameter Description	(300A,078E)	N	Y	X								C		
Performed Location	(0040,0243)	N	N	X										
Performed Procedure Step Description	(0040,0254)	N	Y	X								C		
Performed Procedure Step End Date	(0040,0250)	N	Y	X						K	C			
Performed Procedure Step End DateTime	(0040,4051)	N	N	X						K	C			
Performed Procedure Step End Time	(0040,0251)	N	Y	X						K	C			
Performed Procedure Step ID	(0040,0253)	N	Y	X										
Performed Procedure Step Start Date	(0040,0244)	N	Y	X						K	C			
Performed Procedure Step Start DateTime	(0040,4050)	N	N	X						K	C			
Performed Procedure Step Start Time	(0040,0245)	N	Y	X						K	C			
Performed Station AE Title	(0040,0241)	N	N	X			C							
Performed Station Geographic Location Code Sequence	(0040,4030)	N	N	X			K							
Performed Station Name	(0040,0242)	N	N	X			K							
Performed Station Name Code Sequence	(0040,4028)	N	N	X			K							
Performing Physician's Name	(0008,1050)	N	Y	X										
Performing Physician Identification Sequence	(0008,1052)	N	Y	X										
Person's Address	(0040,1102)	N	Y	X										
Person's Telecom Information	(0040,1104)	N	Y	X										
Person's Telephone Numbers	(0040,1103)	N	Y	X										
Person Identification Code Sequence	(0040,1101)	N	Y	D										
Person Name	(0040,A123)	N	Y	D										
Person Names to Use Sequence	(0010,0011)	N	Y	X										
Physician(s) of Record	(0008,1048)	N	Y	X										
Physician(s) of Record Identification Sequence	(0008,1049)	N	Y	X										
Physician(s) Reading Study Identification Sequence	(0008,1062)	N	Y	X										
Physician Approving Interpretation	(4008,0114)	Y	N	X										
Placer Order Number / Imaging Service Request	(0040,2016)	N	Y	Z										
Plate ID	(0018,1004)	N	Y	X			K							
Position Acquisition Template Description	(3002,0123)	N	Y	X								C		
Position Acquisition Template Name	(3002,0121)	N	Y	X								C		
Pregnancy Status	(0010,21C0)	N	N	X					K					
Pre-Medication	(0040,0012)	N	N	X					C					
Prescription Description	(300A,000E)	N	Y	X								C		
Prescription Notes	(3010,007B)	N	Y	Z								C		
Prescription Notes Sequence	(3010,0081)	N	Y	Z								C		
Presentation Creation Date	(0070,0082)	N	Y	X						K	C			
Presentation Creation Time	(0070,0083)	N	Y	X						K	C			
Presentation Display Collection UID	(0070,1101)	N	Y	U		K								
Presentation Sequence Collection UID	(0070,1102)	N	Y	U		K								
Primary Diagnosis Code Sequence	(0008,1302)	N	Y	X								C		
Principal Diagnosis Code Sequence	(0008,1301)	N	Y	X								C		
Prior Treatment Dose Description	(3010,0061)	N	Y	X								C		
Private Attributes	(gggg,eeee) where gggg is odd	N	N	X	C									
Procedure Step Cancellation DateTime	(0040,4052)	N	N	X						K	C			
Product Expiration DateTime	(0044,000B)	N	N	X						K	C			
Pronoun Code Sequence	(0010,0015)	N	Y	X										
Pronoun Comment	(0010,0016)	N	Y	X								C		
Protocol Name	(0018,1030)	N	Y	X/D								C		
Pyramid Description	(0008,1088)	N	Y	X								C		
Pyramid Label	(0020,0027)	N	Y	X								C		
Pyramid UID	(0008,0019)	N	Y	U		K								
Radiation Dose Identification Label	(300A,0619)	N	Y	D								C		
Radiation Dose In-Vivo Measurement Label	(300A,0623)	N	Y	D								C		
Radiation Generation Mode Description	(300A,067D)	N	Y	Z								C		
Radiation Generation Mode Label	(300A,067C)	N	Y	D								C		
Radiopharmaceutical Start DateTime	(0018,1078)	N	Y	X						K	C			
Radiopharmaceutical Start Time	(0018,1072)	N	Y	X						K	C			
Radiopharmaceutical Stop DateTime	(0018,1079)	N	Y	X						K	C			
Radiopharmaceutical Stop Time	(0018,1073)	N	Y	X						K	C			
Reason for Omission Description	(300C,0113)	N	Y	X								C		
Reason for Requested Procedure Code Sequence	(0040,100A)	N	Y	X								C		
Reason for Study	(0032,1030)	Y	N	X								C		
Reason for Superseding	(3010,005C)	N	Y	Z								C		
Reason for the Attribute Modification	(0400,0565)	N	Y	D								C		
Reason for the Imaging Service Request	(0040,2001)	Y	N	X								C		
Reason for the Requested Procedure	(0040,1002)	N	Y	X								C		
Reason for Visit	(0032,1066)	N	Y	X								C		
Reason for Visit Code Sequence	(0032,1067)	N	Y	X								C		
Receiving AE	(0074,1234)	N	N	X			C							
Recorded RT Control Point DateTime	(300A,073A)	N	Y	D						K	C			
Referenced Conceptual Volume UID	(3010,000B)	N	Y	U		K								
Referenced DateTime	(0040,A13A)	N	Y	D						K	C			
Referenced Digital Signature Sequence	(0400,0402)	N	Y	X										
Referenced Dose Reference UID	(300A,0083)	N	Y	U		K								
Referenced Dosimetric Objective UID	(3010,006F)	N	Y	U		K								
Referenced Fiducials UID	(3010,0031)	N	Y	U		K								
Referenced Frame of Reference UID	(3006,0024)	N	Y	U		K								
Referenced General Purpose Scheduled Procedure Step Transaction UID	(0040,4023)	Y	N	U		K								
Referenced Image Sequence	(0008,1140)	N	Y	X/Z/U*		K								
Referenced Observation UID (Trial)	(0040,A172)	Y	N	U		K								
Referenced Patient Alias Sequence	(0038,0004)	Y	N	X										
Referenced Patient Photo Sequence	(0010,1100)	N	Y	X										
Referenced Patient Sequence	(0008,1120)	N	Y	X		K								
Referenced Performed Procedure Step Sequence	(0008,1111)	N	Y	X/Z/D		K								
Referenced SOP Instance MAC Sequence	(0400,0403)	N	Y	X										
Referenced SOP Instance UID	(0008,1155)	N	Y	U		K								
Referenced SOP Instance UID in File	(0004,1511)	N	N	U		K								
Referenced Study Sequence	(0008,1110)	N	Y	X/Z		K								
Referenced Treatment Position Group UID	(300A,0785)	N	Y	U		K								
Referring Physician's Address	(0008,0092)	N	N	X										
Referring Physician's Name	(0008,0090)	N	Y	Z										
Referring Physician's Telephone Numbers	(0008,0094)	N	N	X										
Referring Physician Identification Sequence	(0008,0096)	N	Y	X										
Region of Residence	(0010,2152)	N	N	X										
Related Frame of Reference UID	(3006,00C2)	Y	N	U		K								
Request Attributes Sequence	(0040,0275)	N	Y	X								C		
Requested Contrast Agent	(0032,1070)	N	N	X								C		
Requested Procedure Comments	(0040,1400)	N	N	X								C		
Requested Procedure Description	(0032,1060)	N	Y	X/Z								C		
Requested Procedure ID	(0040,1001)	N	N	X										
Requested Procedure Location	(0040,1005)	N	N	X										
Requested Series Description	(0018,9937)	N	Y	X								C		
Requested SOP Instance UID	(0000,1001)	N	N	U		K								
Requesting AE	(0074,1236)	N	N	X			C							
Requesting Physician	(0032,1032)	N	N	X										
Requesting Service	(0032,1033)	N	Y	X								C		
Respiratory Motion Compensation Technique Description	(0018,9185)	N	Y	X								C		
Responsible Organization	(0010,2299)	N	Y	X										
Responsible Person	(0010,2297)	N	Y	X										
Results Comments	(4008,4000)	Y	N	X								C		
Results Distribution List Sequence	(4008,0118)	Y	N	X										
Results ID	(4008,0040)	Y	N	X										
Results ID Issuer	(4008,0042)	Y	N	X										
Retrieve AE Title	(0008,0054)	N	Y	X			C							
Review Date	(300E,0004)	N	Y	Z						K	C			
Reviewer Name	(300E,0008)	N	Y	X/Z										
Review Time	(300E,0005)	N	Y	Z						K	C			
