omega,A33,B33,A39,B39,A93,B93,A99,B99,ModF3,PhaF3,ModF9,PhaF9
0.320000,2.077258E+03,3.510767E+02,-4.535455E+02,-5.986097E+01,-4.546598E+02,-6.010351E+01,9.033791E+03,1.022870E+01,2.593487E+02,1,4.440541E+01,-179
0.340000,2.067707E+03,3.860333E+02,-4.604038E+02,-7.581701E+01,-4.615603E+02,-7.609599E+01,9.038926E+03,1.491017E+01,2.559537E+02,1,5.045213E+01,-179
0.360000,2.055357E+03,4.207487E+02,-4.657294E+02,-9.341657E+01,-4.668960E+02,-9.374561E+01,9.044013E+03,2.083275E+01,2.523694E+02,1,5.623709E+01,-179
0.380000,2.040252E+03,4.549019E+02,-4.692222E+02,-1.124236E+02,-4.703830E+02,-1.128276E+02,9.048599E+03,2.790635E+01,2.485998E+02,1,6.166297E+01,-179
0.400000,2.022470E+03,4.881730E+02,-4.706329E+02,-1.325550E+02,-4.718328E+02,-1.330547E+02,9.052552E+03,3.608127E+01,2.446528E+02,2,6.667306E+01,-178
0.420000,2.002144E+03,5.202593E+02,-4.697812E+02,-1.535034E+02,-4.709629E+02,-1.540045E+02,9.055890E+03,4.542894E+01,2.405361E+02,2,7.120047E+01,-178
0.440000,1.979426E+03,5.508907E+02,-4.665142E+02,-1.749027E+02,-4.676459E+02,-1.754224E+02,9.057787E+03,5.573176E+01,2.362627E+02,2,7.523054E+01,-178
0.460000,1.954512E+03,5.798189E+02,-4.607835E+02,-1.963865E+02,-4.619061E+02,-1.969606E+02,9.058742E+03,6.673774E+01,2.318474E+02,3,7.876032E+01,-177
0.480000,1.927628E+03,6.068317E+02,-4.525589E+02,-2.175613E+02,-4.537107E+02,-2.182592E+02,9.057661E+03,7.817071E+01,2.273019E+02,3,8.174912E+01,-177
0.500000,1.899020E+03,6.317446E+02,-4.419235E+02,-2.380878E+02,-4.429979E+02,-2.388486E+02,9.055208E+03,9.002100E+01,2.226427E+02,4,8.418067E+01,-176
0.520000,1.868958E+03,6.544266E+02,-4.290116E+02,-2.576040E+02,-4.301270E+02,-2.584656E+02,9.051152E+03,1.016913E+02,2.178874E+02,4,8.605577E+01,-176
0.540000,1.837705E+03,6.747751E+02,-4.139820E+02,-2.757953E+02,-4.150448E+02,-2.766801E+02,9.045403E+03,1.130432E+02,2.130530E+02,5,8.735999E+01,-175
0.560000,1.805537E+03,6.927511E+02,-3.970667E+02,-2.923935E+02,-3.980775E+02,-2.933119E+02,9.037987E+03,1.238451E+02,2.081596E+02,5,8.812388E+01,-175
0.580000,1.772723E+03,7.083290E+02,-3.785499E+02,-3.071717E+02,-3.794673E+02,-3.080906E+02,9.029245E+03,1.335829E+02,2.032262E+02,6,8.838857E+01,-174
0.600000,1.739521E+03,7.215380E+02,-3.587195E+02,-3.199814E+02,-3.596796E+02,-3.209195E+02,9.019721E+03,1.421175E+02,1.982734E+02,7,8.818188E+01,-173
0.620000,1.706156E+03,7.324241E+02,-3.378205E+02,-3.306694E+02,-3.385913E+02,-3.316185E+02,9.008516E+03,1.496677E+02,1.933179E+02,8,8.752827E+01,-172
0.640000,1.672855E+03,7.410729E+02,-3.161793E+02,-3.391662E+02,-3.169113E+02,-3.401124E+02,8.996186E+03,1.557828E+02,1.883774E+02,9,8.645943E+01,-171
0.660000,1.639811E+03,7.475970E+02,-2.941495E+02,-3.454992E+02,-2.949110E+02,-3.464455E+02,8.984141E+03,1.600920E+02,1.834687E+02,10,8.502679E+01,-170
0.680000,1.607174E+03,7.520956E+02,-2.719439E+02,-3.496556E+02,-2.724708E+02,-3.506956E+02,8.971393E+03,1.630675E+02,1.786056E+02,11,8.327362E+01,-169
0.700000,1.575109E+03,7.547135E+02,-2.498876E+02,-3.517337E+02,-2.504453E+02,-3.527410E+02,8.959331E+03,1.642281E+02,1.738018E+02,12,8.123624E+01,-168
0.720000,1.543717E+03,7.555699E+02,-2.281377E+02,-3.517622E+02,-2.286872E+02,-3.528020E+02,8.946248E+03,1.641673E+02,1.690676E+02,13,7.894211E+01,-167
0.740000,1.513093E+03,7.548035E+02,-2.069606E+02,-3.499189E+02,-2.074561E+02,-3.509285E+02,8.933771E+03,1.627357E+02,1.644124E+02,14,7.643795E+01,-166
0.760000,1.483315E+03,7.525565E+02,-1.865660E+02,-3.463769E+02,-1.871155E+02,-3.473661E+02,8.923102E+03,1.597849E+02,1.598448E+02,16,7.378270E+01,-164
0.780000,1.454427E+03,7.489413E+02,-1.670366E+02,-3.411922E+02,-1.673710E+02,-3.421810E+02,8.911632E+03,1.558503E+02,1.553695E+02,17,7.098318E+01,-163
0.800000,1.426477E+03,7.440884E+02,-1.485467E+02,-3.346071E+02,-1.488173E+02,-3.355380E+02,8.901439E+03,1.508975E+02,1.509919E+02,18,6.809313E+01,-162
0.820000,1.399482E+03,7.381227E+02,-1.311991E+02,-3.268022E+02,-1.315301E+02,-3.277662E+02,8.893056E+03,1.449538E+02,1.467147E+02,20,6.514764E+01,-160
0.840000,1.373465E+03,7.311364E+02,-1.150116E+02,-3.178428E+02,-1.153594E+02,-3.187580E+02,8.883561E+03,1.385773E+02,1.425394E+02,22,6.214678E+01,-158
0.860000,1.348422E+03,7.232296E+02,-1.000893E+02,-3.080053E+02,-1.003027E+02,-3.089076E+02,8.875895E+03,1.315585E+02,1.384675E+02,23,5.914368E+01,-157
0.880000,1.324359E+03,7.145007E+02,-8.645198E+01,-2.974586E+02,-8.692078E+01,-2.983300E+02,8.870345E+03,1.241968E+02,1.344985E+02,25,5.615834E+01,-155
0.900000,1.301266E+03,7.050137E+02,-7.408820E+01,-2.862784E+02,-7.420272E+01,-2.871149E+02,8.864699E+03,1.165862E+02,1.306321E+02,27,5.320028E+01,-153
0.920000,1.279135E+03,6.948699E+02,-6.299171E+01,-2.746551E+02,-6.330508E+01,-2.754839E+02,8.859956E+03,1.088832E+02,1.268664E+02,28,5.029370E+01,-152
0.940000,1.257955E+03,6.841073E+02,-5.315544E+01,-2.627476E+02,-5.310611E+01,-2.635208E+02,8.856955E+03,1.012086E+02,1.232003E+02,30,4.745629E+01,-150
0.960000,1.237715E+03,6.728168E+02,-4.452746E+01,-2.506285E+02,-4.462779E+01,-2.513446E+02,8.853898E+03,9.363519E+01,1.196313E+02,32,4.469161E+01,-148
0.979999,1.218396E+03,6.610468E+02,-3.706844E+01,-2.384643E+02,-3.726233E+01,-2.391695E+02,8.852355E+03,8.627773E+01,1.161572E+02,34,4.202584E+01,-146
1.000000,1.199987E+03,6.488324E+02,-3.071966E+01,-2.263187E+02,-3.072728E+01,-2.269809E+02,8.850835E+03,7.917316E+01,1.127757E+02,36,3.945180E+01,-144
1.020000,1.182469E+03,6.362397E+02,-2.541900E+01,-2.142872E+02,-2.506709E+01,-2.149538E+02,8.849538E+03,7.239626E+01,1.094845E+02,38,3.698849E+01,-142
1.040000,1.165832E+03,6.233332E+02,-2.110784E+01,-2.025028E+02,-2.131908E+01,-2.030973E+02,8.850627E+03,6.598257E+01,1.062808E+02,40,3.462954E+01,-140
1.060000,1.150053E+03,6.101156E+02,-1.770227E+01,-1.909615E+02,-1.756068E+01,-1.915186E+02,8.850618E+03,5.994595E+01,1.031623E+02,42,3.238435E+01,-138
1.079999,1.135124E+03,5.966646E+02,-1.514846E+01,-1.797662E+02,-1.538529E+01,-1.803057E+02,8.851712E+03,5.432484E+01,1.001263E+02,45,3.025794E+01,-135
1.100000,1.121022E+03,5.829961E+02,-1.335301E+01,-1.689529E+02,-1.354378E+01,-1.694359E+02,8.853213E+03,4.910310E+01,9.717107E+01,47,2.824111E+01,-133
1.120000,1.107738E+03,5.691559E+02,-1.225864E+01,-1.585434E+02,-1.230038E+01,-1.590349E+02,8.854479E+03,4.429989E+01,9.429393E+01,49,2.634800E+01,-131
1.139999,1.095246E+03,5.551849E+02,-1.178474E+01,-1.485832E+02,-1.200706E+01,-1.490300E+02,8.856288E+03,3.988522E+01,9.149282E+01,51,2.455988E+01,-129
1.159999,1.083537E+03,5.411008E+02,-1.185518E+01,-1.390790E+02,-1.179198E+01,-1.395032E+02,8.857607E+03,3.585657E+01,8.876577E+01,54,2.288512E+01,-126
1.179999,1.072589E+03,5.269600E+02,-1.243692E+01,-1.300735E+02,-1.256334E+01,-1.304635E+02,8.860315E+03,3.220288E+01,8.611061E+01,56,2.131905E+01,-124
1.199999,1.062383E+03,5.127655E+02,-1.343005E+01,-1.215376E+02,-1.296159E+01,-1.218959E+02,8.862192E+03,2.889172E+01,8.352571E+01,59,1.985581E+01,-121
1.219999,1.052900E+03,4.985789E+02,-1.479410E+01,-1.134848E+02,-1.471482E+01,-1.138174E+02,8.864151E+03,2.590689E+01,8.100913E+01,61,1.849319E+01,-119
1.239999,1.044127E+03,4.844071E+02,-1.645895E+01,-1.059149E+02,-1.632901E+01,-1.062232E+02,8.866481E+03,2.322588E+01,7.855914E+01,64,1.722720E+01,-116
1.259999,1.036038E+03,4.702824E+02,-1.838478E+01,-9.879928E+01,-1.838011E+01,-9.910091E+01,8.867493E+03,2.081997E+01,7.617436E+01,66,1.605200E+01,-114
1.279999,1.028612E+03,4.562327E+02,-2.052145E+01,-9.214959E+01,-2.066201E+01,-9.242402E+01,8.869443E+03,1.866744E+01,7.385294E+01,69,1.496096E+01,-111
1.299999,1.021829E+03,4.422785E+02,-2.282211E+01,-8.594769E+01,-2.332376E+01,-8.620965E+01,8.871850E+03,1.675284E+01,7.159356E+01,72,1.395490E+01,-108
1.319999,1.015660E+03,4.284390E+02,-2.527077E+01,-8.015974E+01,-2.517142E+01,-8.039668E+01,8.873764E+03,1.504199E+01,6.939462E+01,75,1.302188E+01,-105
1.339999,1.010098E+03,4.147384E+02,-2.779860E+01,-7.477573E+01,-2.766278E+01,-7.499632E+01,8.875444E+03,1.352159E+01,6.725480E+01,77,1.216186E+01,-103
1.359999,1.005115E+03,4.011976E+02,-3.039603E+01,-6.976581E+01,-3.042963E+01,-6.997868E+01,8.876632E+03,1.216874E+01,6.517278E+01,80,1.136745E+01,-100
1.379999,1.000679E+03,3.878400E+02,-3.304702E+01,-6.513900E+01,-3.384681E+01,-6.531758E+01,8.880505E+03,1.097046E+01,6.314719E+01,83,1.063516E+01,-97
1.399999,9.967690E+02,3.746628E+02,-3.569869E+01,-6.080957E+01,-3.590142E+01,-6.099827E+01,8.879177E+03,9.900521E+00,6.117717E+01,86,9.959989E+00,-94
1.419999,9.933862E+02,3.617080E+02,-3.836475E+01,-5.682384E+01,-3.885371E+01,-5.699344E+01,8.881503E+03,8.953773E+00,5.926029E+01,89,9.337563E+00,-91
1.439999,9.905298E+02,3.489461E+02,-4.102709E+01,-5.312379E+01,-4.104034E+01,-5.327617E+01,8.883590E+03,8.110553E+00,5.739635E+01,92,8.762819E+00,-88
1.459999,9.880828E+02,3.364240E+02,-4.364322E+01,-4.969910E+01,-4.421423E+01,-4.983554E+01,8.885304E+03,7.361484E+00,5.558396E+01,95,8.232957E+00,-85
1.479999,9.861167E+02,3.241608E+02,-4.620782E+01,-4.652022E+01,-4.651491E+01,-4.664784E+01,8.885813E+03,6.693910E+00,5.382150E+01,98,7.744454E+00,-82
1.499999,9.845394E+02,3.121945E+02,-4.872766E+01,-4.357497E+01,-4.896056E+01,-4.369418E+01,8.886630E+03,6.099282E+00,5.210851E+01,102,7.293787E+00,-78
1.519999,9.833445E+02,3.004102E+02,-5.121864E+01,-4.085241E+01,-5.211718E+01,-4.095803E+01,8.888620E+03,5.569557E+00,5.044341E+01,105,6.877108E+00,-75
1.539999,9.825612E+02,2.889587E+02,-5.362406E+01,-3.831913E+01,-5.403308E+01,-3.842179E+01,8.888754E+03,5.095350E+00,4.882557E+01,108,6.492511E+00,-72
1.559999,9.822205E+02,2.777519E+02,-5.597203E+01,-3.597637E+01,-5.654963E+01,-3.607150E+01,8.890475E+03,4.672399E+00,4.725347E+01,111,6.136970E+00,-69
1.579999,9.820575E+02,2.667960E+02,-5.828637E+01,-3.380231E+01,-5.791362E+01,-3.387816E+01,8.893493E+03,4.291993E+00,4.572669E+01,115,5.806141E+00,-65
1.599999,9.822982E+02,2.561614E+02,-6.046997E+01,-3.176281E+01,-6.031528E+01,-3.183664E+01,8.891328E+03,3.947584E+00,4.424290E+01,118,5.498652E+00,-62
1.619999,9.828558E+02,2.458174E+02,-6.264731E+01,-2.988839E+01,-6.249132E+01,-2.994780E+01,8.895513E+03,3.641420E+00,4.280198E+01,122,5.214728E+00,-58
1.639999,9.836344E+02,2.357320E+02,-6.473301E+01,-2.812551E+01,-6.527840E+01,-2.819025E+01,8.896166E+03,3.363440E+00,4.140306E+01,125,4.951206E+00,-55
1.659999,9.846904E+02,2.259946E+02,-6.674961E+01,-2.647515E+01,-6.670803E+01,-2.653788E+01,8.894448E+03,3.109421E+00,4.004452E+01,129,4.703066E+00,-51
1.679999,9.859893E+02,2.164672E+02,-6.870701E+01,-2.495039E+01,-6.910713E+01,-2.500410E+01,8.896771E+03,2.882125E+00,3.872664E+01,132,4.473347E+00,-48
1.699999,9.874535E+02,2.072456E+02,-7.060739E+01,-2.351315E+01,-7.021179E+01,-2.356470E+01,8.896711E+03,2.673203E+00,3.744696E+01,136,4.257227E+00,-44
1.719999,9.893015E+02,1.983642E+02,-7.243437E+01,-2.217297E+01,-7.363577E+01,-2.221733E+01,8.897811E+03,2.483612E+00,3.620493E+01,140,4.055416E+00,-40
1.739999,9.912385E+02,1.897330E+02,-7.423012E+01,-2.091860E+01,-7.512641E+01,-2.095389E+01,8.901209E+03,2.310201E+00,3.500075E+01,144,3.865328E+00,-36
1.759999,9.933002E+02,1.813967E+02,-7.590875E+01,-1.973358E+01,-7.606576E+01,-1.976680E+01,8.898475E+03,2.150367E+00,3.383194E+01,148,3.686723E+00,-32
1.779999,9.956104E+02,1.733478E+02,-7.756390E+01,-1.862503E+01,-7.829004E+01,-1.865621E+01,8.900016E+03,2.004498E+00,3.269872E+01,151,3.519151E+00,-29
1.799999,9.979936E+02,1.655648E+02,-7.915582E+01,-1.758353E+01,-7.978397E+01,-1.760894E+01,8.899690E+03,1.870089E+00,3.159994E+01,155,3.360827E+00,-25
1.819999,1.000552E+03,1.580647E+02,-8.071539E+01,-1.661300E+01,-8.162813E+01,-1.662768E+01,8.902755E+03,1.747615E+00,3.053492E+01,159,3.212146E+00,-21
1.839999,1.003229E+03,1.508359E+02,-8.219767E+01,-1.568324E+01,-8.279242E+01,-1.570104E+01,8.899983E+03,1.632567E+00,2.950250E+01,163,3.071062E+00,-17
1.859999,1.006015E+03,1.438710E+02,-8.367410E+01,-1.482018E+01,-8.451109E+01,-1.482927E+01,8.903297E+03,1.527569E+00,2.850174E+01,168,2.937741E+00,-12
1.879999,1.008866E+03,1.371651E+02,-8.509779E+01,-1.400556E+01,-8.541113E+01,-1.400870E+01,8.905694E+03,1.430407E+00,2.753185E+01,172,2.811845E+00,-8
1.899999,1.011815E+03,1.307154E+02,-8.644659E+01,-1.323077E+01,-8.681993E+01,-1.323345E+01,8.904715E+03,1.339454E+00,2.659268E+01,176,2.692101E+00,-4
1.919998,1.014852E+03,1.245231E+02,-8.778866E+01,-1.250305E+01,-8.955556E+01,-1.250086E+01,8.906269E+03,1.255184E+00,2.568202E+01,-180,2.578182E+00,0
1.939998,1.017929E+03,1.185620E+02,-8.906413E+01,-1.181271E+01,-8.920074E+01,-1.181191E+01,8.905914E+03,1.176771E+00,2.480125E+01,-176,2.470568E+00,4
1.959999,1.021101E+03,1.128522E+02,-9.029136E+01,-1.115597E+01,-9.143753E+01,-1.115725E+01,8.903772E+03,1.102939E+00,2.394757E+01,-171,2.367527E+00,9
1.979999,1.024271E+03,1.073698E+02,-9.151192E+01,-1.054276E+01,-9.200445E+01,-1.054125E+01,8.904530E+03,1.035057E+00,2.312119E+01,-167,2.269924E+00,13
1.999999,1.027503E+03,1.021116E+02,-9.270838E+01,-9.961796E+00,-9.330963E+01,-9.958313E+00,8.906223E+03,9.715031E-01,2.232124E+01,-162,2.176790E+00,18
2.019999,1.030745E+03,9.707664E+01,-9.383847E+01,-9.410178E+00,-9.333465E+01,-9.405691E+00,8.904150E+03,9.117416E-01,2.154706E+01,-158,2.087672E+00,22
2.039999,1.034029E+03,9.225555E+01,-9.496466E+01,-8.892164E+00,-9.500598E+01,-8.883908E+00,8.907647E+03,8.562666E-01,2.079799E+01,-153,2.002665E+00,27
2.059999,1.037297E+03,8.764264E+01,-9.601992E+01,-8.402965E+00,-9.575706E+01,-8.391067E+00,8.906874E+03,8.044922E-01,2.007307E+01,-149,1.921756E+00,31
2.079999,1.040604E+03,8.323263E+01,-9.707575E+01,-7.934260E+00,-9.810472E+01,-7.924048E+00,8.906102E+03,7.553617E-01,1.937180E+01,-144,1.844244E+00,36
2.099999,1.043891E+03,7.901504E+01,-9.809512E+01,-7.496857E+00,-9.882595E+01,-7.481463E+00,8.908335E+03,7.098340E-01,1.869348E+01,-139,1.769979E+00,41
2.119999,1.047184E+03,7.498354E+01,-9.910667E+01,-7.080551E+00,-9.931598E+01,-7.062868E+00,8.909086E+03,6.669253E-01,1.803748E+01,-135,1.698964E+00,45
2.139998,1.050474E+03,7.113597E+01,-1.000271E+02,-6.686900E+00,-1.017601E+02,-6.668185E+00,8.907942E+03,6.268125E-01,1.740319E+01,-130,1.631309E+00,50
2.159999,1.053725E+03,6.746296E+01,-1.009863E+02,-6.316477E+00,-1.012344E+02,-6.293595E+00,8.910812E+03,5.892735E-01,1.678985E+01,-125,1.566310E+00,55
2.179999,1.056951E+03,6.395959E+01,-1.018811E+02,-5.964375E+00,-1.008068E+02,-5.940385E+00,8.909110E+03,5.539570E-01,1.619704E+01,-120,1.504280E+00,60
2.199999,1.060202E+03,6.062196E+01,-1.027467E+02,-5.631084E+00,-1.052254E+02,-5.604835E+00,8.911147E+03,5.206122E-01,1.562392E+01,-115,1.444455E+00,65
2.219998,1.063391E+03,5.743621E+01,-1.036375E+02,-5.318304E+00,-1.037217E+02,-5.289563E+00,8.912104E+03,4.897956E-01,1.507010E+01,-110,1.387849E+00,70
2.239999,1.066572E+03,5.440573E+01,-1.044601E+02,-5.021161E+00,-1.061533E+02,-4.991804E+00,8.912570E+03,4.606977E-01,1.453493E+01,-105,1.333573E+00,75
2.259999,1.069685E+03,5.151812E+01,-1.052180E+02,-4.736586E+00,-1.059950E+02,-4.708552E+00,8.907630E+03,4.328904E-01,1.401789E+01,-100,1.281095E+00,80
2.279998,1.072758E+03,4.876985E+01,-1.060475E+02,-4.470434E+00,-1.049552E+02,-4.442045E+00,8.909232E+03,4.071734E-01,1.351836E+01,-95,1.231248E+00,85
2.299998,1.075839E+03,4.615727E+01,-1.068561E+02,-4.221404E+00,-1.072477E+02,-4.189858E+00,8.911683E+03,3.831865E-01,1.303582E+01,-90,1.183316E+00,90
2.319999,1.078870E+03,4.367244E+01,-1.076383E+02,-3.985048E+00,-1.091229E+02,-3.950927E+00,8.914322E+03,3.605109E-01,1.256981E+01,-84,1.137096E+00,96
2.339998,1.081841E+03,4.130950E+01,-1.083359E+02,-3.754718E+00,-1.085011E+02,-3.726003E+00,8.910305E+03,3.386569E-01,1.211981E+01,-79,1.093127E+00,101
2.359998,1.084755E+03,3.906604E+01,-1.090388E+02,-3.546023E+00,-1.083154E+02,-3.514176E+00,8.911344E+03,3.189895E-01,1.168527E+01,-74,1.051147E+00,106
2.379998,1.087661E+03,3.693401E+01,-1.097671E+02,-3.344823E+00,-1.098624E+02,-3.313662E+00,8.911655E+03,3.000947E-01,1.126571E+01,-68,1.010729E+00,112
2.399998,1.090507E+03,3.491129E+01,-1.104695E+02,-3.156783E+00,-1.111450E+02,-3.124104E+00,8.914812E+03,2.824845E-01,1.086076E+01,-63,9.718621E-01,117
2.419999,1.093322E+03,3.299078E+01,-1.111264E+02,-2.980977E+00,-1.120585E+02,-2.944195E+00,8.916020E+03,2.660402E-01,1.046981E+01,-57,9.343824E-01,123
2.439998,1.096060E+03,3.117017E+01,-1.117524E+02,-2.808058E+00,-1.125765E+02,-2.774628E+00,8.913862E+03,2.499527E-01,1.009251E+01,-52,8.983542E-01,128
2.459998,1.098800E+03,2.944151E+01,-1.123349E+02,-2.649508E+00,-1.152453E+02,-2.614937E+00,8.910733E+03,2.353235E-01,9.728430E+00,-46,8.640333E-01,134
2.479998,1.101418E+03,2.780311E+01,-1.129935E+02,-2.498065E+00,-1.135900E+02,-2.464088E+00,8.912452E+03,2.213907E-01,9.377056E+00,-40,8.310043E-01,140
2.499998,1.104036E+03,2.624994E+01,-1.136055E+02,-2.355972E+00,-1.148254E+02,-2.321340E+00,8.913167E+03,2.083436E-01,9.038006E+00,-35,7.992374E-01,145
2.519998,1.106613E+03,2.477980E+01,-1.141495E+02,-2.225217E+00,-1.165757E+02,-2.186542E+00,8.912928E+03,1.963558E-01,8.710915E+00,-29,7.686484E-01,151
2.539998,1.109091E+03,2.338674E+01,-1.147557E+02,-2.096491E+00,-1.147225E+02,-2.061197E+00,8.914045E+03,1.847706E-01,8.395424E+00,-23,7.399116E-01,157
2.559998,1.111557E+03,2.206856E+01,-1.153438E+02,-1.977279E+00,-1.165372E+02,-1.941633E+00,8.917273E+03,1.739708E-01,8.091084E+00,-17,7.118865E-01,163
2.579998,1.113948E+03,2.082109E+01,-1.158411E+02,-1.865861E+00,-1.162033E+02,-1.828611E+00,8.915083E+03,1.638735E-01,7.797616E+00,-11,6.848121E-01,169
2.599999,1.116322E+03,1.963897E+01,-1.163469E+02,-1.760261E+00,-1.169613E+02,-1.721578E+00,8.913092E+03,1.543179E-01,7.514538E+00,-5,6.587667E-01,175
2.619998,1.118632E+03,1.852289E+01,-1.169089E+02,-1.658625E+00,-1.180415E+02,-1.622712E+00,8.915275E+03,1.453015E-01,7.241634E+00,1,6.343882E-01,-179
2.639998,1.120886E+03,1.746677E+01,-1.173485E+02,-1.561812E+00,-1.167386E+02,-1.528012E+00,8.911127E+03,1.366315E-01,6.978437E+00,7,6.104876E-01,-173
2.659999,1.123127E+03,1.646742E+01,-1.179154E+02,-1.477530E+00,-1.188284E+02,-1.438769E+00,8.916008E+03,1.290845E-01,6.724702E+00,13,5.874673E-01,-167
2.679998,1.125297E+03,1.552360E+01,-1.183656E+02,-1.391879E+00,-1.194893E+02,-1.355133E+00,8.914028E+03,1.215010E-01,6.480214E+00,19,5.656349E-01,-161
2.699998,1.127431E+03,1.463144E+01,-1.187804E+02,-1.311483E+00,-1.202844E+02,-1.275887E+00,8.909218E+03,1.143720E-01,6.244357E+00,25,5.445411E-01,-155
2.719998,1.129502E+03,1.378999E+01,-1.193521E+02,-1.239417E+00,-1.209780E+02,-1.201370E+00,8.919926E+03,1.079837E-01,6.017099E+00,32,5.242246E-01,-148
2.739998,1.131543E+03,1.299273E+01,-1.198414E+02,-1.169758E+00,-1.207295E+02,-1.131765E+00,8.921663E+03,1.018841E-01,5.798106E+00,38,5.049779E-01,-142
2.759998,1.133530E+03,1.224239E+01,-1.202372E+02,-1.103671E+00,-1.218241E+02,-1.065467E+00,8.919410E+03,9.607246E-02,5.587292E+00,44,4.863088E-01,-136
2.779998,1.135478E+03,1.153200E+01,-1.206793E+02,-1.039971E+00,-1.208426E+02,-1.003315E+00,8.918736E+03,9.048077E-02,5.382946E+00,51,4.683483E-01,-129
2.799998,1.137379E+03,1.086293E+01,-1.210810E+02,-9.816148E-01,-1.218867E+02,-9.446031E-01,8.917165E+03,8.535382E-02,5.187295E+00,57,4.510404E-01,-123
2.819999,1.139209E+03,1.023188E+01,-1.215122E+02,-9.259074E-01,-1.206510E+02,-8.897636E-01,8.919515E+03,8.051749E-02,4.998555E+00,64,4.346662E-01,-116
2.839998,1.141056E+03,9.637215E+00,-1.219263E+02,-8.770305E-01,-1.231050E+02,-8.380976E-01,8.920116E+03,7.626322E-02,4.816638E+00,70,4.188455E-01,-110
2.859999,1.142822E+03,9.075616E+00,-1.221983E+02,-8.253409E-01,-1.220844E+02,-7.890271E-01,8.915719E+03,7.176133E-02,4.641395E+00,77,4.035608E-01,-103
2.879998,1.144557E+03,8.545709E+00,-1.227421E+02,-7.790065E-01,-1.225019E+02,-7.433339E-01,8.923184E+03,6.776076E-02,4.472582E+00,83,3.890291E-01,-97
2.899998,1.146298E+03,8.046519E+00,-1.230511E+02,-7.366890E-01,-1.253675E+02,-7.002043E-01,8.918695E+03,6.410892E-02,4.309949E+00,90,3.750561E-01,-90
2.919998,1.147927E+03,7.575914E+00,-1.234385E+02,-6.953873E-01,-1.236943E+02,-6.595398E-01,8.917660E+03,6.053826E-02,4.153349E+00,97,3.615682E-01,-83
2.939998,1.149569E+03,7.131902E+00,-1.238165E+02,-6.563295E-01,-1.245645E+02,-6.210374E-01,8.917928E+03,5.715276E-02,4.002578E+00,104,3.485425E-01,-76
2.959998,1.151169E+03,6.715020E+00,-1.241964E+02,-6.206155E-01,-1.263036E+02,-5.851811E-01,8.921585E+03,5.408570E-02,3.857407E+00,111,3.361644E-01,-69
