variables="x","y","mut"
zone, t="CFL3D"
 9.701266289E-01 3.765134607E-04 2.734329987E+01
 9.701266289E-01 3.881848534E-04 2.820526505E+01
 9.701266289E-01 4.002173664E-04 2.908956909E+01
 9.701266289E-01 4.126222047E-04 2.999686050E+01
 9.701266289E-01 4.254109226E-04 3.092778587E+01
 9.701266289E-01 4.385953944E-04 3.188299561E+01
 9.701266289E-01 4.521879018E-04 3.286314011E+01
 9.701266289E-01 4.662010761E-04 3.386887360E+01
 9.701266289E-01 4.806479556E-04 3.490084457E+01
 9.701266289E-01 4.955420154E-04 3.595970154E+01
 9.701266289E-01 5.108970799E-04 3.704609680E+01
 9.701266289E-01 5.267274100E-04 3.816066360E+01
 9.701266289E-01 5.430477904E-04 3.930405045E+01
 9.701266289E-01 5.598733551E-04 4.047688293E+01
 9.701266289E-01 5.772197619E-04 4.167978668E+01
 9.701266289E-01 5.951031926E-04 4.291337967E+01
 9.701266289E-01 6.135402364E-04 4.417827225E+01
 9.701266289E-01 6.325480645E-04 4.547505188E+01
 9.701266289E-01 6.521443138E-04 4.680430984E+01
 9.701266289E-01 6.723473198E-04 4.816661453E+01
 9.701266289E-01 6.931758253E-04 4.956251526E+01
 9.701266289E-01 7.146491553E-04 5.099254608E+01
 9.701266289E-01 7.367873332E-04 5.245722198E+01
 9.701266289E-01 7.596109645E-04 5.395703506E+01
 9.701266289E-01 7.831412950E-04 5.549245834E+01
 9.701266289E-01 8.074001526E-04 5.706393433E+01
 9.701266289E-01 8.324101800E-04 5.867187500E+01
 9.701266289E-01 8.581946022E-04 6.031666946E+01
 9.701266289E-01 8.847774006E-04 6.199867249E+01
 9.701266289E-01 9.121833136E-04 6.371820068E+01
 9.701266289E-01 9.404378361E-04 6.547554016E+01
 9.701266289E-01 9.695672779E-04 6.727093506E+01
 9.701266289E-01 9.995986475E-04 6.910458374E+01
 9.701266289E-01 1.030560001E-03 7.097665405E+01
 9.701266289E-01 1.062480151E-03 7.288723755E+01
 9.701266289E-01 1.095388667E-03 7.483643341E+01
 9.701266289E-01 1.129316282E-03 7.682423401E+01
 9.701266289E-01 1.164294430E-03 7.885059357E+01
 9.701266289E-01 1.200355822E-03 8.091543579E+01
 9.701266289E-01 1.237533870E-03 8.301860046E+01
 9.701266289E-01 1.275863266E-03 8.515987396E+01
 9.701266289E-01 1.315379515E-03 8.733898163E+01
 9.701266289E-01 1.356119523E-03 8.955557251E+01
 9.701266289E-01 1.398121123E-03 9.180924225E+01
 9.701266289E-01 1.441423432E-03 9.409951019E+01
 9.701266289E-01 1.486066729E-03 9.642581177E+01
 9.701266289E-01 1.532092574E-03 9.878749847E+01
 9.701266289E-01 1.579543576E-03 1.011838837E+02
 9.701266289E-01 1.628464204E-03 1.036141510E+02
 9.701266289E-01 1.678899745E-03 1.060774002E+02
 9.701266289E-01 1.730897231E-03 1.085726700E+02
 9.701266289E-01 1.784504857E-03 1.110988770E+02
 9.701266289E-01 1.839772798E-03 1.136548462E+02
 9.701266289E-01 1.896752161E-03 1.162392960E+02
 9.701266289E-01 1.955496147E-03 1.188508377E+02
 9.701266289E-01 2.016059356E-03 1.214879684E+02
 9.701266289E-01 2.078498015E-03 1.241490784E+02
 9.701266289E-01 2.142870566E-03 1.268324051E+02
 9.701266289E-01 2.209236380E-03 1.295360870E+02
 9.701266289E-01 2.277657622E-03 1.322580872E+02
 9.701266289E-01 2.348197857E-03 1.349962769E+02
 9.701266289E-01 2.420922508E-03 1.377483215E+02
 9.701266289E-01 2.495899564E-03 1.405117798E+02
 9.701266289E-01 2.573198406E-03 1.432839966E+02
 9.701266289E-01 2.652890980E-03 1.460621796E+02
 9.701266289E-01 2.735051792E-03 1.488433380E+02
 9.701266289E-01 2.819756977E-03 1.516242828E+02
 9.701266289E-01 2.907085465E-03 1.544016571E+02
 9.701266289E-01 2.997118514E-03 1.571718445E+02
 9.701266289E-01 3.089939710E-03 1.599310303E+02
 9.701266289E-01 3.185635433E-03 1.626752014E+02
 9.701266289E-01 3.284294857E-03 1.654000397E+02
 9.701266289E-01 3.386009717E-03 1.681009979E+02
 9.701266289E-01 3.490874544E-03 1.707733002E+02
 9.701266289E-01 3.598987125E-03 1.734118652E+02
 9.701266289E-01 3.710447578E-03 1.760113068E+02
 9.701266289E-01 3.825360211E-03 1.785659332E+02
 9.701266289E-01 3.943831660E-03 1.810697632E+02
 9.701266289E-01 4.065971822E-03 1.835164795E+02
 9.701266289E-01 4.191894550E-03 1.858994141E+02
 9.701266289E-01 4.321717191E-03 1.882115021E+02
 9.701266289E-01 4.455560353E-03 1.904453583E+02
 9.701266289E-01 4.593548831E-03 1.925931854E+02
 9.701266289E-01 4.735810217E-03 1.946467743E+02
 9.701266289E-01 4.882477690E-03 1.965974884E+02
 9.701266289E-01 5.033687688E-03 1.984362335E+02
 9.701266289E-01 5.189579912E-03 2.001534729E+02
 9.701266289E-01 5.350300577E-03 2.017392120E+02
 9.701266289E-01 5.515998229E-03 2.031829376E+02
 9.701266289E-01 5.686827935E-03 2.044736023E+02
 9.701266289E-01 5.862948019E-03 2.055996704E+02
 9.701266289E-01 6.044522393E-03 2.065489960E+02
 9.701266289E-01 6.231720094E-03 2.073089142E+02
 9.701266289E-01 6.424714811E-03 2.078661499E+02
 9.701266289E-01 6.623687223E-03 2.082068329E+02
 9.701266289E-01 6.828821264E-03 2.083164520E+02
 9.701266289E-01 7.040308323E-03 2.081798706E+02
 9.701266289E-01 7.258344907E-03 2.077812958E+02
 9.701266289E-01 7.483134046E-03 2.071042786E+02
 9.701266289E-01 7.714885287E-03 2.061316986E+02
 9.701266289E-01 7.953813300E-03 2.048457489E+02
 9.701266289E-01 8.200140670E-03 2.032279663E+02
 9.701266289E-01 8.454097435E-03 2.012592316E+02
 9.701266289E-01 8.715918288E-03 1.989197388E+02
 9.701266289E-01 8.985848166E-03 1.961890869E+02
 9.701266289E-01 9.264137596E-03 1.930463104E+02
 9.701266289E-01 9.551045485E-03 1.894698486E+02
 9.701266289E-01 9.846839122E-03 1.854377594E+02
 9.701266289E-01 1.015179232E-02 1.809277039E+02
 9.701266289E-01 1.046619099E-02 1.759170837E+02
 9.701266289E-01 1.079032570E-02 1.703832855E+02
 9.701266289E-01 1.112449914E-02 1.643038330E+02
 9.701266289E-01 1.146902237E-02 1.576566162E+02
 9.701266289E-01 1.182421483E-02 1.504203491E+02
 9.701266289E-01 1.219040714E-02 1.425749359E+02
 9.701266289E-01 1.256794017E-02 1.341020813E+02
 9.701266289E-01 1.295716595E-02 1.249860077E+02
 9.701266289E-01 1.335844584E-02 1.152145157E+02
 9.701266289E-01 1.377215330E-02 1.047803040E+02
 9.701266289E-01 1.419867296E-02 9.368291473E+01
 9.701266289E-01 1.463840157E-02 8.193164825E+01
 9.701266289E-01 1.509174798E-02 6.955043793E+01
 9.701266289E-01 1.555913500E-02 5.658665848E+01
 9.701266289E-01 1.604099758E-02 4.313014603E+01
 9.701266289E-01 1.653778180E-02 2.936036110E+01
 9.701266289E-01 1.704995334E-02 1.571361065E+01
 9.701266289E-01 1.757798530E-02 4.168752670E+00
 9.701266289E-01 1.812236942E-02 5.163979530E-01
 9.701266289E-01 1.868361421E-02 2.279751897E-01
 9.701266289E-01 1.926223934E-02 2.027437240E-01
 9.701266289E-01 1.985878497E-02 2.006401122E-01
 9.701266289E-01 2.047380619E-02 2.009635717E-01
 9.701266289E-01 2.110787295E-02 2.015091181E-01
 9.701266289E-01 2.176157758E-02 2.020456791E-01
 9.701266289E-01 2.243552729E-02 2.025518417E-01
 9.701266289E-01 2.313034981E-02 2.030273378E-01
 9.701266289E-01 2.384668961E-02 2.034738660E-01
 9.701266289E-01 2.458521351E-02 2.038932145E-01
 9.701266289E-01 2.534661070E-02 2.042870373E-01
 9.701266289E-01 2.613158710E-02 2.046569288E-01
 9.701266289E-01 2.694087476E-02 2.050043344E-01
 9.701266289E-01 2.777522430E-02 2.053306550E-01
 9.701266289E-01 2.863541432E-02 2.056371868E-01
 9.701266289E-01 2.952224575E-02 2.059251368E-01
 9.701266289E-01 3.043654002E-02 2.061956674E-01
 9.701266289E-01 3.137915209E-02 2.064498365E-01
 9.701266289E-01 3.235095367E-02 2.066886425E-01
 9.701266289E-01 3.335285187E-02 2.069130242E-01
 9.701266289E-01 3.438577801E-02 2.071239054E-01
 9.701266289E-01 3.545069695E-02 2.073220611E-01
 9.701266289E-01 3.654859215E-02 2.075082958E-01
 9.701266289E-01 3.768049181E-02 2.076833248E-01
 9.701266289E-01 3.884744644E-02 2.078478634E-01
 9.701266289E-01 4.005054012E-02 2.080025226E-01
 9.701266289E-01 4.129089043E-02 2.081479132E-01
 9.701266289E-01 4.256965965E-02 2.082846016E-01
 9.701266289E-01 4.388802871E-02 2.084131092E-01
 9.701266289E-01 4.524722695E-02 2.085339427E-01
 9.701266289E-01 4.664851725E-02 2.086475790E-01
 9.701266289E-01 4.809320718E-02 2.087544650E-01
 9.701266289E-01 4.958264157E-02 2.088550031E-01
 9.701266289E-01 5.111819878E-02 2.089495510E-01
 9.701266289E-01 5.270131305E-02 2.090384811E-01
 9.701266289E-01 5.433345586E-02 2.091221362E-01
 9.701266289E-01 5.601614714E-02 2.092008293E-01
 9.701266289E-01 5.775095150E-02 2.092748582E-01
 9.701266289E-01 5.953947827E-02 2.093445063E-01
 9.701266289E-01 6.138340011E-02 2.094100416E-01
 9.701266289E-01 6.328442693E-02 2.094717026E-01
 9.701266289E-01 6.524432451E-02 2.095297426E-01
 9.701266289E-01 6.726492196E-02 2.095843554E-01
 9.701266289E-01 6.934808940E-02 2.096357644E-01
 9.701266289E-01 7.149577886E-02 2.096841633E-01
 9.701266289E-01 7.370998710E-02 2.097297162E-01
 9.701266289E-01 7.599275559E-02 2.097726017E-01
 9.701266289E-01 7.834623009E-02 2.098129690E-01
 9.701266289E-01 8.077258617E-02 2.098509967E-01
 9.701266289E-01 8.327408880E-02 2.098867893E-01
 9.701266289E-01 8.585306257E-02 2.099205106E-01
 9.701266289E-01 8.851190656E-02 2.099522650E-01
 9.701266289E-01 9.125309438E-02 2.099821717E-01
 9.701266289E-01 9.407917410E-02 2.100103498E-01
 9.701266289E-01 9.699277580E-02 2.100368738E-01
 9.701266289E-01 9.999661148E-02 2.100618780E-01
 9.701266289E-01 1.030934751E-01 2.100854367E-01
 9.701266289E-01 1.062862501E-01 2.101076394E-01
 9.701266289E-01 1.095779017E-01 2.101285458E-01
 9.701266289E-01 1.129714921E-01 2.101482749E-01
 9.701266289E-01 1.164701879E-01 2.101668417E-01
 9.701266289E-01 1.200772300E-01 2.101843506E-01
 9.701266289E-01 1.237959862E-01 2.102008611E-01
 9.701266289E-01 1.276299059E-01 2.102164179E-01
 9.701266289E-01 1.315825731E-01 2.102310956E-01
 9.701266289E-01 1.356576383E-01 2.102449238E-01
 9.701266289E-01 1.398589164E-01 2.102579772E-01
 9.701266289E-01 1.441902965E-01 2.102702707E-01
 9.701266289E-01 1.486558318E-01 2.102818638E-01
 9.701266289E-01 1.532596499E-01 2.102928162E-01
 9.701266289E-01 1.580060571E-01 2.103031427E-01
 9.701266289E-01 1.628994495E-01 2.103128731E-01
 9.701266289E-01 1.679444015E-01 2.103220522E-01
 9.701266289E-01 1.731455922E-01 2.103307247E-01
 9.701266289E-01 1.785078496E-01 2.103388906E-01
 9.701266289E-01 1.840361804E-01 2.103466094E-01
 9.701266289E-01 1.897357255E-01 2.103538960E-01
 9.701266289E-01 1.956117898E-01 2.103607655E-01
 9.701266289E-01 2.016698271E-01 2.103672475E-01
 9.701266289E-01 2.079154700E-01 2.103733569E-01
 9.701266289E-01 2.143545449E-01 2.103791386E-01
 9.701266289E-01 2.209930420E-01 2.103845924E-01
 9.701266289E-01 2.278371304E-01 2.103897482E-01
 9.701266289E-01 2.348931730E-01 2.103946060E-01
 9.701266289E-01 2.421677411E-01 2.103991807E-01
 9.701266289E-01 2.496675998E-01 2.104035467E-01
 9.701266289E-01 2.573997378E-01 2.104076594E-01
 9.701266289E-01 2.653713226E-01 2.104115486E-01
 9.701266289E-01 2.735897899E-01 2.104152143E-01
 9.701266289E-01 2.820627689E-01 2.104186714E-01
 9.701266289E-01 2.907981873E-01 2.104219347E-01
 9.701266289E-01 2.998040915E-01 2.104250044E-01
 9.701266289E-01 3.090889454E-01 2.104279250E-01
 9.701266289E-01 3.186613321E-01 2.104306668E-01
 9.701266289E-01 3.285301626E-01 2.104332596E-01
 9.701266289E-01 3.387046456E-01 2.104357183E-01
 9.701266289E-01 3.491942286E-01 2.104380280E-01
 9.701266289E-01 3.600086570E-01 2.104402184E-01
 9.701266289E-01 3.711580336E-01 2.104422897E-01
 9.701266289E-01 3.826526701E-01 2.104442418E-01
 9.701266289E-01 3.945032954E-01 2.104460895E-01
 9.701266289E-01 4.067209363E-01 2.104478478E-01
 9.701266289E-01 4.193169773E-01 2.104495019E-01
 9.701266289E-01 4.323030710E-01 2.104510814E-01
 9.701266289E-01 4.456913769E-01 2.104525566E-01
 9.701266289E-01 4.594942927E-01 2.104539722E-01
 9.701266289E-01 4.737246931E-01 2.104553133E-01
 9.701266289E-01 4.883958101E-01 2.104565799E-01
 9.701266289E-01 5.035212636E-01 2.104577720E-01
 9.701266289E-01 5.191151500E-01 2.104589194E-01
 9.701266289E-01 5.351920128E-01 2.104600072E-01
 9.701266289E-01 5.517667532E-01 2.104610354E-01
 9.701266289E-01 5.688547492E-01 2.104620039E-01
 9.701266289E-01 5.864720345E-01 2.104629278E-01
 9.701266289E-01 6.046348810E-01 2.104638070E-01
 9.701266289E-01 6.233602166E-01 2.104646415E-01
 9.701266289E-01 6.426655054E-01 2.104654461E-01
 9.701266289E-01 6.625686884E-01 2.104662210E-01
 9.701266289E-01 6.830881834E-01 2.104669511E-01
 9.701266289E-01 7.042432427E-01 2.104676664E-01
 9.701266289E-01 7.260534167E-01 2.104683518E-01
 9.701266289E-01 7.485390902E-01 2.104689926E-01
 9.701266289E-01 7.717211246E-01 2.104697376E-01
 9.701266289E-01 7.956210375E-01 2.104702741E-01
 9.701266289E-01 8.202611804E-01 2.104715109E-01
 9.701266289E-01 8.456644416E-01 2.104715407E-01
 9.701266289E-01 8.718544245E-01 2.104787380E-01
 9.701266289E-01 8.988554478E-01 2.104789764E-01
 9.701266289E-01 9.266927242E-01 2.104970217E-01
 9.701266289E-01 9.553921223E-01 2.104932666E-01
 9.701266289E-01 9.849802852E-01 2.105229646E-01

