employee_id,age,department,salary,performance,is_remote
124,47,Finance,104819.4,Good,Yes
125,22,Engineering,92500.91,Fair,No
126,41,HR,86942.84,Very Good,Yes
127,41,Sales,76312.41,Fair,No
128,60,Engineering,119791.92,Excellent,Yes
129,32,Finance,92653.4,Good,Yes
130,50,Finance,113939.85,Very Good,Yes
131,51,Sales,83096.49,Very Good,No
132,39,Finance,105457.46,Fair,Yes
133,60,Marketing,104048.21,Very Good,Yes
134,45,Marketing,82313.76,Good,Yes
135,25,Finance,78215.19,Good,No
136,49,HR,73773.32,Good,No
137,43,Finance,108788.24,Excellent,Yes
138,43,Marketing,94746.09,Good,Yes
139,29,Marketing,61611.85,Good,No
140,51,Marketing,,Excellent,Yes
141,41,HR,70168.38,Good,Yes
142,45,Finance,95726.31,Good,No
143,22,Engineering,88125.8,Poor,Yes
144,48,Marketing,74443.68,Poor,Yes
145,51,Sales,85635.36,Good,Yes
146,36,Sales,66423.11,Very Good,Yes
147,35,Marketing,69537.34,Very Good,Yes
148,33,Sales,57584.97,Very Good,No
149,36,Engineering,90325.15,Poor,Yes
150,51,Sales,72785.42,Fair,Yes
151,30,Finance,75496.62,,No
152,41,Operations,76235.4,Good,No
153,43,Finance,,Excellent,No
154,39,Sales,81693.21,Good,No
155,44,Engineering,,Very Good,No
156,35,Sales,58695.62,Poor,No
157,43,Sales,79943.47,Excellent,No
158,31,HR,,Good,No
159,40,Marketing,72031.99,Good,No
160,46,HR,87136.45,Very Good,No
161,42,Engineering,114431.81,Very Good,Yes
162,35,Marketing,69643.11,Poor,Yes
163,43,Marketing,91052.1,Very Good,Yes
164,51,HR,82962.04,Very Good,No
165,39,Sales,69870.65,Fair,No
166,22,Engineering,94967.76,Good,Yes
167,45,Engineering,102754.49,Excellent,No
168,39,Engineering,109856.1,Excellent,Yes
169,40,Sales,,Fair,Yes
170,47,Marketing,,Good,No
171,38,Operations,78223.73,Good,No
172,34,Operations,60022.77,Very Good,Yes
173,42,Operations,66694.83,Good,No
174,22,Operations,63073.33,Very Good,No
175,23,Finance,78114.78,Good,No
176,45,Marketing,81291.47,Good,Yes
177,52,Engineering,126354.12,,No
178,32,Operations,67012.65,Very Good,Yes
179,22,HR,51083.03,Excellent,Yes
180,28,Engineering,84487.95,Good,Yes
181,35,Engineering,96534.0,Excellent,No
182,47,Sales,72481.24,Fair,Yes
183,40,Marketing,78375.21,Fair,No
184,38,Sales,59445.91,Fair,Yes
185,59,Finance,126202.34,Very Good,No
186,36,HR,75650.92,Very Good,No
187,29,Operations,67230.39,Very Good,Yes
188,38,Engineering,87112.03,Good,Yes
189,33,Engineering,104693.92,Very Good,Yes
190,25,Sales,67930.78,Excellent,Yes
191,36,Marketing,80971.94,Very Good,Yes
192,37,Engineering,,Excellent,Yes
193,34,Operations,54931.97,Fair,No
194,25,Sales,65073.96,Fair,Yes
195,49,Marketing,90003.17,Good,Yes
196,32,Sales,71948.67,Excellent,No
197,28,Operations,64117.47,Good,No
198,30,Engineering,85354.15,Good,Yes
199,47,Engineering,92611.47,Good,No
200,61,Sales,77652.55,Very Good,No
