scenario_id,Region_A,Region_B,Region_C,Region_D,Region_E,Region_F,Region_G,Region_H,probability
80,57.91,44.88,47.93,33.97,55.45,47.67,51.62,36.84,0.01
81,45.34,35.06,53.77,35.84,61.54,38.17,36.37,36.22,0.01
82,37.53,29.5,42.55,39.54,55.27,57.69,35.42,41.69,0.01
83,45.69,38.15,41.04,32.87,56.98,51.15,48.92,34.01,0.01
84,48.43,43.29,51.42,31.51,57.85,49.35,38.18,32.35,0.01
85,40.26,41.72,44.47,35.74,102.34,98.43,76.23,67.85,0.01
86,41.34,39.89,46.93,32.0,114.98,90.09,74.48,75.66,0.01
87,45.8,38.23,44.51,36.16,98.2,93.45,79.07,70.22,0.01
88,44.58,36.6,43.39,30.48,111.5,83.66,73.57,79.53,0.01
89,41.83,41.24,46.9,32.11,111.71,84.31,77.75,76.38,0.01
90,44.85,41.81,43.77,31.39,105.74,97.29,72.99,70.88,0.01
91,46.95,35.25,50.79,32.14,107.09,97.84,77.72,72.91,0.01
92,42.48,41.54,45.94,30.78,106.02,98.48,85.24,73.35,0.01
93,39.93,35.44,47.39,33.22,104.98,96.26,86.56,76.29,0.01
94,46.65,38.23,47.83,36.41,113.8,99.8,72.24,75.41,0.01
95,39.11,41.0,44.24,30.99,101.17,83.54,87.21,68.14,0.01
96,43.16,39.88,51.25,32.2,111.08,99.17,81.11,79.05,0.01
97,44.25,38.16,47.58,33.92,114.16,89.9,82.28,66.55,0.01
98,43.65,38.72,42.58,35.43,111.67,89.39,73.27,76.9,0.01
99,42.51,36.46,43.42,34.83,110.57,91.09,78.4,74.75,0.01
