solver,grid_level,n_cells,alpha,CL,CD,CM
TAU,4,524288,3.00,0.998219,0.047838,-0.029807
TAU,1,8192,3.10,1.103000,0.055025,-0.035000
TAU,2,32768,3.10,1.044500,0.051275,-0.032750
TAU,3,131072,3.10,1.029875,0.050338,-0.032188
TAU,4,524288,3.10,1.026219,0.050103,-0.032047
TAU,1,8192,3.25,1.143000,0.058369,-0.038200
TAU,2,32768,3.25,1.084500,0.054619,-0.035950
TAU,3,131072,3.25,1.069875,0.053682,-0.035388
TAU,4,524288,3.25,1.066219,0.053447,-0.035247
TAU,1,8192,3.50,1.193000,0.062729,-0.042200
TAU,2,32768,3.50,1.134500,0.058979,-0.039950
TAU,3,131072,3.50,1.119875,0.058042,-0.039388
TAU,4,524288,3.50,1.116219,0.057807,-0.039247
TAU,1,8192,3.90,1.223000,0.065441,-0.044600
TAU,2,32768,3.90,1.164500,0.061691,-0.042350
TAU,3,131072,3.90,1.149875,0.060754,-0.041787
TAU,4,524288,3.90,1.146219,0.060519,-0.041647
