date,rate
2023-02-13,0.045623
2023-02-14,0.045626
2023-02-15,0.046145
2023-02-16,0.045565
2023-02-17,0.045657
2023-02-21,0.045604
2023-02-22,0.045635
2023-02-23,0.045664
2023-02-24,0.045630
2023-02-27,0.045594
2023-02-28,0.047188
2023-03-01,0.049042
2023-03-02,0.048675
2023-03-03,0.048106
2023-03-06,0.048174
2023-03-07,0.048106
2023-03-08,0.048126
2023-03-09,0.048160
2023-03-10,0.048074
2023-03-13,0.048014
2023-03-14,0.048115
2023-03-15,0.048631
2023-03-16,0.048070
2023-03-17,0.048144
2023-03-20,0.048130
2023-03-21,0.048050
2023-03-22,0.048126
2023-03-23,0.048090
2023-03-24,0.048026
2023-03-27,0.048123
2023-03-28,0.048098
2023-03-29,0.048063
2023-03-30,0.048106
2023-03-31,0.049604
2023-04-03,0.051501
2023-04-04,0.051210
2023-04-05,0.050651
2023-04-06,0.050564
2023-04-07,0.050619
2023-04-10,0.050600
2023-04-11,0.050713
2023-04-12,0.050507
2023-04-13,0.050635
2023-04-14,0.050585
2023-04-17,0.051115
2023-04-18,0.050695
2023-04-19,0.050600
2023-04-20,0.050712
2023-04-21,0.050578
2023-04-24,0.050618
2023-04-25,0.050575
2023-04-26,0.050565
2023-04-27,0.050583
2023-04-28,0.052066
2023-05-01,0.051540
2023-05-02,0.051085
2023-05-03,0.050700
2023-05-04,0.050592
2023-05-05,0.050687
2023-05-08,0.050550
2023-05-09,0.050615
2023-05-10,0.050758
2023-05-11,0.050557
2023-05-12,0.050525
2023-05-15,0.051093
2023-05-16,0.050624
2023-05-17,0.050635
2023-05-18,0.050665
2023-05-19,0.050587
2023-05-22,0.050520
2023-05-23,0.050578
2023-05-24,0.050662
2023-05-25,0.050623
2023-05-26,0.050502
2023-05-30,0.050578
2023-05-31,0.052150
2023-06-01,0.051836
2023-06-02,0.051418
2023-06-05,0.050815
2023-06-06,0.050738
2023-06-07,0.050758
2023-06-08,0.050802
2023-06-09,0.050825
2023-06-12,0.050829
2023-06-13,0.050776
2023-06-14,0.050742
2023-06-15,0.051281
2023-06-16,0.050742
2023-06-20,0.050832
2023-06-21,0.050684
2023-06-22,0.050783
2023-06-23,0.050822
2023-06-26,0.050876
2023-06-27,0.050804
2023-06-28,0.050850
2023-06-29,0.050760
2023-06-30,0.052243
2023-07-03,0.053996
2023-07-05,0.053766
2023-07-06,0.053150
2023-07-07,0.053124
2023-07-10,0.053267
2023-07-11,0.053098
2023-07-12,0.053131
2023-07-13,0.053115
2023-07-14,0.053089
2023-07-17,0.053736
2023-07-18,0.053175
2023-07-19,0.053030
2023-07-20,0.053080
2023-07-21,0.053121
2023-07-24,0.053139
2023-07-25,0.053033
2023-07-26,0.052987
2023-07-27,0.053005
2023-07-28,0.053076
2023-07-31,0.054575
2023-08-01,0.054047
2023-08-02,0.053652
2023-08-03,0.053039
2023-08-04,0.052999
2023-08-07,0.053116
2023-08-08,0.053119
2023-08-09,0.053150
2023-08-10,0.053140
2023-08-11,0.053090
2023-08-14,0.053167
2023-08-15,0.053613
2023-08-16,0.053067
2023-08-17,0.053074
2023-08-18,0.053071
2023-08-21,0.052992
2023-08-22,0.053108
2023-08-23,0.053112
2023-08-24,0.053082
2023-08-25,0.053064
2023-08-28,0.053119
2023-08-29,0.053186
2023-08-30,0.053082
2023-08-31,0.054555
2023-09-01,0.054000
2023-09-05,0.053687
2023-09-06,0.053037
2023-09-07,0.053094
2023-09-08,0.053103
2023-09-11,0.053192
2023-09-12,0.053147
2023-09-13,0.053152
2023-09-14,0.053064
2023-09-15,0.053653
2023-09-18,0.053043
2023-09-19,0.053116
2023-09-20,0.053121
2023-09-21,0.053062
2023-09-22,0.053200
2023-09-25,0.053128
2023-09-26,0.053005
2023-09-27,0.053128
2023-09-28,0.053060
2023-09-29,0.054580
2023-10-02,0.054053
2023-10-03,0.053710
2023-10-04,0.052998
2023-10-05,0.053042
2023-10-06,0.053139
2023-10-10,0.053165
2023-10-11,0.053195
2023-10-12,0.053190
2023-10-13,0.052997
2023-10-16,0.053658
2023-10-17,0.053004
2023-10-18,0.053181
2023-10-19,0.053113
2023-10-20,0.053043
2023-10-23,0.053200
2023-10-24,0.053132
2023-10-25,0.053005
2023-10-26,0.053115
2023-10-27,0.053063
2023-10-30,0.053086
2023-10-31,0.054557
2023-11-01,0.054099
2023-11-02,0.053619
2023-11-03,0.053116
2023-11-06,0.053191
2023-11-07,0.053059
2023-11-08,0.053111
2023-11-09,0.053110
2023-11-13,0.053066
2023-11-14,0.053132
2023-11-15,0.053625
2023-11-16,0.053053
2023-11-17,0.053188
2023-11-20,0.053140
2023-11-21,0.053092
2023-11-22,0.053068
2023-11-24,0.053061
2023-11-27,0.053162
2023-11-28,0.053093
2023-11-29,0.053103
2023-11-30,0.054571
2023-12-01,0.054061
2023-12-04,0.053684
2023-12-05,0.053138
2023-12-06,0.053091
2023-12-07,0.053141
2023-12-08,0.053134
2023-12-11,0.053094
2023-12-12,0.053057
2023-12-13,0.053053
2023-12-14,0.053063
2023-12-15,0.053571
2023-12-18,0.053143
2023-12-19,0.053098
2023-12-20,0.053179
2023-12-21,0.053214
2023-12-22,0.053101
2023-12-26,0.053023
2023-12-27,0.053081
2023-12-28,0.053076
2023-12-29,0.054506
2024-01-02,0.054017
2024-01-03,0.053704
2024-01-04,0.053077
2024-01-05,0.053062
2024-01-08,0.053062
2024-01-09,0.053189
2024-01-10,0.053092
2024-01-11,0.053059
2024-01-12,0.053081
2024-01-16,0.053668
2024-01-17,0.053066
2024-01-18,0.053124
2024-01-19,0.053136
2024-01-22,0.053137
2024-01-23,0.053170
2024-01-24,0.053072
2024-01-25,0.053157
2024-01-26,0.053060
2024-01-29,0.053080
2024-01-30,0.053140
2024-01-31,0.054621
2024-02-01,0.054030
2024-02-02,0.053630
2024-02-05,0.053128
2024-02-06,0.053068
2024-02-07,0.053054
2024-02-08,0.053068
2024-02-09,0.053112
2024-02-12,0.052994
2024-02-13,0.053118
2024-02-14,0.053109
2024-02-15,0.053591
2024-02-16,0.053152
2024-02-20,0.053131
2024-02-21,0.053070
2024-02-22,0.053066
2024-02-23,0.053135
2024-02-26,0.053024
2024-02-27,0.053083
2024-02-28,0.053048
2024-02-29,0.054583
2024-03-01,0.054041
2024-03-04,0.053692
2024-03-05,0.053157
2024-03-06,0.053111
2024-03-07,0.053084
2024-03-08,0.053039
2024-03-11,0.053136
2024-03-12,0.053126
2024-03-13,0.053173
2024-03-14,0.053063
2024-03-15,0.053621
2024-03-18,0.053097
2024-03-19,0.053096
2024-03-20,0.053101
2024-03-21,0.053014
2024-03-22,0.053141
2024-03-25,0.053133
2024-03-26,0.053157
2024-03-27,0.053192
2024-03-28,0.054564
2024-04-01,0.054028
2024-04-02,0.053690
2024-04-03,0.053197
2024-04-04,0.053013
2024-04-05,0.053124
2024-04-08,0.053026
2024-04-09,0.052971
2024-04-10,0.052999
2024-04-11,0.053031
2024-04-12,0.053153
2024-04-15,0.053577
2024-04-16,0.053089
2024-04-17,0.053042
2024-04-18,0.053131
2024-04-19,0.053045
2024-04-22,0.053166
2024-04-23,0.053050
2024-04-24,0.053062
2024-04-25,0.053106
2024-04-26,0.053101
2024-04-29,0.053151
2024-04-30,0.054586
2024-05-01,0.053970
2024-05-02,0.053662
2024-05-03,0.053071
2024-05-06,0.053136
2024-05-07,0.053119
2024-05-08,0.053094
2024-05-09,0.053143
2024-05-10,0.053074
2024-05-13,0.053093
2024-05-14,0.053109
2024-05-15,0.053696
2024-05-16,0.053095
2024-05-17,0.053082
2024-05-20,0.053048
2024-05-21,0.053134
2024-05-22,0.053071
2024-05-23,0.053117
2024-05-24,0.053005
2024-05-28,0.053152
2024-05-29,0.053033
2024-05-30,0.053041
2024-05-31,0.054633
2024-06-03,0.053963
2024-06-04,0.053686
2024-06-05,0.053104
2024-06-06,0.053050
2024-06-07,0.053167
2024-06-10,0.053175
2024-06-11,0.053001
2024-06-12,0.053028
2024-06-13,0.053140
2024-06-14,0.053035
2024-06-17,0.053601
2024-06-18,0.053086
2024-06-20,0.054615
