config_id,width,rob_size,num_int_regs,num_fp_regs,workload,ipc
w4_r128_i128_f128,4,128,128,128,bfs,0.8
w4_r128_i128_f128,4,128,128,128,bubble_sort,0.86
w4_r128_i128_f128,4,128,128,128,matrix_multiply,1.9
w4_r128_i128_f128,4,128,128,128,nqueens,1.1
w4_r128_i128_f256,4,128,128,256,bfs,0.8
w4_r128_i128_f256,4,128,128,256,bubble_sort,0.86
w4_r128_i128_f256,4,128,128,256,matrix_multiply,2.1
w4_r128_i128_f256,4,128,128,256,nqueens,1.1
w4_r128_i256_f64,4,128,256,64,bfs,0.8
w4_r128_i256_f64,4,128,256,64,bubble_sort,0.86
w4_r128_i256_f64,4,128,256,64,matrix_multiply,1.7
w4_r128_i256_f64,4,128,256,64,nqueens,1.2
w4_r128_i256_f128,4,128,256,128,bfs,0.8
w4_r128_i256_f128,4,128,256,128,bubble_sort,0.86
w4_r128_i256_f128,4,128,256,128,matrix_multiply,1.9
w4_r128_i256_f128,4,128,256,128,nqueens,1.2
w4_r128_i256_f256,4,128,256,256,bfs,0.8
w4_r128_i256_f256,4,128,256,256,bubble_sort,0.86
w4_r128_i256_f256,4,128,256,256,matrix_multiply,2.1
w4_r128_i256_f256,4,128,256,256,nqueens,1.2
w4_r256_i64_f64,4,256,64,64,bfs,0.9
w4_r256_i64_f64,4,256,64,64,bubble_sort,0.86
w4_r256_i64_f64,4,256,64,64,matrix_multiply,1.7
w4_r256_i64_f64,4,256,64,64,nqueens,1.0
w4_r256_i64_f128,4,256,64,128,bfs,0.9
w4_r256_i64_f128,4,256,64,128,bubble_sort,0.86
w4_r256_i64_f128,4,256,64,128,matrix_multiply,1.9
w4_r256_i64_f128,4,256,64,128,nqueens,1.0
w4_r256_i64_f256,4,256,64,256,bfs,0.9
w4_r256_i64_f256,4,256,64,256,bubble_sort,0.86
w4_r256_i64_f256,4,256,64,256,matrix_multiply,2.1
w4_r256_i64_f256,4,256,64,256,nqueens,1.0
w4_r256_i128_f64,4,256,128,64,bfs,0.9
w4_r256_i128_f64,4,256,128,64,bubble_sort,0.86
w4_r256_i128_f64,4,256,128,64,matrix_multiply,1.7
w4_r256_i128_f64,4,256,128,64,nqueens,1.1
w4_r256_i128_f128,4,256,128,128,bfs,0.9
w4_r256_i128_f128,4,256,128,128,bubble_sort,0.86
w4_r256_i128_f128,4,256,128,128,matrix_multiply,1.9
w4_r256_i128_f128,4,256,128,128,nqueens,1.1
w4_r256_i128_f256,4,256,128,256,bfs,0.9
w4_r256_i128_f256,4,256,128,256,bubble_sort,0.86
w4_r256_i128_f256,4,256,128,256,matrix_multiply,2.1
w4_r256_i128_f256,4,256,128,256,nqueens,1.1
w4_r256_i256_f64,4,256,256,64,bfs,0.9
w4_r256_i256_f64,4,256,256,64,bubble_sort,0.86
w4_r256_i256_f64,4,256,256,64,matrix_multiply,1.7
w4_r256_i256_f64,4,256,256,64,nqueens,1.2
w4_r256_i256_f128,4,256,256,128,bfs,0.9
w4_r256_i256_f128,4,256,256,128,bubble_sort,0.86
w4_r256_i256_f128,4,256,256,128,matrix_multiply,1.9
w4_r256_i256_f128,4,256,256,128,nqueens,1.2
w4_r256_i256_f256,4,256,256,256,bfs,0.9
w4_r256_i256_f256,4,256,256,256,bubble_sort,0.86
w4_r256_i256_f256,4,256,256,256,matrix_multiply,2.1
w4_r256_i256_f256,4,256,256,256,nqueens,1.2
w8_r32_i64_f64,8,32,64,64,bfs,0.6
w8_r32_i64_f64,8,32,64,64,bubble_sort,0.88
w8_r32_i64_f64,8,32,64,64,matrix_multiply,1.7
w8_r32_i64_f64,8,32,64,64,nqueens,1.0
w8_r32_i64_f128,8,32,64,128,bfs,0.6
w8_r32_i64_f128,8,32,64,128,bubble_sort,0.88
w8_r32_i64_f128,8,32,64,128,matrix_multiply,1.9
w8_r32_i64_f128,8,32,64,128,nqueens,1.0
w8_r32_i64_f256,8,32,64,256,bfs,0.6
w8_r32_i64_f256,8,32,64,256,bubble_sort,0.88
w8_r32_i64_f256,8,32,64,256,matrix_multiply,2.1
w8_r32_i64_f256,8,32,64,256,nqueens,1.0
w8_r32_i128_f64,8,32,128,64,bfs,0.6
w8_r32_i128_f64,8,32,128,64,bubble_sort,0.88
w8_r32_i128_f64,8,32,128,64,matrix_multiply,1.7
w8_r32_i128_f64,8,32,128,64,nqueens,1.1
w8_r32_i128_f128,8,32,128,128,bfs,0.6
w8_r32_i128_f128,8,32,128,128,bubble_sort,0.88
w8_r32_i128_f128,8,32,128,128,matrix_multiply,1.9
w8_r32_i128_f128,8,32,128,128,nqueens,1.1
w8_r32_i128_f256,8,32,128,256,bfs,0.6
w8_r32_i128_f256,8,32,128,256,bubble_sort,0.88
w8_r32_i128_f256,8,32,128,256,matrix_multiply,2.1
w8_r32_i128_f256,8,32,128,256,nqueens,1.1
w8_r32_i256_f64,8,32,256,64,bfs,0.6
w8_r32_i256_f64,8,32,256,64,bubble_sort,0.88
w8_r32_i256_f64,8,32,256,64,matrix_multiply,1.7
w8_r32_i256_f64,8,32,256,64,nqueens,1.2
w8_r32_i256_f128,8,32,256,128,bfs,0.6
w8_r32_i256_f128,8,32,256,128,bubble_sort,0.88
w8_r32_i256_f128,8,32,256,128,matrix_multiply,1.9
w8_r32_i256_f128,8,32,256,128,nqueens,1.2
w8_r32_i256_f256,8,32,256,256,bfs,0.6
w8_r32_i256_f256,8,32,256,256,bubble_sort,0.88
w8_r32_i256_f256,8,32,256,256,matrix_multiply,2.1
w8_r32_i256_f256,8,32,256,256,nqueens,1.2
w8_r64_i64_f64,8,64,64,64,bfs,0.7
w8_r64_i64_f64,8,64,64,64,bubble_sort,0.88
w8_r64_i64_f64,8,64,64,64,matrix_multiply,1.7
w8_r64_i64_f64,8,64,64,64,nqueens,1.0
w8_r64_i64_f128,8,64,64,128,bfs,0.7
w8_r64_i64_f128,8,64,64,128,bubble_sort,0.88
w8_r64_i64_f128,8,64,64,128,matrix_multiply,1.9
w8_r64_i64_f128,8,64,64,128,nqueens,1.0
w8_r64_i64_f256,8,64,64,256,bfs,0.7
w8_r64_i64_f256,8,64,64,256,bubble_sort,0.88
w8_r64_i64_f256,8,64,64,256,matrix_multiply,2.1
w8_r64_i64_f256,8,64,64,256,nqueens,1.0
w8_r64_i128_f64,8,64,128,64,bfs,0.7
w8_r64_i128_f64,8,64,128,64,bubble_sort,0.88
w8_r64_i128_f64,8,64,128,64,matrix_multiply,1.7
w8_r64_i128_f64,8,64,128,64,nqueens,1.1
w8_r64_i128_f128,8,64,128,128,bfs,0.7
w8_r64_i128_f128,8,64,128,128,bubble_sort,0.88
w8_r64_i128_f128,8,64,128,128,matrix_multiply,1.9
w8_r64_i128_f128,8,64,128,128,nqueens,1.1
w8_r64_i128_f256,8,64,128,256,bfs,0.7
w8_r64_i128_f256,8,64,128,256,bubble_sort,0.88
w8_r64_i128_f256,8,64,128,256,matrix_multiply,2.1
w8_r64_i128_f256,8,64,128,256,nqueens,1.1
w8_r64_i256_f64,8,64,256,64,bfs,0.7
w8_r64_i256_f64,8,64,256,64,bubble_sort,0.88
w8_r64_i256_f64,8,64,256,64,matrix_multiply,1.7
w8_r64_i256_f64,8,64,256,64,nqueens,1.2
w8_r64_i256_f128,8,64,256,128,bfs,0.7
w8_r64_i256_f128,8,64,256,128,bubble_sort,0.88
w8_r64_i256_f128,8,64,256,128,matrix_multiply,1.9
w8_r64_i256_f128,8,64,256,128,nqueens,1.2
w8_r64_i256_f256,8,64,256,256,bfs,0.7
w8_r64_i256_f256,8,64,256,256,bubble_sort,0.88
w8_r64_i256_f256,8,64,256,256,matrix_multiply,2.1
w8_r64_i256_f256,8,64,256,256,nqueens,1.2
w8_r128_i64_f64,8,128,64,64,bfs,0.8
w8_r128_i64_f64,8,128,64,64,bubble_sort,0.88
w8_r128_i64_f64,8,128,64,64,matrix_multiply,1.7
w8_r128_i64_f64,8,128,64,64,nqueens,1.0
w8_r128_i64_f128,8,128,64,128,bfs,0.8
w8_r128_i64_f128,8,128,64,128,bubble_sort,0.88
w8_r128_i64_f128,8,128,64,128,matrix_multiply,1.9
w8_r128_i64_f128,8,128,64,128,nqueens,1.0
w8_r128_i64_f256,8,128,64,256,bfs,0.8
w8_r128_i64_f256,8,128,64,256,bubble_sort,0.88
w8_r128_i64_f256,8,128,64,256,matrix_multiply,2.1
w8_r128_i64_f256,8,128,64,256,nqueens,1.0
w8_r128_i128_f64,8,128,128,64,bfs,0.8
w8_r128_i128_f64,8,128,128,64,bubble_sort,0.88
w8_r128_i128_f64,8,128,128,64,matrix_multiply,1.7
w8_r128_i128_f64,8,128,128,64,nqueens,1.1
w8_r128_i128_f128,8,128,128,128,bfs,0.8
w8_r128_i128_f128,8,128,128,128,bubble_sort,0.88
w8_r128_i128_f128,8,128,128,128,matrix_multiply,1.9
w8_r128_i128_f128,8,128,128,128,nqueens,1.1
w8_r128_i128_f256,8,128,128,256,bfs,0.8
w8_r128_i128_f256,8,128,128,256,bubble_sort,0.88
w8_r128_i128_f256,8,128,128,256,matrix_multiply,2.1
w8_r128_i128_f256,8,128,128,256,nqueens,1.1
w8_r128_i256_f64,8,128,256,64,bfs,0.8
w8_r128_i256_f64,8,128,256,64,bubble_sort,0.88
w8_r128_i256_f64,8,128,256,64,matrix_multiply,1.7
w8_r128_i256_f64,8,128,256,64,nqueens,1.2
w8_r128_i256_f128,8,128,256,128,bfs,0.8
w8_r128_i256_f128,8,128,256,128,bubble_sort,0.88
w8_r128_i256_f128,8,128,256,128,matrix_multiply,1.9
w8_r128_i256_f128,8,128,256,128,nqueens,1.2
w8_r128_i256_f256,8,128,256,256,bfs,0.8
w8_r128_i256_f256,8,128,256,256,bubble_sort,0.88
w8_r128_i256_f256,8,128,256,256,matrix_multiply,2.1
w8_r128_i256_f256,8,128,256,256,nqueens,1.2
w8_r256_i64_f64,8,256,64,64,bfs,0.9
w8_r256_i64_f64,8,256,64,64,bubble_sort,0.88
w8_r256_i64_f64,8,256,64,64,matrix_multiply,1.7
w8_r256_i64_f64,8,256,64,64,nqueens,1.0
w8_r256_i64_f128,8,256,64,128,bfs,0.9
w8_r256_i64_f128,8,256,64,128,bubble_sort,0.88
w8_r256_i64_f128,8,256,64,128,matrix_multiply,1.9
w8_r256_i64_f128,8,256,64,128,nqueens,1.0
w8_r256_i64_f256,8,256,64,256,bfs,0.9
w8_r256_i64_f256,8,256,64,256,bubble_sort,0.88
w8_r256_i64_f256,8,256,64,256,matrix_multiply,2.1
w8_r256_i64_f256,8,256,64,256,nqueens,1.0
w8_r256_i128_f64,8,256,128,64,bfs,0.9
w8_r256_i128_f64,8,256,128,64,bubble_sort,0.88
w8_r256_i128_f64,8,256,128,64,matrix_multiply,1.7
w8_r256_i128_f64,8,256,128,64,nqueens,1.1
w8_r256_i128_f128,8,256,128,128,bfs,0.9
w8_r256_i128_f128,8,256,128,128,bubble_sort,0.88
w8_r256_i128_f128,8,256,128,128,matrix_multiply,1.9
w8_r256_i128_f128,8,256,128,128,nqueens,1.1
w8_r256_i128_f256,8,256,128,256,bfs,0.9
w8_r256_i128_f256,8,256,128,256,bubble_sort,0.88
w8_r256_i128_f256,8,256,128,256,matrix_multiply,2.1
w8_r256_i128_f256,8,256,128,256,nqueens,1.1
w8_r256_i256_f64,8,256,256,64,bfs,0.9
w8_r256_i256_f64,8,256,256,64,bubble_sort,0.88
w8_r256_i256_f64,8,256,256,64,matrix_multiply,1.7
w8_r256_i256_f64,8,256,256,64,nqueens,1.2
w8_r256_i256_f128,8,256,256,128,bfs,0.9
w8_r256_i256_f128,8,256,256,128,bubble_sort,0.88
w8_r256_i256_f128,8,256,256,128,matrix_multiply,1.9
w8_r256_i256_f128,8,256,256,128,nqueens,1.2
w8_r256_i256_f256,8,256,256,256,bfs,0.9
w8_r256_i256_f256,8,256,256,256,bubble_sort,0.88
w8_r256_i256_f256,8,256,256,256,matrix_multiply,2.1
w8_r256_i256_f256,8,256,256,256,nqueens,1.2
w12_r32_i64_f64,12,32,64,64,bfs,0.6
w12_r32_i64_f64,12,32,64,64,bubble_sort,0.891699
w12_r32_i64_f64,12,32,64,64,matrix_multiply,1.7
w12_r32_i64_f64,12,32,64,64,nqueens,1.0
w12_r32_i64_f128,12,32,64,128,bfs,0.6
w12_r32_i64_f128,12,32,64,128,bubble_sort,0.891699
w12_r32_i64_f128,12,32,64,128,matrix_multiply,1.9
w12_r32_i64_f128,12,32,64,128,nqueens,1.0
w12_r32_i64_f256,12,32,64,256,bfs,0.6
w12_r32_i64_f256,12,32,64,256,bubble_sort,0.891699
w12_r32_i64_f256,12,32,64,256,matrix_multiply,2.1
w12_r32_i64_f256,12,32,64,256,nqueens,1.0
w12_r32_i128_f64,12,32,128,64,bfs,0.6
w12_r32_i128_f64,12,32,128,64,bubble_sort,0.891699
w12_r32_i128_f64,12,32,128,64,matrix_multiply,1.7
w12_r32_i128_f64,12,32,128,64,nqueens,1.1
w12_r32_i128_f128,12,32,128,128,bfs,0.6
w12_r32_i128_f128,12,32,128,128,bubble_sort,0.891699
w12_r32_i128_f128,12,32,128,128,matrix_multiply,1.9
w12_r32_i128_f128,12,32,128,128,nqueens,1.1
w12_r32_i128_f256,12,32,128,256,bfs,0.6
w12_r32_i128_f256,12,32,128,256,bubble_sort,0.891699
w12_r32_i128_f256,12,32,128,256,matrix_multiply,2.1
w12_r32_i128_f256,12,32,128,256,nqueens,1.1
w12_r32_i256_f64,12,32,256,64,bfs,0.6
w12_r32_i256_f64,12,32,256,64,bubble_sort,0.891699
w12_r32_i256_f64,12,32,256,64,matrix_multiply,1.7
w12_r32_i256_f64,12,32,256,64,nqueens,1.2
w12_r32_i256_f128,12,32,256,128,bfs,0.6
w12_r32_i256_f128,12,32,256,128,bubble_sort,0.891699
w12_r32_i256_f128,12,32,256,128,matrix_multiply,1.9
w12_r32_i256_f128,12,32,256,128,nqueens,1.2
w12_r32_i256_f256,12,32,256,256,bfs,0.6
w12_r32_i256_f256,12,32,256,256,bubble_sort,0.891699
w12_r32_i256_f256,12,32,256,256,matrix_multiply,2.1
w12_r32_i256_f256,12,32,256,256,nqueens,1.2
w12_r64_i64_f64,12,64,64,64,bfs,0.7
w12_r64_i64_f64,12,64,64,64,bubble_sort,0.891699
w12_r64_i64_f64,12,64,64,64,matrix_multiply,1.7
w12_r64_i64_f64,12,64,64,64,nqueens,1.0
w12_r64_i64_f128,12,64,64,128,bfs,0.7
w12_r64_i64_f128,12,64,64,128,bubble_sort,0.891699
w12_r64_i64_f128,12,64,64,128,matrix_multiply,1.9
w12_r64_i64_f128,12,64,64,128,nqueens,1.0
w12_r64_i64_f256,12,64,64,256,bfs,0.7
w12_r64_i64_f256,12,64,64,256,bubble_sort,0.891699
w12_r64_i64_f256,12,64,64,256,matrix_multiply,2.1
w12_r64_i64_f256,12,64,64,256,nqueens,1.0
w12_r64_i128_f64,12,64,128,64,bfs,0.7
w12_r64_i128_f64,12,64,128,64,bubble_sort,0.891699
w12_r64_i128_f64,12,64,128,64,matrix_multiply,1.7
w12_r64_i128_f64,12,64,128,64,nqueens,1.1
w12_r64_i128_f128,12,64,128,128,bfs,0.7
w12_r64_i128_f128,12,64,128,128,bubble_sort,0.891699
w12_r64_i128_f128,12,64,128,128,matrix_multiply,1.9
w12_r64_i128_f128,12,64,128,128,nqueens,1.1
w12_r64_i128_f256,12,64,128,256,bfs,0.7
w12_r64_i128_f256,12,64,128,256,bubble_sort,0.891699
w12_r64_i128_f256,12,64,128,256,matrix_multiply,2.1
w12_r64_i128_f256,12,64,128,256,nqueens,1.1
w12_r64_i256_f64,12,64,256,64,bfs,0.7
w12_r64_i256_f64,12,64,256,64,bubble_sort,0.891699
w12_r64_i256_f64,12,64,256,64,matrix_multiply,1.7
w12_r64_i256_f64,12,64,256,64,nqueens,1.2
w12_r64_i256_f128,12,64,256,128,bfs,0.7
w12_r64_i256_f128,12,64,256,128,bubble_sort,0.891699
w12_r64_i256_f128,12,64,256,128,matrix_multiply,1.9
w12_r64_i256_f128,12,64,256,128,nqueens,1.2
w12_r64_i256_f256,12,64,256,256,bfs,0.7
w12_r64_i256_f256,12,64,256,256,bubble_sort,0.891699
w12_r64_i256_f256,12,64,256,256,matrix_multiply,2.1
w12_r64_i256_f256,12,64,256,256,nqueens,1.2
w12_r128_i64_f64,12,128,64,64,bfs,0.8
w12_r128_i64_f64,12,128,64,64,bubble_sort,0.891699
w12_r128_i64_f64,12,128,64,64,matrix_multiply,1.7
w12_r128_i64_f64,12,128,64,64,nqueens,1.0
w12_r128_i64_f128,12,128,64,128,bfs,0.8
w12_r128_i64_f128,12,128,64,128,bubble_sort,0.891699
w12_r128_i64_f128,12,128,64,128,matrix_multiply,1.9
w12_r128_i64_f128,12,128,64,128,nqueens,1.0
w12_r128_i64_f256,12,128,64,256,bfs,0.8
w12_r128_i64_f256,12,128,64,256,bubble_sort,0.891699
w12_r128_i64_f256,12,128,64,256,matrix_multiply,2.1
w12_r128_i64_f256,12,128,64,256,nqueens,1.0
w12_r128_i128_f64,12,128,128,64,bfs,0.8
w12_r128_i128_f64,12,128,128,64,bubble_sort,0.891699
w12_r128_i128_f64,12,128,128,64,matrix_multiply,1.7
w12_r128_i128_f64,12,128,128,64,nqueens,1.1
w12_r128_i128_f128,12,128,128,128,bfs,0.8
w12_r128_i128_f128,12,128,128,128,bubble_sort,0.891699
w12_r128_i128_f128,12,128,128,128,matrix_multiply,1.9
w12_r128_i128_f128,12,128,128,128,nqueens,1.1
w12_r128_i128_f256,12,128,128,256,bfs,0.8
w12_r128_i128_f256,12,128,128,256,bubble_sort,0.891699
w12_r128_i128_f256,12,128,128,256,matrix_multiply,2.1
w12_r128_i128_f256,12,128,128,256,nqueens,1.1
w12_r128_i256_f64,12,128,256,64,bfs,0.8
w12_r128_i256_f64,12,128,256,64,bubble_sort,0.891699
w12_r128_i256_f64,12,128,256,64,matrix_multiply,1.7
w12_r128_i256_f64,12,128,256,64,nqueens,1.2
w12_r128_i256_f128,12,128,256,128,bfs,0.8
w12_r128_i256_f128,12,128,256,128,bubble_sort,0.891699
w12_r128_i256_f128,12,128,256,128,matrix_multiply,1.9
w12_r128_i256_f128,12,128,256,128,nqueens,1.2
w12_r128_i256_f256,12,128,256,256,bfs,0.8
w12_r128_i256_f256,12,128,256,256,bubble_sort,0.891699
w12_r128_i256_f256,12,128,256,256,matrix_multiply,2.1
w12_r128_i256_f256,12,128,256,256,nqueens,1.2
w12_r256_i64_f64,12,256,64,64,bfs,0.9
w12_r256_i64_f64,12,256,64,64,bubble_sort,0.891699
w12_r256_i64_f64,12,256,64,64,matrix_multiply,1.7
w12_r256_i64_f64,12,256,64,64,nqueens,1.0
w12_r256_i64_f128,12,256,64,128,bfs,0.9
w12_r256_i64_f128,12,256,64,128,bubble_sort,0.891699
w12_r256_i64_f128,12,256,64,128,matrix_multiply,1.9
w12_r256_i64_f128,12,256,64,128,nqueens,1.0
w12_r256_i64_f256,12,256,64,256,bfs,0.9
w12_r256_i64_f256,12,256,64,256,bubble_sort,0.891699
w12_r256_i64_f256,12,256,64,256,matrix_multiply,2.1
w12_r256_i64_f256,12,256,64,256,nqueens,1.0
w12_r256_i128_f64,12,256,128,64,bfs,0.9
w12_r256_i128_f64,12,256,128,64,bubble_sort,0.891699
w12_r256_i128_f64,12,256,128,64,matrix_multiply,1.7
w12_r256_i128_f64,12,256,128,64,nqueens,1.1
w12_r256_i128_f128,12,256,128,128,bfs,0.9
w12_r256_i128_f128,12,256,128,128,bubble_sort,0.891699
w12_r256_i128_f128,12,256,128,128,matrix_multiply,1.9
w12_r256_i128_f128,12,256,128,128,nqueens,1.1
w12_r256_i128_f256,12,256,128,256,bfs,0.9
w12_r256_i128_f256,12,256,128,256,bubble_sort,0.891699
w12_r256_i128_f256,12,256,128,256,matrix_multiply,2.1
w12_r256_i128_f256,12,256,128,256,nqueens,1.1
w12_r256_i256_f64,12,256,256,64,bfs,0.9
w12_r256_i256_f64,12,256,256,64,bubble_sort,0.891699
w12_r256_i256_f64,12,256,256,64,matrix_multiply,1.7
w12_r256_i256_f64,12,256,256,64,nqueens,1.2
w12_r256_i256_f128,12,256,256,128,bfs,0.9
w12_r256_i256_f128,12,256,256,128,bubble_sort,0.891699
w12_r256_i256_f128,12,256,256,128,matrix_multiply,1.9
w12_r256_i256_f128,12,256,256,128,nqueens,1.2
w12_r256_i256_f256,12,256,256,256,bfs,0.9
w12_r256_i256_f256,12,256,256,256,bubble_sort,0.891699
w12_r256_i256_f256,12,256,256,256,matrix_multiply,2.1
w12_r256_i256_f256,12,256,256,256,nqueens,1.2
