t,inv_return_mth
663,0.003844
664,0.003792
665,0.003741
666,0.003691
667,0.003642
668,0.003593
669,0.003546
670,0.0035
671,0.003455
672,0.003412
673,0.003371
674,0.003331
675,0.003293
676,0.003257
677,0.003223
678,0.003191
679,0.003161
680,0.003134
681,0.003109
682,0.003086
683,0.003066
684,0.003049
685,0.003034
686,0.003022
687,0.003012
688,0.003005
689,0.003001
690,0.003
691,0.003001
692,0.003005
693,0.003012
694,0.003022
695,0.003034
696,0.003049
697,0.003066
698,0.003086
699,0.003109
