wavelength_nm,angle_deg,psi_rad,Delta_rad
520.0,65.0,3.990020511701643e-01,8.058541661266411e-01
520.0,75.0,2.247436925101200e-01,1.503877806404546e+00
530.0,55.0,5.285020690375001e-01,5.315804417040297e-01
530.0,65.0,3.783647342104048e-01,6.868483359890406e-01
530.0,75.0,1.690367671138381e-01,1.381149775399675e+00
540.0,55.0,5.193138144318388e-01,4.643359442995514e-01
540.0,65.0,3.605352812328164e-01,5.624780977335408e-01
540.0,75.0,1.152668348870887e-01,1.201074931375246e+00
550.0,55.0,5.117765292717523e-01,3.972633866197096e-01
550.0,65.0,3.458380931099602e-01,4.334579004726737e-01
550.0,75.0,6.731890339916606e-02,8.368599446374200e-01
560.0,55.0,5.057382300978712e-01,3.306819669956308e-01
560.0,65.0,3.345628171255515e-01,3.009049471903180e-01
560.0,75.0,4.341257939999001e-02,-1.266644052145090e-01
570.0,55.0,5.009535476027771e-01,2.650097649574462e-01
570.0,65.0,3.267069027342896e-01,1.668662686272513e-01
570.0,75.0,6.848854222510138e-02,-1.013098514401575e+00
580.0,55.0,4.971756489700137e-01,2.006118191784071e-01
580.0,65.0,3.220860509808141e-01,3.370678297924237e-02
580.0,75.0,1.101858342240895e-01,-1.339063431938615e+00
590.0,55.0,4.941868681774418e-01,1.377641791369091e-01
590.0,65.0,3.203926646057772e-01,-9.630664999773085e-02
590.0,75.0,1.528174136468336e-01,-1.499060445016207e+00
600.0,55.0,4.917910715690447e-01,7.667579216092787e-02
600.0,65.0,3.212198073584798e-01,-2.212554072940937e-01
600.0,75.0,1.934989294862828e-01,-1.602358110974810e+00
610.0,55.0,4.898383802748683e-01,1.748647427650101e-02
610.0,65.0,3.241426100731800e-01,-3.397453512387001e-01
610.0,75.0,2.314848250567784e-01,-1.679727056698081e+00
620.0,55.0,4.883153601298805e-01,-3.977034858548155e-02
620.0,65.0,3.288942889030825e-01,-4.509310318601718e-01
620.0,75.0,2.666796474799986e-01,-1.742056714899933e+00
630.0,55.0,4.872550805776246e-01,-9.509871163922709e-02
630.0,65.0,3.352604790405362e-01,-5.543458896960177e-01
630.0,75.0,2.992183763108551e-01,-1.794173015909318e+00
640.0,55.0,4.866967417346447e-01,-1.485112939342138e-01
640.0,65.0,3.430390154475897e-01,-6.498231641965267e-01
640.0,75.0,3.293234120216463e-01,-1.838644718204768e+00
650.0,55.0,4.866153563019629e-01,-1.999917535007334e-01
650.0,65.0,3.519540231670631e-01,-7.374601816503740e-01
650.0,75.0,3.571921942735001e-01,-1.877236478324652e+00
660.0,55.0,4.869556058173276e-01,-2.495195624808416e-01
660.0,65.0,3.617195437045335e-01,-8.175804231326095e-01
660.0,75.0,3.830087889578470e-01,-1.911183508304422e+00
670.0,55.0,4.876995632505489e-01,-2.971099676601704e-01
670.0,65.0,3.721409852820992e-01,-8.906397086264344e-01
670.0,75.0,4.069962317697213e-01,-1.941238078601528e+00
680.0,55.0,4.888416500328508e-01,-3.427905078655852e-01
680.0,65.0,3.830755425394857e-01,-9.571467480038218e-01
680.0,75.0,4.293796880821025e-01,-1.967926424987516e+00
690.0,55.0,4.903794577476756e-01,-3.865925740646428e-01
690.0,65.0,3.944152725028882e-01,-1.017620502999022e+00
690.0,75.0,4.503724909626066e-01,-1.991651273519957e+00
700.0,55.0,4.923132408124597e-01,-4.285501477297245e-01
700.0,65.0,4.060821886687355e-01,-1.072564546646007e+00
700.0,75.0,4.701740478475267e-01,-2.012733150884257e+00
710.0,55.0,4.946448612149527e-01,-4.686980604473410e-01
710.0,65.0,4.180224949142148e-01,-1.122452201655745e+00
710.0,75.0,4.889685764712975e-01,-2.031436412964598e+00
720.0,55.0,4.973754184242142e-01,-5.070691747442381e-01
720.0,65.0,4.301994017962886e-01,-1.167719448817618e+00
720.0,75.0,5.069234111343589e-01,-2.047987767901183e+00
730.0,55.0,5.005070222584210e-01,-5.436964186928673e-01
730.0,65.0,4.425924081078433e-01,-1.208763553813141e+00
730.0,75.0,5.241925645797824e-01,-2.062583475954301e+00
740.0,55.0,5.040433431385287e-01,-5.786132221909558e-01
740.0,65.0,4.551951784649296e-01,-1.245943627779626e+00
740.0,75.0,5.409188267393156e-01,-2.075396267872605e+00
750.0,55.0,5.079895400482449e-01,-6.118532627921242e-01
750.0,65.0,4.680130110953428e-01,-1.279582719878717e+00
750.0,75.0,5.572351717580530e-01,-2.086581305001450e+00
760.0,55.0,5.123522264756309e-01,-6.434502881610968e-01
760.0,65.0,4.810608156596655e-01,-1.309970826839711e+00
760.0,75.0,5.732661677005617e-01,-2.096280801985464e+00
770.0,55.0,5.171394674793864e-01,-6.734379980985604e-01
770.0,65.0,4.943615285531791e-01,-1.337368281423640e+00
770.0,75.0,5.891293208704900e-01,-2.104627797150040e+00
780.0,55.0,5.223608029127004e-01,-7.018499728551033e-01
780.0,65.0,5.079448940224286e-01,-1.362009199603604e+00
780.0,75.0,6.049363115624532e-01,-2.111749386709977e+00
790.0,55.0,5.280272933572008e-01,-7.287196372893925e-01
790.0,65.0,5.218465458400474e-01,-1.384104808148357e+00
790.0,75.0,6.207940924585081e-01,-2.117769639207491e+00
800.0,55.0,5.341515865816207e-01,-7.540802525552278e-01
800.0,65.0,5.361073327603817e-01,-1.403846564088808e+00
800.0,75.0,6.368058278544758e-01,-2.122812347525670e+00
