row_id,gpu_id,kernel,block_size,registers_per_thread,shared_mem_per_block,active_blocks,occupancy
82,GPU_B,smem32k_bs128,128,8,32768,2,0.25
83,GPU_C,smem32k_bs128,128,8,32768,5,0.3125
84,GPU_D,smem32k_bs128,128,8,32768,3,0.25
85,GPU_E,smem32k_bs128,128,8,32768,8,0.5
86,GPU_A,smem48k_bs128,128,8,49152,2,0.125
87,GPU_B,smem48k_bs128,128,8,49152,1,0.125
88,GPU_C,smem48k_bs128,128,8,49152,3,0.1875
89,GPU_D,smem48k_bs128,128,8,49152,2,0.166667
90,GPU_E,smem48k_bs128,128,8,49152,4,0.25
91,GPU_A,gprobe_16641,128,8,16641,5,0.3125
92,GPU_B,gprobe_16641,128,8,16641,3,0.375
93,GPU_C,gprobe_16641,128,8,16641,10,0.625
94,GPU_D,gprobe_16641,128,8,16641,6,0.5
95,GPU_E,gprobe_16641,128,8,16641,13,0.8125
96,GPU_A,gprobe_16897,128,8,16897,5,0.3125
97,GPU_B,gprobe_16897,128,8,16897,3,0.375
98,GPU_C,gprobe_16897,128,8,16897,9,0.5625
99,GPU_D,gprobe_16897,128,8,16897,6,0.5
100,GPU_E,gprobe_16897,128,8,16897,13,0.8125
101,GPU_A,gprobe_28929,128,8,28929,3,0.1875
102,GPU_B,gprobe_28929,128,8,28929,2,0.25
103,GPU_C,gprobe_28929,128,8,28929,5,0.3125
104,GPU_D,gprobe_28929,128,8,28929,3,0.25
105,GPU_E,gprobe_28929,128,8,28929,8,0.5
106,GPU_A,gemm_256,256,48,8192,5,0.625
107,GPU_B,gemm_256,256,48,8192,4,1.0
108,GPU_C,gemm_256,256,48,8192,5,0.625
109,GPU_D,gemm_256,256,48,8192,6,1.0
110,GPU_E,gemm_256,256,48,8192,5,0.625
111,GPU_A,conv_512,512,32,16384,4,1.0
112,GPU_B,conv_512,512,32,16384,2,1.0
113,GPU_C,conv_512,512,32,16384,4,1.0
114,GPU_D,conv_512,512,32,16384,3,1.0
115,GPU_E,conv_512,512,32,16384,4,1.0
116,GPU_A,attn_128,128,64,4096,8,0.5
117,GPU_B,attn_128,128,64,4096,8,1.0
118,GPU_C,attn_128,128,64,4096,7,0.4375
119,GPU_D,attn_128,128,64,4096,8,0.666667
120,GPU_E,attn_128,128,64,4096,8,0.5
121,GPU_A,scan_256,256,24,32768,3,0.375
122,GPU_B,scan_256,256,24,32768,2,0.5
123,GPU_C,scan_256,256,24,32768,5,0.625
124,GPU_D,scan_256,256,24,32768,3,0.5
125,GPU_E,scan_256,256,24,32768,7,0.875
126,GPU_A,fft_512,512,40,24576,3,0.75
127,GPU_B,fft_512,512,40,24576,2,1.0
128,GPU_C,fft_512,512,40,24576,3,0.75
129,GPU_D,fft_512,512,40,24576,3,1.0
130,GPU_E,fft_512,512,40,24576,2,0.5
